ダウンロードした時刻：2017/07/24 15:41:01

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/1/1,5.4,8.1,2.8
2001/1/2,5.7,10.5,0.7
2001/1/3,3.8,6.7,1.2
2001/1/4,2.0,3.6,0.0
2001/1/5,2.2,6.9,-0.4
2001/1/6,2.0,6.7,-0.8
2001/1/7,0.6,2.8,-2.2
2001/1/8,7.2,13.5,1.9
2001/1/9,5.3,7.1,2.8
2001/1/10,8.2,13.0,3.2
2001/1/11,5.4,11.2,0.2
2001/1/12,4.2,7.4,2.0
2001/1/13,2.7,5.0,0.3
2001/1/14,1.7,5.6,-1.6
2001/1/15,0.4,4.0,-1.8
2001/1/16,0.5,4.8,-2.8
2001/1/17,1.8,5.4,-0.6
2001/1/18,2.3,7.8,-2.2
2001/1/19,2.5,6.0,-0.1
2001/1/20,0.0,1.7,-1.8
2001/1/21,4.2,8.6,0.2
2001/1/22,4.1,8.6,-1.2
2001/1/23,4.4,10.2,0.3
2001/1/24,3.3,8.4,-0.5
2001/1/25,3.9,6.2,0.5
2001/1/26,6.2,8.6,5.0
2001/1/27,4.5,5.5,3.4
2001/1/28,5.4,10.5,2.8
2001/1/29,4.0,7.6,1.4
2001/1/30,3.4,8.6,-1.1
2001/1/31,4.5,9.4,-0.7
2001/2/1,4.2,6.0,2.2
2001/2/2,3.6,7.8,0.4
2001/2/3,2.9,8.4,-0.8
2001/2/4,4.1,7.9,0.1
2001/2/5,7.1,12.7,3.0
2001/2/6,6.1,9.5,3.6
2001/2/7,6.1,9.9,2.3
2001/2/8,6.4,11.3,1.8
2001/2/9,3.4,9.0,-0.9
2001/2/10,3.5,9.2,-0.8
2001/2/11,4.0,8.7,-0.1
2001/2/12,3.5,7.5,0.0
2001/2/13,4.2,7.7,0.7
2001/2/14,4.1,9.5,0.6
2001/2/15,2.4,7.7,-1.4
2001/2/16,3.2,10.3,-0.4
2001/2/17,3.6,8.4,-2.1
2001/2/18,6.7,13.2,1.1
2001/2/19,9.0,14.9,5.1
2001/2/20,6.9,13.8,2.1
2001/2/21,7.4,13.4,1.3
2001/2/22,10.9,18.1,5.5
2001/2/23,11.2,19.4,3.0
2001/2/24,8.7,12.5,5.1
2001/2/25,5.0,9.7,1.2
2001/2/26,3.6,9.2,-1.0
2001/2/27,6.0,13.6,-1.0
2001/2/28,6.7,8.9,4.4
2001/3/1,8.3,11.7,5.2
2001/3/2,6.4,11.0,2.7
2001/3/3,6.5,11.4,-0.1
2001/3/4,7.0,10.2,1.7
2001/3/5,3.9,8.3,0.5
2001/3/6,8.0,13.7,2.8
2001/3/7,7.4,13.3,3.6
2001/3/8,2.9,8.6,0.1
2001/3/9,2.7,7.5,-0.4
2001/3/10,3.6,7.9,0.2
2001/3/11,3.4,8.9,-0.5
2001/3/12,4.5,11.6,-1.9
2001/3/13,4.5,10.2,0.2
2001/3/14,8.1,15.4,-0.1
2001/3/15,9.9,15.5,5.8
2001/3/16,8.3,14.7,2.9
2001/3/17,6.8,8.3,4.6
2001/3/18,11.0,15.6,8.0
2001/3/19,11.6,18.4,4.3
2001/3/20,13.0,20.4,6.1
2001/3/21,13.8,21.4,8.1
2001/3/22,13.7,20.0,7.3
2001/3/23,13.5,18.4,9.4
2001/3/24,13.7,20.0,7.6
2001/3/25,13.8,17.7,12.2
2001/3/26,12.2,17.7,6.9
2001/3/27,10.1,15.6,4.5
2001/3/28,10.5,14.9,6.6
2001/3/29,10.6,12.9,8.1
2001/3/30,7.6,11.7,5.0
2001/3/31,5.7,11.0,2.6
2001/4/1,7.1,13.5,1.1
2001/4/2,10.7,18.0,2.6
2001/4/3,11.4,15.8,7.5
2001/4/4,10.0,15.9,5.3
2001/4/5,11.2,18.9,2.8
2001/4/6,15.0,23.9,7.1
2001/4/7,16.2,23.1,10.1
2001/4/8,16.5,23.0,11.7
2001/4/9,18.0,25.9,13.1
2001/4/10,18.1,24.6,12.5
2001/4/11,19.0,26.0,13.0
2001/4/12,14.0,18.2,8.6
2001/4/13,13.0,19.1,6.8
2001/4/14,13.8,20.9,8.0
2001/4/15,14.8,22.1,8.7
2001/4/16,16.7,24.4,9.2
2001/4/17,17.7,23.6,12.0
2001/4/18,17.5,21.8,13.3
2001/4/19,19.8,27.3,14.0
2001/4/20,16.0,21.5,10.6
2001/4/21,12.0,13.5,10.0
2001/4/22,14.4,21.9,8.5
2001/4/23,13.8,23.1,5.8
2001/4/24,14.6,19.2,11.6
2001/4/25,13.0,16.9,11.0
2001/4/26,14.1,21.3,7.5
2001/4/27,15.0,22.8,7.2
2001/4/28,16.5,23.3,9.6
2001/4/29,16.3,21.1,14.1
2001/4/30,18.0,23.8,14.3
2001/5/1,17.1,21.4,14.1
