ダウンロードした時刻：2017/07/24 15:47:15

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/1/1,8.6,9.9,5.6
2012/1/2,6.8,10.1,4.4
2012/1/3,7.2,9.2,5.6
2012/1/4,4.4,6.7,2.3
2012/1/5,5.4,6.8,4.2
2012/1/6,7.1,9.7,5.9
2012/1/7,6.9,11.6,3.1
2012/1/8,7.7,13.0,1.8
2012/1/9,8.2,10.3,6.4
2012/1/10,7.8,10.2,4.1
2012/1/11,6.4,9.1,4.5
2012/1/12,5.7,8.2,4.3
2012/1/13,7.9,9.6,5.6
2012/1/14,8.5,11.9,5.9
2012/1/15,8.6,9.8,6.8
2012/1/16,9.4,10.6,7.4
2012/1/17,8.7,13.3,3.9
2012/1/18,9.7,14.3,4.2
2012/1/19,11.2,12.9,9.5
2012/1/20,12.4,16.0,9.9
2012/1/21,11.8,15.0,9.8
2012/1/22,8.3,11.6,5.2
2012/1/23,3.4,5.2,2.4
2012/1/24,3.3,5.3,1.9
2012/1/25,3.0,4.9,0.8
2012/1/26,2.9,6.6,-0.7
2012/1/27,6.1,11.9,-0.4
2012/1/28,9.3,11.9,7.1
2012/1/29,8.6,12.2,5.2
2012/1/30,7.0,9.8,3.4
2012/1/31,5.6,10.6,0.1
2012/2/1,6.7,10.6,1.6
2012/2/2,0.5,1.8,-1.4
2012/2/3,3.0,5.5,0.8
2012/2/4,6.2,10.0,3.0
2012/2/5,6.7,10.1,0.7
2012/2/6,10.4,13.3,3.6
2012/2/7,6.0,11.2,1.6
2012/2/8,1.5,3.6,-0.2
2012/2/9,3.9,6.7,2.1
2012/2/10,5.5,6.6,3.6
2012/2/11,5.5,8.6,0.6
2012/2/12,5.9,10.7,-2.0
2012/2/13,9.4,12.1,6.2
2012/2/14,12.1,14.5,9.4
2012/2/15,10.1,12.5,6.3
2012/2/16,8.3,10.6,5.7
2012/2/17,4.2,6.5,2.3
2012/2/18,2.1,4.0,-0.1
2012/2/19,3.6,5.4,2.0
2012/2/20,6.1,10.5,3.2
2012/2/21,7.8,9.8,4.6
2012/2/22,11.3,13.8,8.6
2012/2/23,13.5,18.0,10.6
2012/2/24,11.1,14.0,8.5
2012/2/25,9.0,10.9,6.8
2012/2/26,8.3,10.6,5.2
2012/2/27,8.0,11.0,4.9
2012/2/28,7.7,9.4,4.9
2012/2/29,9.7,14.7,6.1
2012/3/1,11.2,13.9,8.8
2012/3/2,11.3,12.2,10.6
2012/3/3,12.1,15.2,9.2
2012/3/4,12.3,13.7,10.3
2012/3/5,13.4,14.6,12.3
2012/3/6,11.4,14.1,9.2
2012/3/7,10.0,11.6,8.7
2012/3/8,11.3,14.2,8.3
2012/3/9,11.7,15.0,10.1
2012/3/10,10.6,14.0,7.8
2012/3/11,7.1,10.8,3.6
2012/3/12,4.6,7.9,2.1
2012/3/13,6.2,11.6,1.1
2012/3/14,7.3,14.0,0.0
2012/3/15,10.2,16.1,3.1
2012/3/16,13.5,16.9,8.6
2012/3/17,14.2,17.2,11.1
2012/3/18,12.1,13.5,10.8
2012/3/19,11.0,14.4,5.3
2012/3/20,9.9,14.4,5.2
2012/3/21,10.2,16.1,3.5
2012/3/22,11.3,18.1,3.3
2012/3/23,14.6,19.4,9.9
2012/3/24,10.0,11.8,8.9
2012/3/25,9.0,11.6,6.6
2012/3/26,8.0,11.1,3.2
2012/3/27,9.7,16.3,2.3
2012/3/28,12.6,20.2,6.4
2012/3/29,13.9,19.3,5.6
2012/3/30,17.8,20.5,13.9
2012/3/31,11.9,13.9,9.5
2012/4/1,9.2,14.3,4.2
2012/4/2,13.0,18.9,3.6
2012/4/3,12.6,19.9,8.6
2012/4/4,12.4,17.2,8.3
2012/4/5,14.9,19.4,11.9
2012/4/6,12.4,15.8,9.1
2012/4/7,11.2,15.3,4.9
2012/4/8,13.4,18.8,5.4
2012/4/9,16.2,21.5,10.9
2012/4/10,16.0,19.3,11.2
2012/4/11,17.8,22.5,14.0
2012/4/12,14.2,18.6,9.4
2012/4/13,12.1,13.9,9.0
2012/4/14,14.3,18.6,10.8
2012/4/15,15.0,19.5,10.4
2012/4/16,17.0,22.7,12.0
2012/4/17,15.0,19.2,10.7
2012/4/18,14.8,19.6,9.4
2012/4/19,15.1,17.1,11.0
2012/4/20,17.7,20.3,15.5
2012/4/21,18.4,20.5,16.7
2012/4/22,17.0,22.0,13.1
2012/4/23,16.8,22.2,11.3
2012/4/24,17.4,23.1,11.8
2012/4/25,19.5,20.7,16.7
2012/4/26,15.7,18.8,13.7
2012/4/27,15.8,21.5,9.8
2012/4/28,16.7,22.5,9.7
2012/4/29,18.0,20.6,13.6
2012/4/30,17.3,18.5,16.0
2012/5/1,18.7,20.9,17.1
