ダウンロードした時刻：2017/07/24 15:42:10

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/1/1,9.6,15.5,3.1
2014/1/2,7.3,12.1,3.1
2014/1/3,5.9,8.5,3.8
2014/1/4,6.5,11.7,2.4
2014/1/5,5.4,7.3,3.9
2014/1/6,5.3,10.5,2.1
2014/1/7,5.5,9.9,1.9
2014/1/8,7.3,12.8,2.8
2014/1/9,7.2,11.8,3.0
2014/1/10,3.6,6.8,1.4
2014/1/11,4.3,9.0,0.7
2014/1/12,5.3,9.5,1.4
2014/1/13,5.1,8.3,2.4
2014/1/14,4.2,7.7,1.7
2014/1/15,3.0,4.4,1.8
2014/1/16,4.8,9.1,-0.2
2014/1/17,5.8,9.5,2.9
2014/1/18,5.2,8.6,2.8
2014/1/19,4.2,7.1,2.0
2014/1/20,4.8,8.5,0.7
2014/1/21,6.3,11.8,1.8
2014/1/22,5.5,9.6,2.1
2014/1/23,6.5,11.1,2.8
2014/1/24,7.2,12.6,2.4
2014/1/25,8.4,12.4,3.0
2014/1/26,9.5,14.5,2.4
2014/1/27,4.6,7.5,1.4
2014/1/28,8.8,15.0,1.1
2014/1/29,8.9,12.8,4.9
2014/1/30,10.3,15.8,5.1
2014/1/31,9.9,15.9,6.2
2014/2/1,7.9,12.3,3.8
2014/2/2,9.3,13.3,6.1
2014/2/3,12.8,17.8,7.0
2014/2/4,5.0,11.8,0.9
2014/2/5,1.6,5.2,-0.5
2014/2/6,2.7,6.2,-0.3
2014/2/7,4.0,7.2,1.1
2014/2/8,0.3,4.0,-0.9
2014/2/9,5.4,9.2,1.1
2014/2/10,6.0,8.7,3.3
2014/2/11,3.3,4.6,2.1
2014/2/12,4.8,8.2,2.8
2014/2/13,5.3,8.2,2.4
2014/2/14,1.4,5.4,-0.2
2014/2/15,3.9,6.9,-0.2
2014/2/16,6.9,10.0,4.5
2014/2/17,7.3,12.9,3.9
2014/2/18,4.7,8.8,2.9
2014/2/19,4.7,9.0,1.5
2014/2/20,4.6,7.6,1.4
2014/2/21,5.5,10.3,2.8
2014/2/22,5.1,9.5,1.7
2014/2/23,5.6,8.3,2.9
2014/2/24,6.3,8.8,4.0
2014/2/25,8.2,12.9,3.4
2014/2/26,10.0,14.2,5.7
2014/2/27,10.0,13.7,6.8
2014/2/28,13.8,18.6,8.5
2014/3/1,8.9,12.7,7.0
2014/3/2,5.6,7.2,4.9
2014/3/3,6.6,10.9,4.4
2014/3/4,6.9,10.9,2.3
2014/3/5,6.5,9.3,4.8
2014/3/6,5.4,9.0,3.0
2014/3/7,4.4,9.2,1.8
2014/3/8,5.9,10.2,1.9
2014/3/9,6.4,9.9,3.1
2014/3/10,4.9,8.8,1.4
2014/3/11,6.1,11.1,1.3
2014/3/12,11.0,16.6,3.3
2014/3/13,12.3,18.2,8.5
2014/3/14,10.1,13.4,6.7
2014/3/15,8.3,12.0,4.5
2014/3/16,10.8,17.5,4.5
2014/3/17,12.1,16.8,6.6
2014/3/18,15.4,20.3,8.2
2014/3/19,11.2,13.5,9.7
2014/3/20,8.1,10.4,6.7
2014/3/21,10.1,14.5,7.0
2014/3/22,9.3,14.0,5.1
2014/3/23,11.6,16.8,7.2
2014/3/24,13.6,18.5,8.5
2014/3/25,16.6,22.3,11.5
2014/3/26,16.4,19.4,13.8
2014/3/27,12.6,15.4,10.0
2014/3/28,14.8,20.2,8.4
2014/3/29,17.7,22.2,13.4
2014/3/30,16.5,19.3,14.9
2014/3/31,15.7,20.1,12.7
2014/4/1,13.9,18.1,10.9
2014/4/2,15.2,19.6,10.0
2014/4/3,13.8,15.6,12.9
2014/4/4,15.3,22.0,11.0
2014/4/5,11.4,14.9,8.4
2014/4/6,9.0,13.4,6.4
2014/4/7,11.4,16.5,6.3
2014/4/8,15.8,22.3,9.2
2014/4/9,15.5,20.4,11.3
2014/4/10,16.1,22.9,10.3
2014/4/11,12.9,18.7,7.7
2014/4/12,14.6,20.0,9.3
2014/4/13,14.4,18.7,9.6
2014/4/14,14.0,17.6,11.1
2014/4/15,16.3,20.6,10.3
2014/4/16,18.7,23.3,13.8
2014/4/17,17.7,21.8,13.5
2014/4/18,11.8,18.2,8.6
2014/4/19,11.7,17.9,8.4
2014/4/20,11.0,14.1,6.9
2014/4/21,13.4,17.5,10.0
2014/4/22,15.2,20.0,12.3
2014/4/23,16.2,21.3,11.9
2014/4/24,16.6,21.7,12.7
2014/4/25,17.8,22.5,12.9
2014/4/26,18.2,23.9,14.1
2014/4/27,18.1,22.7,14.7
2014/4/28,18.6,23.2,14.9
2014/4/29,17.8,20.6,15.8
2014/4/30,16.7,18.5,14.1
2014/5/1,20.6,24.5,17.7
