ダウンロードした時刻：2019/10/10 16:21:40

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,9.6,15.8,4.1
2005/12/2,9.4,11.5,5.2
2005/12/3,6.6,12.5,1.2
2005/12/4,5.4,10.8,1.2
2005/12/5,4.2,8.4,1.0
2005/12/6,4.0,9.4,0.8
2005/12/7,5.3,10.0,0.0
2005/12/8,6.4,10.8,3.4
2005/12/9,5.1,9.6,1.5
2005/12/10,5.7,10.7,0.5
2005/12/11,6.2,10.6,1.4
2005/12/12,4.2,7.4,1.5
2005/12/13,3.0,5.3,1.3
2005/12/14,3.5,6.4,1.2
2005/12/15,2.2,4.4,-0.4
2005/12/16,3.6,8.7,0.8
2005/12/17,2.5,5.0,-1.0
2005/12/18,0.9,4.5,-2.1
2005/12/19,3.3,9.6,0.0
2005/12/20,3.6,9.7,-1.2
2005/12/21,2.0,5.8,-1.5
2005/12/22,1.1,4.8,-1.9
2005/12/23,3.2,5.1,0.7
2005/12/24,4.6,8.2,-0.3
2005/12/25,2.9,6.9,-2.8
2005/12/26,4.4,8.9,-0.2
2005/12/27,1.7,6.9,-2.6
2005/12/28,2.4,7.6,-3.5
2005/12/29,5.1,11.5,-0.7
2005/12/30,5.4,12.0,0.6
2005/12/31,5.0,8.8,-0.2
2006/1/1,5.6,11.5,0.4
2006/1/2,6.8,11.9,3.7
2006/1/3,5.3,9.8,1.7
2006/1/4,2.9,6.0,-0.2
2006/1/5,3.0,6.4,0.8
2006/1/6,2.5,6.4,0.4
2006/1/7,2.2,6.4,-1.2
2006/1/8,1.8,8.3,-3.4
2006/1/9,3.0,9.7,-2.8
2006/1/10,5.1,11.6,0.7
2006/1/11,4.9,11.5,-0.8
2006/1/12,7.5,15.2,-0.8
2006/1/13,10.4,14.7,6.5
2006/1/14,11.3,13.6,9.1
2006/1/15,9.1,12.9,6.2
2006/1/16,5.9,8.3,2.2
2006/1/17,8.4,12.2,5.7
2006/1/18,7.7,10.3,5.7
2006/1/19,6.7,8.6,5.1
2006/1/20,5.1,6.8,3.6
2006/1/21,5.4,8.3,2.7
2006/1/22,4.9,11.1,0.7
2006/1/23,3.9,7.7,0.4
2006/1/24,2.9,9.3,-2.4
2006/1/25,4.0,10.6,-1.2
2006/1/26,4.1,10.6,-1.6
2006/1/27,4.9,11.5,0.3
2006/1/28,4.9,12.0,-1.0
2006/1/29,8.4,14.5,1.5
2006/1/30,11.7,14.8,8.3
2006/1/31,13.6,18.4,10.5
2006/2/1,11.0,13.4,6.0
2006/2/2,7.1,12.0,2.3
2006/2/3,5.0,8.1,0.9
2006/2/4,1.5,5.5,-1.7
2006/2/5,2.3,8.5,-4.3
2006/2/6,4.5,7.2,0.7
2006/2/7,5.8,11.6,3.3
2006/2/8,2.8,4.9,1.5
2006/2/9,3.1,7.8,-0.4
2006/2/10,4.6,8.9,-0.6
2006/2/11,6.9,10.4,3.7
2006/2/12,5.2,9.5,-0.1
2006/2/13,4.8,13.5,-3.5
2006/2/14,10.0,13.7,3.0
2006/2/15,12.5,15.5,10.4
2006/2/16,11.0,12.4,9.3
2006/2/17,6.9,10.0,1.9
2006/2/18,4.3,9.0,-0.3
2006/2/19,5.8,9.9,1.6
2006/2/20,7.0,11.7,4.5
2006/2/21,9.6,18.2,3.3
2006/2/22,9.0,13.3,2.9
2006/2/23,9.9,15.0,6.2
2006/2/24,9.7,16.1,5.1
2006/2/25,12.2,18.5,6.6
2006/2/26,12.2,15.5,8.9
2006/2/27,8.6,12.4,5.6
2006/2/28,6.8,10.5,3.0
2006/3/1,6.7,8.5,5.9
2006/3/2,5.4,8.3,4.0
2006/3/3,4.3,8.5,-0.2
2006/3/4,4.4,11.4,-2.3
2006/3/5,9.3,15.5,1.2
2006/3/6,11.1,12.7,8.3
2006/3/7,11.2,18.5,4.1
2006/3/8,10.9,17.4,5.1
2006/3/9,10.5,14.5,5.4
2006/3/10,13.6,19.5,9.1
2006/3/11,12.4,17.6,6.3
2006/3/12,8.7,13.8,3.1
2006/3/13,2.6,5.5,0.7
2006/3/14,4.5,8.4,1.0
2006/3/15,8.9,14.9,1.2
2006/3/16,9.4,11.8,6.7
2006/3/17,11.6,17.7,5.1
2006/3/18,10.2,12.3,8.7
2006/3/19,9.3,12.9,4.6
2006/3/20,8.3,15.4,1.3
2006/3/21,9.5,13.8,6.4
2006/3/22,12.8,18.5,9.5
2006/3/23,12.0,16.4,6.8
2006/3/24,10.5,16.9,4.3
2006/3/25,10.9,18.2,3.9
2006/3/26,11.3,15.3,8.2
2006/3/27,12.9,19.7,6.0
2006/3/28,9.5,15.0,5.5
2006/3/29,7.9,13.1,4.1
2006/3/30,10.1,15.3,4.3
2006/3/31,9.9,16.4,3.1
