ダウンロードした時刻：2017/07/24 15:41:41

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,4.6,7.8,2.4
2008/1/2,4.8,7.5,3.0
2008/1/3,6.9,11.9,3.4
2008/1/4,7.0,11.2,3.7
2008/1/5,5.9,11.2,1.2
2008/1/6,8.7,14.8,2.6
2008/1/7,6.5,8.2,5.2
2008/1/8,10.3,14.2,6.1
2008/1/9,9.5,14.5,6.3
2008/1/10,7.1,10.9,4.2
2008/1/11,7.0,10.6,3.1
2008/1/12,8.3,11.6,5.6
2008/1/13,4.5,6.9,2.8
2008/1/14,4.2,7.7,2.2
2008/1/15,5.4,9.8,1.5
2008/1/16,6.5,11.5,4.2
2008/1/17,4.1,7.0,1.9
2008/1/18,4.6,9.4,1.7
2008/1/19,4.2,9.0,0.9
2008/1/20,4.1,8.5,1.2
2008/1/21,4.8,6.6,1.6
2008/1/22,4.7,6.8,1.8
2008/1/23,5.3,8.1,3.2
2008/1/24,4.4,8.1,1.3
2008/1/25,1.7,4.2,0.2
2008/1/26,2.6,5.8,0.6
2008/1/27,2.6,5.7,0.1
2008/1/28,2.5,5.0,-0.9
2008/1/29,5.6,8.5,2.5
2008/1/30,8.0,11.2,5.8
2008/1/31,5.1,8.3,2.9
2008/2/1,4.5,7.6,1.9
2008/2/2,4.7,8.2,2.2
2008/2/3,3.1,5.5,0.3
2008/2/4,5.3,10.1,2.1
2008/2/5,5.4,9.6,2.8
2008/2/6,4.5,7.7,1.6
2008/2/7,4.6,9.1,1.5
2008/2/8,3.3,8.2,0.5
2008/2/9,1.3,3.6,-0.5
2008/2/10,6.2,11.0,2.0
2008/2/11,6.1,9.8,1.5
2008/2/12,5.5,7.7,1.8
2008/2/13,0.6,4.1,-1.3
2008/2/14,3.8,7.9,0.1
2008/2/15,5.3,10.0,2.3
2008/2/16,3.0,7.6,1.0
2008/2/17,2.4,7.0,0.1
2008/2/18,2.9,6.3,0.4
2008/2/19,4.4,9.2,0.7
2008/2/20,6.6,12.2,0.3
2008/2/21,7.5,12.7,3.3
2008/2/22,6.8,11.6,1.2
2008/2/23,5.6,12.5,-1.3
2008/2/24,0.6,3.5,-2.1
2008/2/25,3.2,7.9,-0.2
2008/2/26,3.3,5.7,1.5
2008/2/27,3.7,6.8,1.2
2008/2/28,4.6,9.0,1.5
2008/2/29,5.9,10.6,-0.1
2008/3/1,7.6,11.9,3.9
2008/3/2,6.7,11.2,2.4
2008/3/3,7.0,13.0,2.6
2008/3/4,6.8,10.7,4.7
2008/3/5,4.4,8.7,1.9
2008/3/6,5.7,11.0,1.1
2008/3/7,7.1,11.5,3.0
2008/3/8,7.1,11.9,2.8
2008/3/9,6.7,11.2,0.6
2008/3/10,10.0,14.8,6.8
2008/3/11,11.1,20.8,3.7
2008/3/12,11.2,15.5,7.1
2008/3/13,11.3,13.8,9.4
2008/3/14,12.0,14.3,10.4
2008/3/15,11.3,16.3,7.8
2008/3/16,10.5,18.6,4.4
2008/3/17,11.8,14.8,9.1
2008/3/18,10.9,15.2,5.0
2008/3/19,11.8,13.2,10.4
2008/3/20,10.7,12.3,9.6
2008/3/21,12.8,18.3,10.0
2008/3/22,11.8,15.8,7.3
2008/3/23,12.7,16.3,8.5
2008/3/24,13.7,18.6,9.4
2008/3/25,11.7,16.8,6.5
2008/3/26,12.4,18.6,7.6
2008/3/27,10.7,16.1,6.3
2008/3/28,10.7,14.6,7.9
2008/3/29,9.6,14.0,6.2
2008/3/30,8.5,12.1,6.6
2008/3/31,8.7,13.2,6.2
2008/4/1,9.4,13.8,5.5
2008/4/2,11.3,16.4,6.1
2008/4/3,13.2,18.6,9.7
2008/4/4,12.1,18.7,6.2
2008/4/5,13.4,20.9,6.9
2008/4/6,12.7,17.7,8.3
2008/4/7,11.4,13.6,8.0
2008/4/8,14.7,19.4,11.7
2008/4/9,14.2,18.4,10.4
2008/4/10,12.9,13.9,11.4
2008/4/11,14.7,18.8,11.9
2008/4/12,14.3,20.4,10.9
2008/4/13,13.4,17.9,8.2
2008/4/14,15.0,20.1,11.4
2008/4/15,14.5,19.3,9.4
2008/4/16,15.3,17.7,11.7
2008/4/17,14.6,15.8,13.3
2008/4/18,14.9,16.8,13.6
2008/4/19,15.8,20.5,13.5
2008/4/20,16.9,22.8,13.2
2008/4/21,18.3,25.9,12.0
2008/4/22,17.2,21.1,12.7
2008/4/23,18.9,22.3,15.6
2008/4/24,15.8,18.8,11.8
2008/4/25,14.2,19.2,9.5
2008/4/26,15.6,22.3,8.9
2008/4/27,16.8,22.4,13.5
2008/4/28,16.5,21.1,12.8
2008/4/29,16.2,21.0,10.9
2008/4/30,19.1,24.1,13.7
2008/5/1,18.2,21.8,15.0
