ダウンロードした時刻：2017/07/24 15:45:58

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,6.0,14.4,0.0
1996/1/2,5.9,13.3,-0.1
1996/1/3,6.6,14.9,0.8
1996/1/4,4.4,11.0,-0.6
1996/1/5,5.7,14.2,-1.0
1996/1/6,8.2,15.3,2.0
1996/1/7,10.2,15.8,4.1
1996/1/8,8.5,14.3,1.6
1996/1/9,2.1,7.0,-1.6
1996/1/10,3.0,11.0,-3.0
1996/1/11,4.8,13.7,-1.8
1996/1/12,5.8,12.5,0.6
1996/1/13,6.2,14.2,-0.9
1996/1/14,9.2,10.8,6.6
1996/1/15,14.1,20.0,9.4
1996/1/16,11.2,15.8,5.0
1996/1/17,7.2,13.8,1.0
1996/1/18,7.0,9.7,4.2
1996/1/19,6.9,11.3,4.6
1996/1/20,8.3,13.6,4.3
1996/1/21,7.2,13.7,1.3
1996/1/22,6.5,8.2,4.3
1996/1/23,7.9,13.1,3.0
1996/1/24,4.5,9.8,0.3
1996/1/25,3.2,8.4,-1.8
1996/1/26,3.9,9.0,0.6
1996/1/27,3.7,10.1,-2.2
1996/1/28,4.7,11.3,-0.9
1996/1/29,6.2,13.7,1.0
1996/1/30,4.5,10.3,0.2
1996/1/31,3.0,9.6,-2.5
1996/2/1,2.3,7.7,-1.6
1996/2/2,0.5,4.7,-2.2
1996/2/3,1.8,9.1,-4.3
1996/2/4,4.6,11.4,-2.7
1996/2/5,5.3,13.5,0.1
1996/2/6,3.1,7.4,-1.3
1996/2/7,3.4,10.1,-2.1
1996/2/8,5.6,11.9,-0.9
1996/2/9,5.5,10.6,-0.2
1996/2/10,2.4,7.2,-1.2
1996/2/11,3.1,9.2,-2.4
1996/2/12,7.3,14.9,0.2
1996/2/13,8.6,13.0,5.1
1996/2/14,12.8,20.8,5.3
1996/2/15,14.0,20.2,7.9
1996/2/16,10.2,17.1,5.4
1996/2/17,6.5,8.1,5.7
1996/2/18,7.0,12.3,4.1
1996/2/19,5.9,11.0,2.9
1996/2/20,5.9,10.9,1.2
1996/2/21,4.3,9.0,0.0
1996/2/22,4.4,10.5,-1.7
1996/2/23,5.5,11.7,-0.8
1996/2/24,6.4,12.2,-0.2
1996/2/25,6.6,8.2,4.9
1996/2/26,8.3,14.8,1.4
1996/2/27,8.1,14.2,4.0
1996/2/28,6.7,13.0,0.2
1996/2/29,7.4,12.7,1.8
1996/3/1,9.5,15.5,2.8
1996/3/2,6.2,14.0,-0.1
1996/3/3,6.0,12.3,0.1
1996/3/4,7.3,15.4,0.1
1996/3/5,4.8,8.7,2.4
1996/3/6,5.1,10.9,-1.4
1996/3/7,5.5,8.0,2.1
1996/3/8,12.7,20.5,6.9
1996/3/9,7.9,13.2,3.9
1996/3/10,7.0,12.8,1.8
1996/3/11,7.7,15.6,2.6
1996/3/12,6.9,11.6,3.0
1996/3/13,7.3,12.0,3.9
1996/3/14,9.3,15.6,2.3
1996/3/15,11.0,17.6,8.4
1996/3/16,10.6,16.1,4.5
1996/3/17,13.6,20.9,8.9
1996/3/18,11.2,14.8,6.3
1996/3/19,8.9,14.7,1.5
1996/3/20,10.7,15.5,8.1
1996/3/21,10.4,12.9,6.4
1996/3/22,14.6,21.1,8.5
1996/3/23,11.0,15.8,7.9
1996/3/24,8.9,10.6,6.2
1996/3/25,13.1,18.7,9.7
1996/3/26,12.8,20.1,6.4
1996/3/27,12.7,17.2,9.1
1996/3/28,14.1,18.3,10.5
1996/3/29,11.2,13.9,9.3
1996/3/30,15.3,19.7,11.7
1996/3/31,15.0,20.5,9.5
1996/4/1,12.2,16.8,8.6
1996/4/2,8.2,13.3,4.5
1996/4/3,6.6,14.0,0.9
1996/4/4,7.8,14.3,1.2
1996/4/5,9.5,17.9,1.9
1996/4/6,11.3,17.2,3.3
1996/4/7,15.0,23.5,9.9
1996/4/8,13.8,19.6,7.5
1996/4/9,13.2,19.5,6.6
1996/4/10,11.6,16.3,6.8
1996/4/11,9.7,15.4,4.2
1996/4/12,8.6,13.4,3.5
1996/4/13,9.5,16.2,3.6
1996/4/14,9.7,15.1,4.1
1996/4/15,14.0,19.0,9.0
1996/4/16,14.2,20.9,9.3
1996/4/17,14.2,19.8,7.0
1996/4/18,17.0,23.4,12.1
1996/4/19,10.5,13.9,8.8
1996/4/20,11.8,15.8,8.7
1996/4/21,11.2,18.4,4.7
1996/4/22,11.8,17.8,4.8
1996/4/23,13.7,20.6,6.5
1996/4/24,15.2,22.3,8.5
1996/4/25,15.5,21.8,8.4
1996/4/26,16.2,22.7,10.1
1996/4/27,17.2,24.2,9.4
1996/4/28,19.2,25.2,11.9
1996/4/29,18.8,22.6,15.4
1996/4/30,15.5,18.3,14.1
1996/5/1,18.9,21.8,14.5
