ダウンロードした時刻：2017/07/24 15:44:09

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,10.8,15.3,7.6
1991/1/2,10.0,14.0,6.6
1991/1/3,5.7,9.6,3.8
1991/1/4,5.4,8.4,3.4
1991/1/5,3.3,6.7,1.1
1991/1/6,3.3,8.3,-0.4
1991/1/7,5.4,10.2,-0.3
1991/1/8,5.7,8.3,3.0
1991/1/9,3.7,7.4,1.4
1991/1/10,5.7,11.8,0.7
1991/1/11,7.1,10.3,4.8
1991/1/12,5.8,10.5,2.4
1991/1/13,3.0,7.2,1.0
1991/1/14,2.9,6.5,-0.2
1991/1/15,4.0,8.7,1.3
1991/1/16,6.5,11.1,1.7
1991/1/17,6.9,14.0,4.1
1991/1/18,4.7,8.6,2.3
1991/1/19,5.5,11.2,0.6
1991/1/20,6.4,9.5,2.4
1991/1/21,8.7,10.4,7.2
1991/1/22,9.0,12.1,5.7
1991/1/23,5.7,9.3,1.8
1991/1/24,4.0,7.5,1.4
1991/1/25,6.5,11.0,3.4
1991/1/26,4.3,8.9,0.9
1991/1/27,4.7,10.8,0.7
1991/1/28,4.5,8.0,2.5
1991/1/29,4.5,8.3,2.7
1991/1/30,5.2,8.9,2.1
1991/1/31,5.3,10.7,1.0
1991/2/1,5.9,12.5,1.7
1991/2/2,4.5,8.0,1.7
1991/2/3,5.4,10.1,0.5
1991/2/4,5.4,10.5,2.9
1991/2/5,4.8,10.1,1.2
1991/2/6,3.8,9.3,-1.0
1991/2/7,6.0,12.3,0.9
1991/2/8,5.9,11.4,1.0
1991/2/9,5.6,10.4,-0.1
1991/2/10,7.6,10.7,5.0
1991/2/11,9.8,13.9,7.3
1991/2/12,8.2,13.6,4.2
1991/2/13,4.9,8.4,1.0
1991/2/14,8.1,11.0,5.4
1991/2/15,9.6,11.2,7.6
1991/2/16,5.8,8.5,3.4
1991/2/17,4.4,8.4,2.2
1991/2/18,4.5,6.9,1.2
1991/2/19,3.4,7.0,0.3
1991/2/20,2.3,7.2,-0.5
1991/2/21,1.9,7.3,-1.4
1991/2/22,0.7,5.6,-2.7
1991/2/23,-0.5,3.7,-3.2
1991/2/24,0.0,4.6,-2.4
1991/2/25,1.6,8.1,-3.8
1991/2/26,3.3,9.8,-2.8
1991/2/27,6.2,11.6,-0.9
1991/2/28,9.6,12.1,7.6
1991/3/1,7.1,10.8,3.0
1991/3/2,5.8,12.3,0.3
1991/3/3,6.3,12.7,0.1
1991/3/4,7.0,12.1,1.4
1991/3/5,11.6,16.1,8.5
1991/3/6,13.1,17.8,9.6
1991/3/7,11.5,17.9,6.7
1991/3/8,6.1,8.2,5.0
1991/3/9,10.9,14.9,7.5
1991/3/10,11.2,15.8,6.4
1991/3/11,9.7,12.9,8.2
1991/3/12,10.6,15.5,7.2
1991/3/13,10.9,16.2,5.3
1991/3/14,8.0,12.5,4.6
1991/3/15,6.2,10.7,1.4
1991/3/16,5.2,8.4,0.8
1991/3/17,8.4,13.4,5.1
1991/3/18,8.4,14.2,2.3
1991/3/19,11.4,19.0,3.9
1991/3/20,14.3,17.9,10.3
1991/3/21,11.3,15.9,8.3
1991/3/22,8.8,11.2,5.7
1991/3/23,13.9,19.6,10.8
1991/3/24,13.4,21.5,7.7
1991/3/25,11.8,14.4,9.6
1991/3/26,14.1,17.1,9.8
1991/3/27,14.3,16.2,11.7
1991/3/28,11.6,14.4,9.2
1991/3/29,11.8,17.8,7.6
1991/3/30,10.1,11.7,8.7
1991/3/31,10.9,14.2,8.8
1991/4/1,8.5,12.4,5.3
1991/4/2,7.8,15.3,1.5
1991/4/3,8.8,15.8,1.8
1991/4/4,11.5,18.7,3.3
1991/4/5,13.7,16.6,10.5
1991/4/6,14.4,15.9,13.3
1991/4/7,15.4,17.3,14.4
1991/4/8,15.6,19.8,12.3
1991/4/9,15.5,22.2,8.6
1991/4/10,16.2,22.4,11.3
1991/4/11,18.2,22.0,15.1
1991/4/12,20.6,24.4,17.3
1991/4/13,18.3,20.4,16.8
1991/4/14,17.4,22.2,12.4
1991/4/15,16.0,21.6,9.3
1991/4/16,18.1,24.3,13.5
1991/4/17,15.4,19.4,11.2
1991/4/18,16.2,21.5,10.8
1991/4/19,13.5,20.2,7.3
1991/4/20,15.1,20.9,9.0
1991/4/21,14.5,20.1,7.7
1991/4/22,15.3,22.4,8.3
1991/4/23,15.4,21.6,10.4
1991/4/24,14.3,14.9,13.6
1991/4/25,17.7,22.5,14.1
1991/4/26,16.5,19.6,13.9
1991/4/27,16.5,23.3,11.1
1991/4/28,17.5,24.5,10.6
1991/4/29,16.6,19.5,13.9
1991/4/30,15.5,20.3,9.3
1991/5/1,16.5,19.4,12.9
