ダウンロードした時刻：2017/07/24 15:40:39

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/1/1,5.2,9.7,1.1
1993/1/2,8.7,12.7,4.9
1993/1/3,8.4,11.7,4.2
1993/1/4,6.9,8.9,5.5
1993/1/5,5.2,6.9,3.0
1993/1/6,5.6,9.7,0.1
1993/1/7,9.6,11.0,7.1
1993/1/8,7.3,9.7,4.8
1993/1/9,5.3,7.8,0.7
1993/1/10,7.2,9.5,3.8
1993/1/11,5.6,9.6,2.3
1993/1/12,5.6,10.1,1.8
1993/1/13,7.1,10.2,2.6
1993/1/14,7.6,8.2,6.8
1993/1/15,8.7,9.6,7.8
1993/1/16,9.6,12.5,6.2
1993/1/17,5.5,8.5,1.7
1993/1/18,5.0,8.4,1.8
1993/1/19,1.9,3.2,0.7
1993/1/20,2.9,4.7,1.1
1993/1/21,3.5,5.3,1.9
1993/1/22,4.3,8.2,0.5
1993/1/23,4.7,10.7,-0.2
1993/1/24,6.2,10.1,3.5
1993/1/25,6.3,8.9,4.4
1993/1/26,7.0,10.6,2.5
1993/1/27,5.3,9.8,1.0
1993/1/28,1.7,3.3,-0.9
1993/1/29,3.7,5.6,1.2
1993/1/30,4.0,6.8,1.7
1993/1/31,5.9,10.0,3.6
1993/2/1,3.6,5.7,1.0
1993/2/2,1.8,3.3,0.3
1993/2/3,4.0,7.5,1.0
1993/2/4,6.4,10.1,3.7
1993/2/5,6.9,9.9,1.2
1993/2/6,13.0,16.7,8.1
1993/2/7,11.5,17.0,5.2
1993/2/8,3.1,5.4,1.8
1993/2/9,2.4,5.6,0.5
1993/2/10,2.6,5.6,0.4
1993/2/11,5.3,8.3,1.3
1993/2/12,5.7,7.4,2.6
1993/2/13,6.8,10.0,2.8
1993/2/14,4.4,7.2,0.9
1993/2/15,5.2,10.7,-1.1
1993/2/16,8.7,13.8,2.2
1993/2/17,10.9,14.4,7.9
1993/2/18,7.1,8.4,5.6
1993/2/19,5.5,7.6,3.9
1993/2/20,5.6,9.2,2.8
1993/2/21,10.1,14.1,3.3
1993/2/22,10.3,13.1,6.0
1993/2/23,3.3,6.2,1.0
1993/2/24,2.9,4.7,1.1
1993/2/25,3.3,5.9,1.2
1993/2/26,3.4,8.5,0.5
1993/2/27,6.2,10.4,0.1
1993/2/28,7.3,10.9,4.5
1993/3/1,3.5,6.6,0.2
1993/3/2,2.1,5.1,-0.1
1993/3/3,4.3,8.9,1.3
1993/3/4,6.0,11.9,2.0
1993/3/5,8.8,14.6,1.7
1993/3/6,11.8,16.6,4.4
1993/3/7,9.8,13.5,5.0
1993/3/8,5.1,6.5,3.2
1993/3/9,5.8,8.9,2.6
1993/3/10,6.3,11.2,1.6
1993/3/11,7.2,11.0,3.5
1993/3/12,7.2,11.3,4.2
1993/3/13,5.5,7.7,4.3
1993/3/14,6.8,10.3,4.1
1993/3/15,5.1,6.7,3.9
1993/3/16,4.1,6.1,1.8
1993/3/17,4.2,7.3,1.8
1993/3/18,5.8,11.4,-0.3
1993/3/19,6.2,9.4,2.2
1993/3/20,5.3,10.2,2.5
1993/3/21,5.9,11.8,0.4
1993/3/22,8.3,13.6,3.8
1993/3/23,9.1,14.5,2.0
1993/3/24,13.0,15.7,9.4
1993/3/25,10.4,14.5,7.0
1993/3/26,10.2,14.3,6.6
1993/3/27,11.0,15.5,7.1
1993/3/28,10.6,12.9,8.4
1993/3/29,5.3,10.1,2.0
1993/3/30,7.2,12.8,-0.2
1993/3/31,12.8,16.0,8.8
1993/4/1,11.8,14.5,9.4
1993/4/2,11.3,15.4,7.8
1993/4/3,13.0,22.5,6.6
1993/4/4,10.2,13.9,6.9
1993/4/5,8.4,11.5,6.8
1993/4/6,8.3,12.2,4.3
1993/4/7,8.0,12.3,2.8
1993/4/8,5.7,11.3,2.4
1993/4/9,6.0,10.2,2.3
1993/4/10,5.7,10.8,2.1
1993/4/11,5.6,10.7,1.2
1993/4/12,6.4,11.0,2.9
1993/4/13,8.7,14.9,1.4
1993/4/14,10.5,17.1,4.6
1993/4/15,12.1,17.6,6.1
1993/4/16,12.6,17.8,7.5
1993/4/17,14.2,19.6,10.2
1993/4/18,15.4,21.0,10.8
1993/4/19,14.2,18.7,10.4
1993/4/20,15.7,22.3,10.3
1993/4/21,17.1,22.4,11.3
1993/4/22,15.9,16.8,14.4
1993/4/23,18.6,24.6,15.3
1993/4/24,20.1,21.8,17.8
1993/4/25,11.1,17.8,7.5
1993/4/26,13.2,19.3,5.8
1993/4/27,16.1,21.5,12.2
1993/4/28,14.8,20.8,10.4
1993/4/29,13.3,15.4,12.6
1993/4/30,13.3,14.3,11.4
1993/5/1,12.9,16.0,10.5
