ダウンロードした時刻：2017/07/24 15:47:18

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,9.2,17.2,2.2
1988/1/2,9.2,11.6,6.5
1988/1/3,9.7,16.8,5.8
1988/1/4,10.0,12.7,7.4
1988/1/5,8.1,11.7,5.6
1988/1/6,6.6,13.0,0.1
1988/1/7,8.1,11.8,4.5
1988/1/8,8.5,12.4,6.7
1988/1/9,6.7,9.2,3.8
1988/1/10,2.6,5.6,-1.6
1988/1/11,1.0,7.3,-4.0
1988/1/12,2.7,8.6,-2.5
1988/1/13,4.5,12.9,-2.3
1988/1/14,7.6,17.4,-2.3
1988/1/15,10.2,13.6,6.0
1988/1/16,9.8,15.1,5.6
1988/1/17,5.2,8.9,1.0
1988/1/18,6.0,9.7,2.8
1988/1/19,5.9,10.8,1.9
1988/1/20,5.8,13.9,-1.2
1988/1/21,11.1,19.1,2.0
1988/1/22,12.4,16.1,10.0
1988/1/23,3.1,11.2,-0.9
1988/1/24,2.0,6.1,-1.7
1988/1/25,3.7,5.7,0.2
1988/1/26,5.6,9.0,3.5
1988/1/27,4.9,10.2,0.3
1988/1/28,5.8,13.2,-1.6
1988/1/29,8.8,14.7,4.5
1988/1/30,6.5,12.1,0.8
1988/1/31,4.7,8.9,0.3
1988/2/1,4.0,10.3,-2.7
1988/2/2,5.1,11.9,2.1
1988/2/3,-0.1,4.3,-2.8
1988/2/4,5.2,12.2,-4.1
1988/2/5,14.9,19.5,7.3
1988/2/6,7.7,14.2,3.1
1988/2/7,2.2,4.8,-0.5
1988/2/8,3.3,7.2,0.8
1988/2/9,2.9,8.1,-1.2
1988/2/10,3.7,8.6,0.1
1988/2/11,3.8,10.4,-2.1
1988/2/12,5.1,12.3,-1.2
1988/2/13,7.4,14.5,-0.7
1988/2/14,8.1,13.7,4.7
1988/2/15,6.0,10.6,1.9
1988/2/16,3.6,9.2,-1.8
1988/2/17,3.6,6.5,1.8
1988/2/18,2.4,6.8,-1.3
1988/2/19,3.3,10.5,-4.5
1988/2/20,4.9,8.6,2.2
1988/2/21,7.0,13.9,0.5
1988/2/22,10.2,17.4,1.5
1988/2/23,11.0,12.9,9.5
1988/2/24,11.3,15.6,8.2
1988/2/25,9.3,16.8,3.5
1988/2/26,7.0,8.8,5.9
1988/2/27,7.0,9.0,5.6
1988/2/28,9.0,13.6,3.5
1988/2/29,9.5,13.0,7.1
1988/3/1,9.5,11.1,8.1
1988/3/2,9.0,13.3,6.0
1988/3/3,4.0,6.7,-0.5
1988/3/4,2.2,7.7,-2.7
1988/3/5,4.3,9.4,0.0
1988/3/6,5.8,10.9,0.2
1988/3/7,3.7,6.4,0.7
1988/3/8,4.5,9.1,0.8
1988/3/9,5.3,10.9,-0.3
1988/3/10,7.6,15.2,-0.1
1988/3/11,11.5,19.2,3.0
1988/3/12,12.4,15.4,7.2
1988/3/13,12.0,19.3,3.5
1988/3/14,15.0,20.3,11.6
1988/3/15,11.4,16.9,8.2
1988/3/16,5.7,8.2,4.4
1988/3/17,7.3,8.8,5.1
1988/3/18,9.6,14.5,6.0
1988/3/19,10.6,17.0,3.4
1988/3/20,10.6,17.5,6.1
1988/3/21,11.1,15.6,6.6
1988/3/22,11.3,15.7,9.2
1988/3/23,10.0,15.8,5.4
1988/3/24,11.0,18.4,1.7
1988/3/25,11.4,13.5,9.5
1988/3/26,10.3,14.3,7.2
1988/3/27,10.0,16.0,3.5
1988/3/28,9.1,15.2,6.2
1988/3/29,10.5,14.9,5.8
1988/3/30,7.7,10.8,6.0
1988/3/31,11.6,19.2,4.4
1988/4/1,13.1,20.5,5.1
1988/4/2,12.3,13.6,11.2
1988/4/3,15.7,23.4,7.6
1988/4/4,15.3,20.9,11.4
1988/4/5,15.2,22.0,8.7
1988/4/6,14.3,21.5,7.7
1988/4/7,9.2,11.1,7.5
1988/4/8,8.9,14.4,4.7
1988/4/9,9.5,16.7,1.6
1988/4/10,11.4,18.7,3.7
1988/4/11,14.2,20.7,5.1
1988/4/12,15.9,20.3,11.9
1988/4/13,16.0,22.1,11.6
1988/4/14,13.6,19.9,8.5
1988/4/15,12.6,20.3,4.4
1988/4/16,15.6,24.4,5.9
1988/4/17,16.2,20.4,12.8
1988/4/18,14.6,20.1,8.9
1988/4/19,15.2,22.9,5.1
1988/4/20,19.0,23.9,15.9
1988/4/21,17.1,19.5,15.0
1988/4/22,14.1,18.8,10.5
1988/4/23,13.1,18.6,7.2
1988/4/24,12.8,17.9,8.6
1988/4/25,14.0,20.8,6.3
1988/4/26,16.3,23.8,7.6
1988/4/27,15.6,18.0,13.1
1988/4/28,17.9,21.6,13.9
1988/4/29,17.6,20.9,15.8
1988/4/30,19.3,25.1,13.8
1988/5/1,21.4,28.0,13.3
