ダウンロードした時刻：2017/07/24 15:37:21

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/1/1,-3.0,-0.5,-6.8
2006/1/2,-0.8,2.6,-3.0
2006/1/3,-3.3,-0.3,-6.2
2006/1/4,-3.3,-0.9,-7.3
2006/1/5,-3.3,0.2,-8.3
2006/1/6,-5.3,-1.7,-8.5
2006/1/7,-6.4,-1.3,-11.8
2006/1/8,-6.2,-2.0,-10.2
2006/1/9,-4.1,-0.8,-8.8
2006/1/10,-5.6,-1.5,-11.1
2006/1/11,-1.4,1.1,-4.3
2006/1/12,-4.6,-1.7,-9.6
2006/1/13,-6.3,-2.8,-11.1
2006/1/14,0.9,3.7,-2.9
2006/1/15,2.0,5.0,-2.5
2006/1/16,0.8,5.3,-3.3
2006/1/17,-2.3,0.9,-6.6
2006/1/18,-4.1,-0.7,-8.4
2006/1/19,-5.5,-3.4,-6.8
2006/1/20,-3.7,-0.6,-10.0
2006/1/21,-1.8,0.7,-4.3
2006/1/22,-4.1,-1.6,-6.4
2006/1/23,-5.7,-2.9,-10.1
2006/1/24,-2.4,-0.1,-6.6
2006/1/25,-0.7,1.7,-3.7
2006/1/26,-2.3,-0.5,-3.7
2006/1/27,-1.3,1.6,-5.7
2006/1/28,-2.9,1.3,-8.1
2006/1/29,-0.2,3.2,-2.4
2006/1/30,0.9,5.7,-3.6
2006/1/31,-2.4,1.2,-6.4
2006/2/1,-4.7,-1.8,-8.2
2006/2/2,-3.8,0.0,-9.1
2006/2/3,-7.0,-2.6,-11.9
2006/2/4,-7.7,-1.6,-13.8
2006/2/5,-6.4,-1.7,-12.1
2006/2/6,-2.3,0.2,-4.2
2006/2/7,-2.4,-0.4,-4.6
2006/2/8,-1.5,1.0,-4.1
2006/2/9,-3.7,-2.1,-6.1
2006/2/10,-1.6,1.1,-4.9
2006/2/11,-2.1,0.7,-6.4
2006/2/12,-5.0,-2.7,-9.2
2006/2/13,0.7,6.6,-4.1
2006/2/14,4.7,8.7,2.6
2006/2/15,5.1,8.6,0.3
2006/2/16,0.2,1.0,-0.4
2006/2/17,-2.7,0.6,-6.6
2006/2/18,-1.2,1.3,-6.0
2006/2/19,1.3,3.9,-1.0
2006/2/20,2.8,6.7,-1.2
2006/2/21,3.2,10.1,-2.6
2006/2/22,3.8,8.5,-0.6
2006/2/23,2.7,5.6,-3.5
2006/2/24,-0.4,3.8,-5.0
2006/2/25,1.6,6.7,-3.2
2006/2/26,3.7,7.8,-0.4
2006/2/27,-1.0,5.3,-3.1
2006/2/28,-1.2,3.0,-5.2
2006/3/1,-0.4,1.0,-2.2
2006/3/2,1.0,3.6,-1.7
2006/3/3,-1.0,2.4,-3.3
2006/3/4,0.3,5.2,-5.2
2006/3/5,3.3,7.2,-0.1
2006/3/6,3.4,7.4,-1.8
2006/3/7,0.5,5.9,-5.9
2006/3/8,1.8,5.4,-0.8
2006/3/9,1.0,5.5,-2.7
2006/3/10,2.8,6.8,-1.3
2006/3/11,6.5,12.9,-0.1
2006/3/12,1.1,6.0,-3.1
2006/3/13,-3.9,-1.4,-5.0
2006/3/14,-3.4,-1.0,-5.0
2006/3/15,2.0,6.5,-4.0
2006/3/16,5.2,8.8,2.7
2006/3/17,4.7,10.7,0.7
2006/3/18,5.6,12.8,-0.6
2006/3/19,2.5,7.9,-2.1
2006/3/20,1.0,4.6,-2.2
2006/3/21,3.2,7.6,0.0
2006/3/22,5.0,10.9,0.3
2006/3/23,2.2,3.9,0.2
2006/3/24,2.5,6.1,-0.1
2006/3/25,4.1,10.6,-3.0
2006/3/26,3.6,9.9,-0.5
2006/3/27,3.1,8.2,-1.6
2006/3/28,4.6,13.5,-3.6
2006/3/29,1.1,4.4,-2.7
2006/3/30,-0.3,2.0,-2.4
2006/3/31,2.1,5.1,-0.9
2006/4/1,3.3,7.6,0.1
2006/4/2,3.3,6.5,-0.6
2006/4/3,3.4,6.1,1.3
2006/4/4,4.8,8.6,-0.4
2006/4/5,2.3,4.6,1.3
2006/4/6,1.7,5.9,-0.3
2006/4/7,3.3,8.8,-2.4
2006/4/8,1.1,2.0,-0.6
2006/4/9,3.3,8.3,-1.1
2006/4/10,4.3,11.5,-3.2
2006/4/11,6.7,9.3,3.6
2006/4/12,11.1,13.0,7.6
2006/4/13,11.7,18.6,6.1
2006/4/14,7.3,11.7,2.0
2006/4/15,7.6,15.4,-0.1
2006/4/16,5.7,8.9,2.5
2006/4/17,4.9,9.4,1.3
2006/4/18,6.5,9.2,1.9
2006/4/19,9.3,14.5,3.5
2006/4/20,6.9,13.1,1.2
2006/4/21,5.7,11.5,0.7
2006/4/22,6.2,10.6,1.4
2006/4/23,8.8,17.1,-0.7
2006/4/24,8.9,14.7,5.5
2006/4/25,6.7,12.6,2.7
2006/4/26,10.0,14.8,5.5
2006/4/27,8.2,12.9,3.9
2006/4/28,9.4,15.5,3.7
2006/4/29,13.6,21.0,3.6
2006/4/30,14.4,20.0,11.2
2006/5/1,14.1,19.2,8.9
