ダウンロードした時刻：2017/07/24 15:37:36

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,0.2,3.4,-2.3
1996/1/2,1.0,3.8,-2.6
1996/1/3,2.1,9.6,-3.1
1996/1/4,-0.5,1.7,-2.8
1996/1/5,3.1,4.6,1.6
1996/1/6,3.0,4.2,2.1
1996/1/7,3.6,6.5,-0.7
1996/1/8,2.4,6.8,-1.4
1996/1/9,-3.2,0.0,-4.7
1996/1/10,0.3,2.2,-4.4
1996/1/11,4.0,5.8,1.3
1996/1/12,4.3,6.0,3.5
1996/1/13,3.3,6.1,-1.3
1996/1/14,2.0,8.1,-2.6
1996/1/15,7.5,11.3,2.9
1996/1/16,3.8,5.7,0.8
1996/1/17,0.6,2.7,-0.8
1996/1/18,-0.7,0.8,-3.0
1996/1/19,0.1,1.7,-1.4
1996/1/20,2.1,6.6,-1.1
1996/1/21,1.7,3.1,0.0
1996/1/22,1.9,4.5,-0.9
1996/1/23,1.4,3.4,-1.1
1996/1/24,-2.2,1.4,-3.7
1996/1/25,-0.8,1.7,-3.3
1996/1/26,-0.7,0.9,-2.7
1996/1/27,2.1,4.5,0.2
1996/1/28,2.7,4.9,0.6
1996/1/29,2.1,5.1,0.1
1996/1/30,-2.1,0.9,-4.5
1996/1/31,-3.8,-2.2,-5.4
1996/2/1,-3.0,-1.4,-4.4
1996/2/2,-4.3,-0.3,-6.6
1996/2/3,-1.6,0.7,-3.5
1996/2/4,1.0,4.3,-1.3
1996/2/5,2.2,5.9,-0.4
1996/2/6,2.4,4.4,0.3
1996/2/7,2.7,4.0,1.8
1996/2/8,2.6,5.0,0.1
1996/2/9,0.0,1.7,-1.5
1996/2/10,-1.3,0.0,-3.0
1996/2/11,2.1,6.0,-1.1
1996/2/12,8.3,10.3,4.8
1996/2/13,8.7,13.2,5.7
1996/2/14,9.2,15.1,4.7
1996/2/15,3.7,7.4,0.4
1996/2/16,-1.6,0.4,-3.4
1996/2/17,-1.2,1.5,-3.8
1996/2/18,-0.9,3.3,-3.7
1996/2/19,-1.4,0.3,-3.0
1996/2/20,-0.4,1.4,-1.8
1996/2/21,-1.2,0.2,-2.4
1996/2/22,0.2,2.2,-2.1
1996/2/23,0.9,3.6,-2.0
1996/2/24,0.7,3.9,-1.9
1996/2/25,2.6,7.0,-0.6
1996/2/26,2.7,6.9,0.1
1996/2/27,4.7,10.5,0.3
1996/2/28,4.7,7.0,1.5
1996/2/29,5.9,10.0,1.9
1996/3/1,4.5,6.5,3.1
1996/3/2,1.2,4.0,-1.2
1996/3/3,0.7,2.7,-1.8
1996/3/4,1.0,5.5,-1.1
1996/3/5,-0.4,1.9,-2.2
1996/3/6,1.7,3.7,-0.8
1996/3/7,4.5,7.1,2.7
1996/3/8,4.3,6.8,2.1
1996/3/9,3.1,7.0,1.1
1996/3/10,2.5,4.0,0.4
1996/3/11,2.7,8.8,-0.6
1996/3/12,1.3,2.3,-0.8
1996/3/13,3.7,7.8,0.6
1996/3/14,6.2,10.6,0.4
1996/3/15,6.0,10.6,3.4
1996/3/16,5.5,8.3,3.2
1996/3/17,6.8,11.1,3.3
1996/3/18,3.6,7.7,-0.1
1996/3/19,3.0,5.7,0.9
1996/3/20,3.1,6.8,-0.8
1996/3/21,6.5,14.3,-2.5
1996/3/22,7.7,9.7,3.6
1996/3/23,2.1,4.6,0.3
1996/3/24,4.1,7.2,0.7
1996/3/25,5.3,6.9,3.2
1996/3/26,6.8,9.7,3.9
1996/3/27,4.6,9.7,-1.2
1996/3/28,5.6,8.5,2.1
1996/3/29,5.3,9.9,-0.7
1996/3/30,8.3,12.7,2.5
1996/3/31,8.6,11.2,6.5
1996/4/1,5.5,8.0,3.7
1996/4/2,3.5,6.2,1.2
1996/4/3,3.1,5.7,0.1
1996/4/4,4.0,8.6,1.7
1996/4/5,5.6,9.0,1.8
1996/4/6,7.9,10.5,5.6
1996/4/7,6.8,12.0,3.3
1996/4/8,7.2,11.6,4.1
1996/4/9,6.9,11.3,1.3
1996/4/10,7.3,10.9,3.7
1996/4/11,4.4,8.2,1.7
1996/4/12,3.8,7.1,1.5
1996/4/13,6.2,9.2,2.3
1996/4/14,8.7,12.4,2.5
1996/4/15,9.1,15.4,1.8
1996/4/16,8.7,11.8,5.8
1996/4/17,9.0,12.9,5.5
1996/4/18,7.9,10.0,6.0
1996/4/19,7.0,10.0,4.1
1996/4/20,5.5,9.4,3.3
1996/4/21,4.9,7.0,3.4
1996/4/22,6.6,12.5,0.6
1996/4/23,11.1,18.9,3.0
1996/4/24,12.5,20.1,4.9
1996/4/25,13.3,20.2,6.7
1996/4/26,12.8,18.6,7.4
1996/4/27,13.2,17.8,8.3
1996/4/28,10.5,12.1,8.3
1996/4/29,14.1,22.2,5.1
1996/4/30,17.1,24.1,10.1
1996/5/1,16.3,21.6,11.6
