É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:40:19

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1994/1/1,4.4,8.6,1.6
1994/1/2,3.4,9.8,-0.9
1994/1/3,2.8,8.2,-1.4
1994/1/4,7.4,13.2,2.5
1994/1/5,4.0,8.8,-0.9
1994/1/6,3.2,8.6,-0.3
1994/1/7,3.0,8.1,-0.5
1994/1/8,0.6,5.6,-3.1
1994/1/9,3.4,11.1,-2.6
1994/1/10,5.7,11.9,-1.6
1994/1/11,5.6,6.9,4.6
1994/1/12,6.7,12.2,1.3
1994/1/13,4.2,6.0,2.5
1994/1/14,4.1,8.1,1.6
1994/1/15,3.2,7.8,0.2
1994/1/16,2.2,8.3,-3.3
1994/1/17,5.0,11.6,-1.4
1994/1/18,6.1,10.4,0.4
1994/1/19,2.6,7.9,0.3
1994/1/20,2.3,8.2,-2.5
1994/1/21,0.9,2.4,-0.5
1994/1/22,1.3,7.5,-3.3
1994/1/23,2.1,8.8,-3.2
1994/1/24,1.8,7.0,-1.4
1994/1/25,3.3,11.8,-3.9
1994/1/26,4.5,12.1,-0.6
1994/1/27,5.3,11.6,-0.1
1994/1/28,1.8,4.6,-0.2
1994/1/29,1.5,6.9,-1.0
1994/1/30,0.4,4.4,-2.1
1994/1/31,1.3,6.5,-3.3
1994/2/1,1.1,6.2,-2.2
1994/2/2,3.6,6.7,-0.2
1994/2/3,0.9,5.9,-3.0
1994/2/4,4.3,9.2,0.2
1994/2/5,5.4,12.5,-0.5
1994/2/6,7.1,14.7,0.4
1994/2/7,8.3,14.3,3.9
1994/2/8,7.3,10.6,4.8
1994/2/9,7.1,12.3,3.0
1994/2/10,4.9,8.2,1.7
1994/2/11,3.2,7.8,-1.4
1994/2/12,0.3,2.0,-1.3
1994/2/13,0.7,4.2,-2.4
1994/2/14,3.2,7.9,-2.3
1994/2/15,6.6,12.7,2.2
1994/2/16,7.0,12.5,2.7
1994/2/17,5.3,10.4,1.5
1994/2/18,7.0,14.6,1.3
1994/2/19,6.5,15.4,-1.7
1994/2/20,7.4,13.6,0.7
1994/2/21,7.4,10.5,5.2
1994/2/22,4.6,7.7,1.0
1994/2/23,3.4,9.1,-0.5
1994/2/24,3.4,7.2,-0.1
1994/2/25,6.3,12.1,1.7
1994/2/26,5.8,10.8,0.8
1994/2/27,5.8,11.5,1.7
1994/2/28,5.8,11.4,0.4
1994/3/1,7.6,12.5,4.5
1994/3/2,5.9,11.6,1.9
1994/3/3,5.1,10.5,-1.9
1994/3/4,7.6,13.7,3.9
1994/3/5,5.8,9.8,1.7
1994/3/6,4.8,10.3,0.7
1994/3/7,4.7,9.3,-1.3
1994/3/8,6.0,6.8,5.0
1994/3/9,9.3,14.8,3.8
1994/3/10,4.9,8.3,2.1
1994/3/11,6.0,11.1,1.4
1994/3/12,6.2,11.7,2.1
1994/3/13,6.3,12.1,2.3
1994/3/14,5.1,9.8,1.9
1994/3/15,5.2,9.9,1.4
1994/3/16,5.9,11.4,-0.7
1994/3/17,7.9,15.0,2.1
1994/3/18,6.2,11.2,1.8
1994/3/19,8.1,12.3,5.2
1994/3/20,8.1,13.0,4.9
1994/3/21,6.2,11.4,1.8
1994/3/22,4.8,9.3,-1.3
1994/3/23,4.8,6.9,2.0
1994/3/24,10.5,16.8,5.1
1994/3/25,7.2,12.9,2.6
1994/3/26,6.3,11.7,0.2
1994/3/27,6.8,12.3,1.2
1994/3/28,8.3,14.8,0.8
1994/3/29,9.6,15.1,4.7
1994/3/30,8.7,14.6,3.2
1994/3/31,12.2,20.6,4.2
1994/4/1,12.8,19.1,5.5
1994/4/2,15.7,22.5,10.4
1994/4/3,12.8,17.0,8.1
1994/4/4,11.9,20.3,3.9
1994/4/5,16.0,24.8,7.9
1994/4/6,17.5,26.7,11.1
1994/4/7,17.9,24.9,13.3
1994/4/8,12.2,16.4,5.5
1994/4/9,6.7,11.1,3.7
1994/4/10,8.4,13.8,2.0
1994/4/11,12.5,20.2,4.4
1994/4/12,14.9,21.0,7.8
1994/4/13,14.5,18.7,8.2
1994/4/14,12.2,19.0,5.1
1994/4/15,14.1,22.4,5.0
1994/4/16,16.2,24.5,8.4
1994/4/17,17.5,26.7,9.9
1994/4/18,14.6,18.8,11.5
1994/4/19,16.9,23.7,11.2
1994/4/20,13.9,17.7,10.8
1994/4/21,16.3,24.2,9.4
1994/4/22,17.5,25.8,10.0
1994/4/23,14.9,19.4,11.3
1994/4/24,17.2,22.4,11.4
1994/4/25,18.1,24.8,12.6
1994/4/26,17.3,24.2,12.0
1994/4/27,16.2,21.5,10.0
1994/4/28,15.9,19.5,12.7
1994/4/29,17.1,24.1,9.4
1994/4/30,16.6,23.3,11.5
1994/5/1,14.1,18.3,11.0
