ダウンロードした時刻：2017/07/24 15:45:58

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,11.4,17.8,6.0
1997/1/2,6.5,10.8,0.5
1997/1/3,4.7,11.8,-1.0
1997/1/4,4.4,10.1,-0.7
1997/1/5,3.5,5.9,0.6
1997/1/6,5.1,10.2,0.2
1997/1/7,5.0,12.0,-1.3
1997/1/8,4.9,9.6,0.4
1997/1/9,4.9,10.5,0.0
1997/1/10,5.4,12.2,0.0
1997/1/11,6.7,14.1,0.8
1997/1/12,6.3,13.3,0.7
1997/1/13,7.0,14.4,0.2
1997/1/14,7.8,14.2,2.2
1997/1/15,7.8,14.0,2.9
1997/1/16,7.8,14.4,2.6
1997/1/17,7.2,14.3,1.5
1997/1/18,8.2,15.5,3.3
1997/1/19,6.2,12.8,0.3
1997/1/20,6.4,14.9,-0.1
1997/1/21,3.9,10.2,-1.5
1997/1/22,2.4,7.2,-2.9
1997/1/23,4.7,9.8,-1.7
1997/1/24,4.7,5.8,1.8
1997/1/25,4.4,11.6,-0.5
1997/1/26,4.8,13.6,-1.6
1997/1/27,6.2,13.3,-0.4
1997/1/28,5.9,12.2,1.7
1997/1/29,3.8,8.8,-0.1
1997/1/30,3.8,10.0,-1.6
1997/1/31,2.8,6.4,0.4
1997/2/1,5.1,12.0,-0.5
1997/2/2,5.1,8.6,3.2
1997/2/3,6.5,11.4,2.1
1997/2/4,4.7,9.7,-0.5
1997/2/5,6.4,11.9,1.0
1997/2/6,8.7,13.7,3.9
1997/2/7,6.8,10.5,1.0
1997/2/8,7.4,10.3,4.9
1997/2/9,9.3,15.0,5.1
1997/2/10,8.7,15.1,2.5
1997/2/11,5.5,8.5,2.5
1997/2/12,4.8,10.9,-0.3
1997/2/13,3.8,8.7,-1.4
1997/2/14,5.3,12.6,-1.2
1997/2/15,7.1,12.2,2.1
1997/2/16,9.7,15.6,5.1
1997/2/17,6.8,11.8,2.9
1997/2/18,5.8,12.1,1.2
1997/2/19,4.0,9.0,-0.1
1997/2/20,5.2,13.6,-1.6
1997/2/21,7.9,14.7,2.9
1997/2/22,4.3,9.1,0.8
1997/2/23,5.4,11.4,-1.5
1997/2/24,8.6,15.4,1.1
1997/2/25,11.5,17.6,5.3
1997/2/26,13.1,15.7,10.5
1997/2/27,11.9,18.7,6.4
1997/2/28,12.3,15.9,8.1
1997/3/1,12.5,18.0,6.8
1997/3/2,9.2,13.7,4.0
1997/3/3,9.0,12.3,5.0
1997/3/4,8.3,15.1,2.2
1997/3/5,9.2,16.6,1.9
1997/3/6,11.9,18.7,3.6
1997/3/7,16.8,24.0,11.4
1997/3/8,12.8,19.4,7.0
1997/3/9,12.2,21.4,4.6
1997/3/10,12.4,16.9,6.7
1997/3/11,15.7,21.5,10.8
1997/3/12,12.4,17.7,6.6
1997/3/13,11.9,13.7,11.0
1997/3/14,14.7,19.7,11.3
1997/3/15,15.4,22.0,11.9
1997/3/16,12.1,14.8,9.2
1997/3/17,11.8,16.4,8.4
1997/3/18,12.3,16.9,5.9
1997/3/19,11.8,13.8,9.5
1997/3/20,10.7,13.2,8.7
1997/3/21,10.7,12.5,8.6
1997/3/22,13.8,18.9,10.4
1997/3/23,11.8,18.5,6.7
1997/3/24,7.6,13.2,3.7
1997/3/25,9.7,16.8,1.9
1997/3/26,11.5,18.7,5.4
1997/3/27,11.8,17.1,6.8
1997/3/28,12.3,17.8,5.2
1997/3/29,12.9,14.6,11.0
1997/3/30,13.4,20.0,7.1
1997/3/31,11.0,18.2,3.5
1997/4/1,12.4,18.2,5.3
1997/4/2,14.3,18.0,10.5
1997/4/3,16.4,18.5,13.8
1997/4/4,17.6,19.1,16.0
1997/4/5,19.3,22.5,17.2
1997/4/6,17.4,18.8,13.4
1997/4/7,14.3,19.4,9.3
1997/4/8,13.5,19.4,6.7
1997/4/9,15.9,22.4,12.7
1997/4/10,14.6,19.4,8.9
1997/4/11,14.2,20.8,7.1
1997/4/12,14.0,20.3,7.5
1997/4/13,15.3,24.1,7.1
1997/4/14,16.2,21.9,9.2
1997/4/15,15.1,18.9,10.8
1997/4/16,14.0,19.9,8.2
1997/4/17,14.8,20.4,9.5
1997/4/18,16.7,21.7,12.3
1997/4/19,15.7,23.0,10.6
1997/4/20,15.7,21.6,8.8
1997/4/21,15.0,17.0,13.7
1997/4/22,17.7,23.1,13.5
1997/4/23,16.0,20.1,10.7
1997/4/24,14.3,21.2,7.6
1997/4/25,14.1,20.0,7.5
1997/4/26,14.9,20.9,8.3
1997/4/27,16.8,22.3,9.3
1997/4/28,18.3,24.0,14.3
1997/4/29,18.6,26.2,11.3
1997/4/30,17.6,20.0,15.2
1997/5/1,19.1,23.4,13.7
