ダウンロードした時刻：2017/07/24 15:44:12

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/1/1,6.4,10.5,3.4
1999/1/2,5.2,8.9,2.3
1999/1/3,6.6,10.6,3.7
1999/1/4,7.0,13.7,2.3
1999/1/5,7.0,13.6,1.7
1999/1/6,7.6,12.6,2.6
1999/1/7,6.5,10.5,1.3
1999/1/8,0.5,3.9,-1.1
1999/1/9,1.1,4.4,-1.0
1999/1/10,3.8,7.8,0.7
1999/1/11,5.0,9.5,1.8
1999/1/12,4.4,8.6,1.0
1999/1/13,4.4,11.3,-0.7
1999/1/14,5.6,11.6,0.0
1999/1/15,4.4,9.3,0.9
1999/1/16,4.4,10.7,-0.8
1999/1/17,5.9,10.5,2.1
1999/1/18,5.9,11.9,0.3
1999/1/19,6.7,8.6,4.8
1999/1/20,6.8,13.3,3.3
1999/1/21,5.2,10.2,1.5
1999/1/22,4.5,10.4,-1.1
1999/1/23,7.6,13.7,1.7
1999/1/24,8.7,12.4,5.4
1999/1/25,8.5,13.0,5.1
1999/1/26,8.8,13.8,3.3
1999/1/27,6.7,10.9,0.7
1999/1/28,8.0,13.5,3.4
1999/1/29,4.6,8.3,1.5
1999/1/30,5.2,9.7,1.6
1999/1/31,6.1,11.6,0.4
1999/2/1,8.5,12.7,5.4
1999/2/2,5.5,10.4,0.7
1999/2/3,-0.5,1.7,-2.8
1999/2/4,0.8,6.0,-3.8
1999/2/5,3.4,8.8,-0.8
1999/2/6,4.3,10.0,0.2
1999/2/7,5.6,13.4,-0.1
1999/2/8,6.3,13.8,0.9
1999/2/9,7.1,13.7,1.3
1999/2/10,8.4,13.5,3.5
1999/2/11,6.9,10.7,4.8
1999/2/12,3.5,7.3,0.5
1999/2/13,2.4,6.7,0.1
1999/2/14,3.5,9.9,-1.1
1999/2/15,5.5,11.1,0.7
1999/2/16,6.9,14.0,1.4
1999/2/17,8.6,15.9,1.8
1999/2/18,8.4,9.9,7.0
1999/2/19,5.9,8.7,2.8
1999/2/20,3.9,8.6,1.0
1999/2/21,3.0,8.4,0.2
1999/2/22,4.3,10.3,-1.2
1999/2/23,6.8,12.7,0.9
1999/2/24,6.1,7.4,4.5
1999/2/25,9.6,15.9,5.4
1999/2/26,7.8,10.8,4.4
1999/2/27,9.1,14.1,4.9
1999/2/28,6.5,11.7,2.4
1999/3/1,8.1,15.3,2.3
1999/3/2,10.3,16.8,3.8
1999/3/3,11.2,16.9,5.7
1999/3/4,10.1,16.0,4.9
1999/3/5,13.0,18.3,9.7
1999/3/6,12.4,16.8,8.7
1999/3/7,9.6,11.0,8.4
1999/3/8,10.2,15.5,6.3
1999/3/9,7.8,9.5,5.7
1999/3/10,9.1,15.0,4.7
1999/3/11,9.4,14.0,6.5
1999/3/12,8.0,12.8,3.9
1999/3/13,10.1,16.0,3.8
1999/3/14,13.3,18.2,10.1
1999/3/15,13.6,16.4,11.9
1999/3/16,13.8,20.9,10.5
1999/3/17,13.5,20.2,6.9
1999/3/18,16.2,21.0,10.3
1999/3/19,13.5,17.5,8.3
1999/3/20,7.1,9.1,4.1
1999/3/21,7.3,9.1,5.7
1999/3/22,5.2,8.5,2.8
1999/3/23,6.4,12.4,0.4
1999/3/24,8.5,14.2,2.4
1999/3/25,12.7,15.9,9.3
1999/3/26,14.0,15.2,12.8
1999/3/27,11.9,14.3,6.8
1999/3/28,8.9,15.3,4.2
1999/3/29,8.2,12.7,4.1
1999/3/30,7.6,9.8,6.1
1999/3/31,11.8,17.3,7.0
1999/4/1,14.6,21.6,7.5
1999/4/2,14.7,17.6,9.7
1999/4/3,10.5,15.3,6.0
1999/4/4,12.0,17.2,7.0
1999/4/5,12.3,17.8,8.2
1999/4/6,11.6,19.3,6.9
1999/4/7,9.4,14.3,5.8
1999/4/8,9.8,15.6,3.7
1999/4/9,10.9,15.6,6.4
1999/4/10,13.8,16.2,11.5
1999/4/11,16.5,19.8,13.2
1999/4/12,14.0,17.5,10.5
1999/4/13,14.3,17.0,12.5
1999/4/14,13.6,19.9,9.2
1999/4/15,12.3,17.9,5.9
1999/4/16,15.3,22.0,8.2
1999/4/17,15.4,20.0,11.0
1999/4/18,14.6,17.0,12.9
1999/4/19,15.2,17.1,13.7
1999/4/20,18.2,24.3,14.1
1999/4/21,18.1,23.6,13.3
1999/4/22,19.5,24.6,15.1
1999/4/23,17.1,20.2,15.9
1999/4/24,18.8,24.8,15.2
1999/4/25,17.7,22.5,14.7
1999/4/26,17.8,22.2,14.2
1999/4/27,18.5,24.3,12.1
1999/4/28,15.9,19.2,12.0
1999/4/29,14.5,20.6,9.4
1999/4/30,14.3,20.7,7.0
1999/5/1,16.4,23.5,8.4
