ダウンロードした時刻：2017/07/24 15:46:03

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/1/1,7.3,14.0,2.6
2014/1/2,7.3,15.0,1.1
2014/1/3,7.2,13.2,0.9
2014/1/4,9.0,16.0,3.9
2014/1/5,7.9,12.7,3.3
2014/1/6,7.2,12.6,2.6
2014/1/7,7.8,12.8,4.3
2014/1/8,10.0,13.6,7.2
2014/1/9,7.7,11.8,3.7
2014/1/10,4.0,8.1,0.6
2014/1/11,4.1,10.5,-1.3
2014/1/12,4.7,11.1,-0.6
2014/1/13,5.1,11.8,-0.3
2014/1/14,6.2,11.6,1.8
2014/1/15,6.3,10.7,1.8
2014/1/16,6.2,12.9,0.4
2014/1/17,6.2,11.6,2.3
2014/1/18,5.9,11.6,1.9
2014/1/19,5.1,9.6,1.3
2014/1/20,6.3,12.8,-0.3
2014/1/21,5.8,10.1,1.4
2014/1/22,4.8,10.9,-0.2
2014/1/23,5.1,11.9,-0.8
2014/1/24,6.8,14.1,0.7
2014/1/25,9.5,15.8,3.7
2014/1/26,9.2,15.6,3.9
2014/1/27,5.2,10.9,0.0
2014/1/28,7.8,15.5,0.6
2014/1/29,8.9,14.8,2.7
2014/1/30,11.2,15.8,8.3
2014/1/31,11.0,17.8,5.9
2014/2/1,11.7,18.6,6.6
2014/2/2,14.5,20.2,11.0
2014/2/3,14.1,19.2,10.0
2014/2/4,8.9,13.2,4.7
2014/2/5,4.6,9.2,1.1
2014/2/6,3.5,6.0,0.8
2014/2/7,4.8,5.8,3.7
2014/2/8,7.0,11.3,4.3
2014/2/9,6.9,11.3,2.7
2014/2/10,5.5,7.6,3.6
2014/2/11,4.1,8.2,1.3
2014/2/12,5.9,13.4,1.1
2014/2/13,6.6,9.9,4.0
2014/2/14,5.9,8.4,3.1
2014/2/15,8.3,11.8,5.3
2014/2/16,6.8,12.4,1.1
2014/2/17,8.0,14.4,1.9
2014/2/18,5.6,7.0,4.4
2014/2/19,6.9,10.7,4.1
2014/2/20,7.5,13.1,3.5
2014/2/21,6.8,12.8,1.4
2014/2/22,7.2,13.0,0.8
2014/2/23,8.6,14.7,3.4
2014/2/24,9.2,14.4,3.0
2014/2/25,10.1,16.9,3.6
2014/2/26,10.3,15.2,5.5
2014/2/27,14.6,19.3,9.9
2014/2/28,14.2,19.5,9.5
2014/3/1,12.9,14.0,12.1
2014/3/2,13.3,18.7,9.6
2014/3/3,9.3,13.7,6.1
2014/3/4,9.0,15.0,1.7
2014/3/5,10.5,14.8,7.1
2014/3/6,6.6,10.0,4.2
2014/3/7,5.7,11.9,-0.2
2014/3/8,6.2,12.3,-0.4
2014/3/9,8.4,13.5,4.5
2014/3/10,6.3,10.9,2.3
2014/3/11,6.4,12.9,-0.3
2014/3/12,11.3,18.0,2.7
2014/3/13,15.3,22.2,9.5
2014/3/14,8.6,14.1,5.5
2014/3/15,7.5,13.1,1.7
2014/3/16,10.9,19.1,2.9
2014/3/17,13.4,19.3,6.7
2014/3/18,13.6,17.4,11.2
2014/3/19,14.4,19.6,10.2
2014/3/20,13.9,19.0,9.0
2014/3/21,8.2,12.8,4.6
2014/3/22,8.5,14.5,1.9
2014/3/23,11.1,18.4,4.0
2014/3/24,12.8,19.2,5.3
2014/3/25,15.3,20.5,10.5
2014/3/26,15.0,16.4,13.8
2014/3/27,17.0,22.0,12.1
2014/3/28,14.8,20.5,8.3
2014/3/29,14.6,18.0,12.8
2014/3/30,17.6,25.2,14.0
2014/3/31,15.8,21.1,10.9
2014/4/1,13.9,20.8,8.6
2014/4/2,14.8,21.0,9.5
2014/4/3,15.5,20.6,11.4
2014/4/4,12.4,16.3,7.0
2014/4/5,8.7,13.8,3.7
2014/4/6,9.0,13.7,5.5
2014/4/7,9.9,15.6,2.7
2014/4/8,12.9,19.5,5.4
2014/4/9,15.1,21.7,8.3
2014/4/10,17.1,23.8,9.6
2014/4/11,15.5,21.2,11.7
2014/4/12,13.5,16.4,11.0
2014/4/13,12.3,14.1,10.7
2014/4/14,15.3,22.0,9.9
2014/4/15,14.5,21.4,6.9
2014/4/16,16.1,21.2,10.7
2014/4/17,17.5,23.8,10.7
2014/4/18,16.9,21.0,13.6
2014/4/19,17.6,23.1,12.3
2014/4/20,15.9,19.2,13.4
2014/4/21,18.8,25.3,13.9
2014/4/22,17.4,21.5,13.0
2014/4/23,16.6,24.4,9.7
2014/4/24,16.1,21.9,9.6
2014/4/25,16.8,22.7,10.6
2014/4/26,17.1,23.0,11.6
2014/4/27,17.8,21.4,13.6
2014/4/28,16.6,19.9,14.8
2014/4/29,17.8,22.2,14.9
2014/4/30,18.5,22.7,14.6
2014/5/1,19.5,24.7,15.3
