ダウンロードした時刻：2017/07/24 15:43:29

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/1/1,3.6,8.4,0.6
2003/1/2,2.4,3.7,0.7
2003/1/3,2.8,5.4,-0.5
2003/1/4,3.2,6.5,-0.2
2003/1/5,-0.5,3.0,-2.1
2003/1/6,0.0,1.9,-1.7
2003/1/7,0.4,5.8,-3.8
2003/1/8,1.0,7.1,-1.7
2003/1/9,1.4,9.5,-2.3
2003/1/10,2.6,4.9,0.5
2003/1/11,3.5,6.8,1.1
2003/1/12,3.7,11.8,-0.5
2003/1/13,3.1,12.0,-2.7
2003/1/14,3.9,12.9,-0.1
2003/1/15,1.0,3.8,-0.1
2003/1/16,1.8,7.3,-1.9
2003/1/17,4.6,14.3,-1.8
2003/1/18,5.2,8.7,2.7
2003/1/19,6.3,9.9,4.2
2003/1/20,3.2,5.9,0.3
2003/1/21,0.9,3.5,0.3
2003/1/22,2.4,5.4,0.4
2003/1/23,3.8,7.6,1.5
2003/1/24,2.4,4.3,0.5
2003/1/25,4.1,8.4,0.1
2003/1/26,3.5,8.5,-0.6
2003/1/27,8.6,10.1,4.2
2003/1/28,2.8,7.0,-0.8
2003/1/29,-2.9,0.9,-5.5
2003/1/30,-0.6,3.3,-3.9
2003/1/31,-0.4,2.5,-3.6
2003/2/1,1.3,4.1,0.1
2003/2/2,1.8,4.8,0.0
2003/2/3,1.4,4.7,0.0
2003/2/4,2.5,7.6,-0.7
2003/2/5,1.2,4.1,0.1
2003/2/6,2.4,7.4,-1.7
2003/2/7,2.9,12.7,-4.0
2003/2/8,3.3,8.8,-1.7
2003/2/9,8.1,13.1,2.4
2003/2/10,6.4,15.1,1.6
2003/2/11,6.5,8.6,4.9
2003/2/12,2.7,5.0,0.6
2003/2/13,2.7,6.9,0.6
2003/2/14,4.0,9.5,0.6
2003/2/15,4.7,12.7,-0.9
2003/2/16,6.3,9.7,4.4
2003/2/17,5.2,10.5,0.0
2003/2/18,2.8,11.2,-2.0
2003/2/19,5.5,10.0,2.3
2003/2/20,3.8,5.9,1.0
2003/2/21,4.6,9.3,1.3
2003/2/22,3.9,5.4,1.7
2003/2/23,5.6,7.3,3.7
2003/2/24,4.7,7.1,3.3
2003/2/25,4.5,9.9,0.9
2003/2/26,5.4,12.0,0.4
2003/2/27,5.3,8.1,3.7
2003/2/28,5.0,11.9,0.6
2003/3/1,7.5,9.9,2.5
2003/3/2,8.8,14.0,5.1
2003/3/3,5.7,10.2,0.3
2003/3/4,1.0,4.0,-0.5
2003/3/5,2.2,7.4,-0.6
2003/3/6,4.1,9.1,-0.5
2003/3/7,7.1,10.1,5.0
2003/3/8,4.2,7.2,2.4
2003/3/9,3.5,6.8,1.6
2003/3/10,3.4,6.1,1.4
2003/3/11,3.6,7.1,0.0
2003/3/12,4.5,8.7,1.9
2003/3/13,4.4,9.7,0.0
2003/3/14,5.0,12.5,-1.1
2003/3/15,5.2,9.0,2.6
2003/3/16,4.7,7.7,2.0
2003/3/17,7.7,11.0,5.4
2003/3/18,5.3,10.2,-0.4
2003/3/19,2.8,9.3,-2.7
2003/3/20,4.6,10.7,-0.4
2003/3/21,4.5,12.1,-0.7
2003/3/22,5.0,11.2,1.4
2003/3/23,6.1,16.3,-0.9
2003/3/24,9.8,21.0,1.9
2003/3/25,10.2,15.6,5.7
2003/3/26,9.7,18.1,4.2
2003/3/27,10.5,20.9,2.5
2003/3/28,9.2,14.5,4.9
2003/3/29,8.0,12.8,1.5
2003/3/30,8.4,20.4,-1.0
2003/3/31,9.1,14.7,2.7
2003/4/1,11.2,15.3,9.1
2003/4/2,9.8,12.8,8.8
2003/4/3,10.3,14.8,5.7
2003/4/4,8.5,11.2,5.3
2003/4/5,8.2,10.6,7.1
2003/4/6,8.9,16.9,1.5
2003/4/7,13.3,23.9,1.8
2003/4/8,15.1,23.9,10.3
2003/4/9,8.5,10.9,5.7
2003/4/10,7.6,13.7,3.3
2003/4/11,11.0,17.9,1.8
2003/4/12,17.4,21.3,14.9
2003/4/13,14.3,19.4,7.4
2003/4/14,9.8,15.3,4.7
2003/4/15,12.0,21.1,6.1
2003/4/16,12.0,23.9,1.7
2003/4/17,16.5,28.0,5.8
2003/4/18,16.9,26.4,8.8
2003/4/19,16.2,21.3,11.9
2003/4/20,12.5,13.8,12.0
2003/4/21,11.2,14.5,9.1
2003/4/22,11.6,18.4,4.2
2003/4/23,16.7,20.2,14.9
2003/4/24,16.1,18.2,14.9
2003/4/25,19.4,26.8,14.3
2003/4/26,15.2,19.8,12.2
2003/4/27,15.1,22.6,10.2
2003/4/28,16.5,27.1,7.8
2003/4/29,19.1,27.1,9.3
2003/4/30,12.7,21.4,8.1
2003/5/1,14.1,22.6,6.6
