ダウンロードした時刻：2017/07/24 15:42:49

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,12.8,17.9,10.4
1987/1/2,14.0,16.6,7.9
1987/1/3,17.0,19.2,14.0
1987/1/4,12.5,14.2,11.3
1987/1/5,11.6,13.3,10.1
1987/1/6,10.5,12.3,8.7
1987/1/7,12.0,14.8,9.1
1987/1/8,13.5,16.8,11.4
1987/1/9,13.4,15.5,11.5
1987/1/10,12.1,14.8,8.9
1987/1/11,7.7,9.5,6.2
1987/1/12,10.7,16.2,7.4
1987/1/13,8.2,10.9,4.2
1987/1/14,7.9,9.2,4.5
1987/1/15,10.8,11.9,9.1
1987/1/16,12.7,15.2,10.3
1987/1/17,16.6,19.0,14.7
1987/1/18,10.5,14.7,9.4
1987/1/19,9.8,11.4,8.8
1987/1/20,7.1,9.2,3.9
1987/1/21,8.0,9.9,5.7
1987/1/22,11.1,14.6,8.6
1987/1/23,15.2,17.2,11.4
1987/1/24,14.1,18.0,9.3
1987/1/25,7.6,10.5,4.7
1987/1/26,6.6,8.1,4.6
1987/1/27,9.7,12.8,7.6
1987/1/28,10.7,13.5,8.5
1987/1/29,13.0,15.7,10.1
1987/1/30,14.7,16.7,13.4
1987/1/31,10.9,14.2,8.3
1987/2/1,7.3,9.0,4.4
1987/2/2,10.7,13.6,8.1
1987/2/3,8.5,13.9,4.6
1987/2/4,7.9,9.2,5.6
1987/2/5,9.3,10.9,6.4
1987/2/6,11.2,12.6,10.0
1987/2/7,13.3,16.1,12.2
1987/2/8,12.0,15.3,8.3
1987/2/9,13.1,16.1,7.3
1987/2/10,16.2,18.8,13.7
1987/2/11,17.3,18.7,16.0
1987/2/12,18.0,19.5,14.5
1987/2/13,12.2,15.1,9.9
1987/2/14,14.2,17.4,10.0
1987/2/15,10.5,12.5,8.9
1987/2/16,10.0,12.3,8.5
1987/2/17,11.0,13.9,7.3
1987/2/18,13.2,17.8,10.6
1987/2/19,10.8,14.1,9.3
1987/2/20,9.8,12.6,7.8
1987/2/21,9.9,11.4,7.7
1987/2/22,11.3,14.7,9.0
1987/2/23,11.7,15.1,10.0
1987/2/24,13.1,15.4,7.6
1987/2/25,10.5,15.8,3.2
1987/2/26,6.9,9.5,3.9
1987/2/27,7.4,9.8,5.3
1987/2/28,6.7,9.2,3.1
1987/3/1,8.3,12.1,5.1
1987/3/2,6.5,9.3,2.5
1987/3/3,8.7,11.5,5.8
1987/3/4,13.6,15.8,10.3
1987/3/5,15.0,18.5,12.8
1987/3/6,16.5,19.3,14.4
1987/3/7,12.6,17.7,10.6
1987/3/8,9.7,13.1,7.3
1987/3/9,11.0,14.2,9.2
1987/3/10,9.4,11.0,8.5
1987/3/11,12.5,17.1,10.7
1987/3/12,11.6,15.3,8.7
1987/3/13,13.8,15.5,10.9
1987/3/14,17.6,19.4,14.1
1987/3/15,12.9,15.5,11.4
1987/3/16,12.0,14.8,10.7
1987/3/17,12.4,17.2,9.6
1987/3/18,13.9,16.9,10.1
1987/3/19,15.4,18.5,9.6
1987/3/20,15.6,18.9,11.8
1987/3/21,15.4,17.0,11.8
1987/3/22,16.4,17.2,14.7
1987/3/23,17.5,18.4,16.5
1987/3/24,18.3,20.0,16.2
1987/3/25,14.1,18.4,9.0
1987/3/26,9.3,12.1,8.2
1987/3/27,10.8,14.7,8.1
1987/3/28,12.8,15.3,10.3
1987/3/29,13.2,14.7,11.0
1987/3/30,15.1,18.5,12.1
1987/3/31,15.1,18.2,10.4
1987/4/1,11.2,13.4,8.3
1987/4/2,13.8,16.4,11.9
1987/4/3,13.7,14.8,12.6
1987/4/4,15.0,18.8,11.4
1987/4/5,15.8,20.8,11.5
1987/4/6,16.7,20.9,11.3
1987/4/7,18.4,19.8,16.8
1987/4/8,17.2,21.4,14.0
1987/4/9,17.2,19.9,16.0
1987/4/10,18.3,19.9,15.4
1987/4/11,17.0,21.3,13.6
1987/4/12,13.5,17.0,11.2
1987/4/13,11.9,15.4,8.6
1987/4/14,11.4,14.0,8.2
1987/4/15,14.7,17.7,11.6
1987/4/16,15.1,17.5,13.4
1987/4/17,15.7,18.6,13.1
1987/4/18,15.8,20.2,11.1
1987/4/19,15.9,21.3,10.7
1987/4/20,17.6,21.5,12.2
1987/4/21,19.3,22.1,16.5
1987/4/22,19.5,20.3,18.3
1987/4/23,19.6,24.0,17.3
1987/4/24,19.2,22.3,16.7
1987/4/25,18.0,21.5,15.3
1987/4/26,19.4,22.2,15.2
1987/4/27,14.2,18.5,13.1
1987/4/28,14.7,18.5,11.1
1987/4/29,15.5,19.7,11.4
1987/4/30,16.7,22.1,10.6
1987/5/1,18.0,20.2,15.1
