ダウンロードした時刻：2017/07/24 15:46:08

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,6.1,8.3,3.2
1998/1/2,9.7,14.3,5.8
1998/1/3,7.6,12.8,1.9
1998/1/4,9.0,13.1,6.2
1998/1/5,5.8,9.0,2.2
1998/1/6,6.0,9.9,1.4
1998/1/7,7.2,11.7,2.9
1998/1/8,7.7,9.5,6.2
1998/1/9,8.2,11.5,4.5
1998/1/10,6.2,9.1,2.2
1998/1/11,6.1,7.7,4.0
1998/1/12,6.2,9.6,4.2
1998/1/13,6.9,10.8,4.3
1998/1/14,6.6,8.6,5.0
1998/1/15,6.5,7.1,5.2
1998/1/16,8.6,12.2,6.0
1998/1/17,8.1,10.5,3.0
1998/1/18,10.0,11.9,7.6
1998/1/19,3.3,7.6,-0.4
1998/1/20,3.3,7.4,-0.6
1998/1/21,5.9,10.1,1.9
1998/1/22,5.3,9.1,0.7
1998/1/23,3.9,5.4,2.3
1998/1/24,0.5,3.6,-1.4
1998/1/25,2.3,6.1,-1.4
1998/1/26,4.5,8.6,0.4
1998/1/27,5.8,9.7,3.2
1998/1/28,5.7,9.3,3.2
1998/1/29,4.7,8.0,2.6
1998/1/30,4.2,9.2,-0.5
1998/1/31,7.8,12.7,2.5
1998/2/1,5.3,7.3,3.4
1998/2/2,5.5,10.4,1.1
1998/2/3,5.6,8.8,0.9
1998/2/4,6.0,8.6,2.8
1998/2/5,4.6,9.1,0.0
1998/2/6,6.3,11.8,1.0
1998/2/7,4.4,7.9,1.4
1998/2/8,4.3,8.9,0.6
1998/2/9,5.4,10.0,2.7
1998/2/10,7.1,11.6,1.8
1998/2/11,5.5,10.4,-0.3
1998/2/12,12.0,19.1,4.4
1998/2/13,13.1,18.5,8.7
1998/2/14,12.0,18.0,7.4
1998/2/15,7.5,11.0,5.3
1998/2/16,6.9,11.3,2.4
1998/2/17,7.3,10.6,4.7
1998/2/18,6.0,8.9,2.3
1998/2/19,8.9,14.3,2.3
1998/2/20,12.9,15.6,11.5
1998/2/21,10.7,14.8,6.7
1998/2/22,8.1,11.9,6.0
1998/2/23,8.5,11.3,5.6
1998/2/24,9.5,10.5,8.7
1998/2/25,9.6,11.6,8.5
1998/2/26,10.5,14.0,8.6
1998/2/27,9.9,14.7,5.9
1998/2/28,8.8,13.6,4.8
1998/3/1,8.8,12.6,6.1
1998/3/2,8.3,13.3,3.5
1998/3/3,8.7,14.2,2.6
1998/3/4,11.5,16.4,7.1
1998/3/5,6.7,10.6,4.6
1998/3/6,9.1,15.3,4.7
1998/3/7,8.2,11.1,5.3
1998/3/8,6.9,11.2,2.0
1998/3/9,11.0,17.3,6.3
1998/3/10,8.6,10.3,7.4
1998/3/11,10.3,13.4,7.3
1998/3/12,12.2,15.5,9.6
1998/3/13,11.5,15.9,8.0
1998/3/14,12.1,19.5,5.0
1998/3/15,7.7,11.5,4.8
1998/3/16,7.3,11.5,3.4
1998/3/17,10.2,15.8,6.0
1998/3/18,8.8,13.9,4.9
1998/3/19,12.6,17.8,2.9
1998/3/20,14.1,18.5,7.3
1998/3/21,9.2,12.4,6.9
1998/3/22,10.0,13.8,6.9
1998/3/23,8.3,12.2,4.4
1998/3/24,9.6,13.3,7.2
1998/3/25,11.7,16.3,7.6
1998/3/26,12.6,16.2,8.5
1998/3/27,15.6,19.7,12.6
1998/3/28,15.8,20.1,11.8
1998/3/29,15.2,21.2,11.0
1998/3/30,15.3,20.1,9.2
1998/3/31,16.1,23.5,10.6
1998/4/1,9.1,11.1,6.9
1998/4/2,9.5,12.6,6.9
1998/4/3,9.1,14.4,4.9
1998/4/4,11.2,17.1,4.2
1998/4/5,14.7,19.8,8.0
1998/4/6,15.6,16.6,14.5
1998/4/7,16.7,21.1,13.3
1998/4/8,14.0,15.2,12.2
1998/4/9,15.2,17.9,13.8
1998/4/10,16.9,21.5,13.1
1998/4/11,18.7,25.3,13.4
1998/4/12,18.7,24.0,12.6
1998/4/13,21.1,23.8,18.7
1998/4/14,19.1,22.8,17.4
1998/4/15,19.0,23.4,15.7
1998/4/16,16.7,21.0,12.3
1998/4/17,17.5,21.0,13.8
1998/4/18,15.7,20.0,11.3
1998/4/19,17.3,22.2,12.1
1998/4/20,18.6,24.4,12.5
1998/4/21,19.1,22.7,15.7
1998/4/22,19.1,21.4,17.6
1998/4/23,19.3,20.7,17.8
1998/4/24,19.9,24.0,17.3
1998/4/25,21.1,27.3,17.4
1998/4/26,17.8,21.3,14.7
1998/4/27,18.4,23.2,13.4
1998/4/28,20.9,25.5,15.7
1998/4/29,22.5,27.3,17.4
1998/4/30,22.0,26.4,17.8
1998/5/1,22.4,26.0,19.7
