ダウンロードした時刻：2017/07/24 15:43:18

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,6.1,8.5,1.5
2000/1/2,6.7,12.8,-0.2
2000/1/3,9.7,12.2,6.0
2000/1/4,6.8,11.8,2.8
2000/1/5,7.8,14.8,1.0
2000/1/6,14.6,17.0,10.8
2000/1/7,7.1,13.4,2.6
2000/1/8,4.8,9.4,0.9
2000/1/9,7.0,11.1,3.7
2000/1/10,7.9,10.7,5.7
2000/1/11,6.5,7.7,5.7
2000/1/12,5.9,8.7,3.4
2000/1/13,9.4,12.9,6.0
2000/1/14,8.0,10.2,5.6
2000/1/15,5.5,9.7,1.8
2000/1/16,3.3,5.4,0.0
2000/1/17,6.5,11.0,4.3
2000/1/18,4.1,6.8,-0.7
2000/1/19,3.7,8.9,-1.0
2000/1/20,1.1,3.7,-1.8
2000/1/21,1.2,3.0,-1.1
2000/1/22,2.0,5.1,-0.4
2000/1/23,4.8,7.1,2.6
2000/1/24,5.6,7.6,4.0
2000/1/25,1.9,5.1,0.1
2000/1/26,0.1,2.5,-0.8
2000/1/27,0.3,2.1,-1.4
2000/1/28,1.1,5.1,-1.4
2000/1/29,2.1,7.5,-3.7
2000/1/30,5.6,7.9,3.2
2000/1/31,1.6,3.9,0.6
2000/2/1,1.5,3.8,-0.1
2000/2/2,3.6,9.2,-0.3
2000/2/3,3.5,9.7,-1.7
2000/2/4,3.3,6.2,0.5
2000/2/5,3.5,10.0,-0.9
2000/2/6,6.6,9.0,3.5
2000/2/7,6.2,7.8,3.2
2000/2/8,2.4,6.4,-0.7
2000/2/9,1.5,3.3,-0.1
2000/2/10,2.7,8.6,-0.2
2000/2/11,5.4,10.5,-0.1
2000/2/12,6.8,12.3,2.6
2000/2/13,5.1,10.0,2.2
2000/2/14,7.1,13.7,2.4
2000/2/15,0.8,6.5,-1.5
2000/2/16,-0.5,1.5,-1.6
2000/2/17,0.4,4.7,-1.4
2000/2/18,1.2,4.2,-0.5
2000/2/19,2.4,5.9,0.4
2000/2/20,2.5,6.5,0.3
2000/2/21,0.9,2.7,0.1
2000/2/22,1.5,4.6,0.3
2000/2/23,2.6,7.1,-0.7
2000/2/24,2.0,4.6,0.6
2000/2/25,1.2,4.4,-1.1
2000/2/26,1.2,5.4,-2.3
2000/2/27,2.4,5.2,-0.4
2000/2/28,2.8,7.4,-0.6
2000/2/29,0.9,4.5,-1.3
2000/3/1,3.0,9.0,-2.2
2000/3/2,5.1,12.0,-0.8
2000/3/3,7.5,17.1,-0.2
2000/3/4,6.9,11.4,4.9
2000/3/5,6.0,12.4,1.8
2000/3/6,5.9,14.7,-0.4
2000/3/7,4.7,8.4,0.6
2000/3/8,1.6,5.9,-0.3
2000/3/9,3.9,6.8,0.2
2000/3/10,3.4,8.9,0.1
2000/3/11,4.3,9.4,1.1
2000/3/12,6.9,12.7,2.9
2000/3/13,4.8,9.7,0.2
2000/3/14,5.5,11.5,-1.0
2000/3/15,8.0,14.9,-0.5
2000/3/16,9.1,12.4,6.8
2000/3/17,6.4,10.1,1.1
2000/3/18,8.5,17.0,-0.2
2000/3/19,9.8,13.2,6.6
2000/3/20,6.6,9.9,1.3
2000/3/21,6.6,12.7,-0.1
2000/3/22,7.5,11.3,1.1
2000/3/23,8.1,13.4,0.2
2000/3/24,8.1,10.5,4.0
2000/3/25,5.1,9.4,1.4
2000/3/26,5.8,10.3,1.7
2000/3/27,10.6,19.7,1.6
2000/3/28,13.1,16.4,9.4
2000/3/29,9.7,11.7,8.0
2000/3/30,9.5,15.1,6.5
2000/3/31,10.4,16.7,4.2
2000/4/1,8.7,15.2,3.2
2000/4/2,9.3,17.6,1.3
2000/4/3,11.6,19.0,6.1
2000/4/4,12.6,19.8,3.4
2000/4/5,11.5,15.4,8.6
2000/4/6,9.0,14.5,3.8
2000/4/7,13.6,21.9,3.7
2000/4/8,10.9,14.9,3.7
2000/4/9,13.5,21.8,1.8
2000/4/10,15.5,18.9,9.1
2000/4/11,9.7,15.5,5.1
2000/4/12,12.4,19.6,5.2
2000/4/13,14.0,20.0,5.8
2000/4/14,15.3,19.1,11.7
2000/4/15,10.5,12.5,7.9
2000/4/16,9.5,14.8,4.6
2000/4/17,10.6,17.7,2.7
2000/4/18,14.6,21.6,9.0
2000/4/19,14.3,20.7,10.9
2000/4/20,13.3,15.3,11.2
2000/4/21,14.0,19.4,9.5
2000/4/22,15.8,20.7,9.8
2000/4/23,14.8,19.0,8.5
2000/4/24,12.2,17.2,7.5
2000/4/25,13.6,21.1,6.2
2000/4/26,14.9,17.3,12.6
2000/4/27,12.4,15.5,10.1
2000/4/28,10.7,13.5,9.1
2000/4/29,13.0,20.3,6.7
2000/4/30,14.3,19.6,8.2
2000/5/1,16.9,21.7,12.6
