ダウンロードした時刻：2017/07/24 15:46:59

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,8.5,13.2,2.9
2000/1/2,10.1,13.6,7.8
2000/1/3,9.6,15.7,4.3
2000/1/4,7.0,13.3,1.7
2000/1/5,8.3,13.3,1.8
2000/1/6,13.3,16.2,10.8
2000/1/7,9.2,13.9,2.5
2000/1/8,5.5,11.2,0.7
2000/1/9,5.4,7.1,2.4
2000/1/10,10.3,13.7,7.1
2000/1/11,8.1,11.3,2.8
2000/1/12,8.8,9.9,6.9
2000/1/13,11.3,14.2,9.4
2000/1/14,8.4,11.1,5.5
2000/1/15,8.0,13.0,2.1
2000/1/16,9.0,10.3,7.5
2000/1/17,10.6,15.2,7.1
2000/1/18,8.1,11.2,4.3
2000/1/19,6.0,11.2,2.1
2000/1/20,2.4,5.5,0.7
2000/1/21,3.0,5.9,0.1
2000/1/22,5.2,7.8,2.0
2000/1/23,9.6,12.6,5.8
2000/1/24,10.3,12.3,9.2
2000/1/25,7.7,9.7,5.8
2000/1/26,3.7,6.7,0.6
2000/1/27,2.9,6.5,0.0
2000/1/28,4.3,8.8,-0.2
2000/1/29,4.6,10.2,-1.1
2000/1/30,6.8,10.5,4.8
2000/1/31,4.0,7.4,1.0
2000/2/1,4.4,9.2,-0.6
2000/2/2,6.4,12.0,2.8
2000/2/3,6.2,10.1,1.8
2000/2/4,6.7,10.3,3.0
2000/2/5,6.4,10.6,0.3
2000/2/6,9.3,12.5,7.9
2000/2/7,8.1,11.0,5.3
2000/2/8,3.1,7.0,-0.7
2000/2/9,4.2,8.5,0.3
2000/2/10,4.7,11.9,-1.4
2000/2/11,6.9,14.8,1.3
2000/2/12,6.9,14.3,1.4
2000/2/13,7.1,13.4,0.7
2000/2/14,9.9,14.4,6.1
2000/2/15,4.1,7.7,2.4
2000/2/16,2.9,5.7,0.7
2000/2/17,5.0,8.7,2.6
2000/2/18,6.2,10.7,2.2
2000/2/19,3.1,5.1,0.8
2000/2/20,8.3,12.8,4.4
2000/2/21,7.0,11.1,2.5
2000/2/22,5.2,10.1,0.3
2000/2/23,5.3,10.5,0.9
2000/2/24,5.9,10.7,2.1
2000/2/25,4.8,8.0,2.6
2000/2/26,5.8,10.5,1.4
2000/2/27,6.3,10.0,1.8
2000/2/28,6.3,13.3,0.2
2000/2/29,5.5,9.6,2.0
2000/3/1,4.9,11.0,-1.0
2000/3/2,7.8,15.7,0.8
2000/3/3,9.5,15.9,1.2
2000/3/4,12.4,14.1,10.9
2000/3/5,12.4,15.1,10.6
2000/3/6,11.1,16.8,6.0
2000/3/7,8.6,12.8,4.9
2000/3/8,7.2,10.3,4.2
2000/3/9,6.9,10.7,2.8
2000/3/10,7.1,13.2,0.5
2000/3/11,5.3,7.2,3.4
2000/3/12,8.8,14.2,4.8
2000/3/13,10.0,16.3,3.2
2000/3/14,9.1,16.3,1.6
2000/3/15,10.0,17.7,2.4
2000/3/16,12.3,19.1,9.3
2000/3/17,10.1,15.3,5.0
2000/3/18,9.3,16.7,0.8
2000/3/19,11.6,13.5,10.3
2000/3/20,9.9,14.5,5.3
2000/3/21,8.8,14.3,2.1
2000/3/22,11.0,14.3,5.9
2000/3/23,10.3,15.6,3.7
2000/3/24,11.2,15.3,8.3
2000/3/25,10.4,14.2,6.8
2000/3/26,13.5,18.0,9.3
2000/3/27,15.4,21.6,9.8
2000/3/28,12.4,17.9,9.5
2000/3/29,10.7,12.9,8.1
2000/3/30,11.8,18.1,5.2
2000/3/31,10.9,15.9,7.0
2000/4/1,12.5,17.9,8.6
2000/4/2,10.5,14.8,7.1
2000/4/3,12.8,16.0,10.4
2000/4/4,11.9,16.8,8.9
2000/4/5,14.3,18.9,10.9
2000/4/6,12.8,16.8,8.9
2000/4/7,13.0,18.5,7.8
2000/4/8,13.9,19.3,10.0
2000/4/9,14.3,21.7,6.0
2000/4/10,16.4,23.6,9.6
2000/4/11,13.6,19.6,8.1
2000/4/12,13.7,19.6,9.5
2000/4/13,13.8,21.2,6.5
2000/4/14,17.4,26.3,10.0
2000/4/15,14.0,16.5,12.1
2000/4/16,13.1,17.1,8.5
2000/4/17,14.0,22.1,5.5
2000/4/18,14.7,20.5,7.4
2000/4/19,16.1,19.4,13.0
2000/4/20,16.9,20.7,14.5
2000/4/21,15.8,20.0,12.8
2000/4/22,17.7,24.6,10.1
2000/4/23,17.8,22.4,14.2
2000/4/24,15.7,22.2,9.8
2000/4/25,14.8,21.6,7.6
2000/4/26,13.7,15.0,12.6
2000/4/27,15.6,21.3,10.9
2000/4/28,14.6,18.5,11.0
2000/4/29,14.4,20.5,7.5
2000/4/30,13.2,15.9,10.0
2000/5/1,16.9,22.7,13.8
