ダウンロードした時刻：2017/07/24 15:39:04

,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,5.8,9.0,2.2
2000/1/2,7.0,11.7,1.2
2000/1/3,8.0,12.0,4.9
2000/1/4,6.2,9.0,4.2
2000/1/5,5.5,9.9,2.7
2000/1/6,12.6,18.3,3.3
2000/1/7,8.1,13.5,4.3
2000/1/8,6.6,11.5,2.6
2000/1/9,8.3,12.0,5.9
2000/1/10,7.1,13.1,4.5
2000/1/11,3.8,5.5,1.6
2000/1/12,4.7,7.4,2.1
2000/1/13,7.0,9.3,4.7
2000/1/14,7.8,11.7,5.3
2000/1/15,5.4,9.9,1.9
2000/1/16,4.3,8.6,-0.4
2000/1/17,6.7,9.3,4.2
2000/1/18,4.7,7.7,2.5
2000/1/19,5.4,12.5,0.1
2000/1/20,1.8,4.6,-0.5
2000/1/21,-1.3,0.5,-2.3
2000/1/22,0.4,4.5,-2.7
2000/1/23,4.2,7.4,-0.5
2000/1/24,5.7,8.4,2.1
2000/1/25,-0.2,2.6,-1.9
2000/1/26,-0.9,2.1,-3.2
2000/1/27,-1.1,2.9,-4.0
2000/1/28,1.0,5.8,-4.2
2000/1/29,2.1,7.2,-2.1
2000/1/30,4.6,7.3,0.0
2000/1/31,0.6,2.9,-0.8
2000/2/1,1.1,4.6,-0.9
2000/2/2,3.3,8.9,-0.4
2000/2/3,4.5,10.0,1.3
2000/2/4,2.7,6.0,0.3
2000/2/5,3.3,8.8,-0.5
2000/2/6,4.8,8.0,0.6
2000/2/7,4.5,7.2,1.3
2000/2/8,2.3,5.1,-0.4
2000/2/9,0.3,3.0,-0.9
2000/2/10,1.7,6.4,-0.8
2000/2/11,2.6,5.4,0.6
2000/2/12,6.0,11.2,2.0
2000/2/13,4.3,7.3,1.5
2000/2/14,6.2,13.0,1.3
2000/2/15,0.4,5.2,-2.1
2000/2/16,-1.7,-0.4,-2.8
2000/2/17,-0.7,2.4,-3.2
2000/2/18,-0.1,1.9,-0.9
2000/2/19,1.1,4.6,-2.1
2000/2/20,1.8,5.0,0.1
2000/2/21,0.1,2.8,-1.2
2000/2/22,-0.2,2.8,-2.0
2000/2/23,1.8,5.7,-1.7
2000/2/24,-0.2,2.2,-2.7
2000/2/25,-1.1,2.9,-3.8
2000/2/26,0.3,4.4,-4.1
2000/2/27,1.5,3.2,0.2
2000/2/28,0.8,6.4,-2.9
2000/2/29,-1.0,2.0,-3.2
2000/3/1,1.2,6.4,-2.4
2000/3/2,4.4,11.5,-3.4
2000/3/3,6.6,13.4,2.0
2000/3/4,8.6,10.4,6.5
2000/3/5,5.9,9.0,4.0
2000/3/6,6.4,12.4,0.2
2000/3/7,4.6,8.0,0.4
2000/3/8,0.6,2.8,-0.2
2000/3/9,-0.2,3.0,-1.7
2000/3/10,0.2,5.2,-5.5
2000/3/11,4.5,10.2,-1.0
2000/3/12,5.4,9.1,2.0
2000/3/13,4.3,8.7,0.3
2000/3/14,2.7,8.8,-1.6
2000/3/15,4.7,10.1,-0.3
2000/3/16,7.2,9.6,3.6
2000/3/17,5.0,9.0,1.3
2000/3/18,8.3,16.9,0.3
2000/3/19,10.1,16.4,6.5
2000/3/20,5.7,8.8,3.1
2000/3/21,4.9,9.6,-0.1
2000/3/22,5.9,10.3,1.9
2000/3/23,9.8,18.9,-0.1
2000/3/24,6.6,9.4,3.4
2000/3/25,3.2,7.3,0.3
2000/3/26,1.3,4.0,0.2
2000/3/27,6.3,14.5,-1.6
2000/3/28,13.5,17.2,9.3
2000/3/29,8.4,10.6,5.2
2000/3/30,8.6,14.3,5.6
2000/3/31,11.9,19.1,5.7
2000/4/1,9.1,14.7,4.1
2000/4/2,7.4,11.8,2.6
2000/4/3,8.2,13.3,4.7
2000/4/4,8.9,14.0,2.1
2000/4/5,10.8,12.4,8.9
2000/4/6,9.3,14.2,4.0
2000/4/7,14.0,23.2,2.5
2000/4/8,10.8,15.6,5.7
2000/4/9,10.0,16.3,2.9
2000/4/10,16.4,22.2,7.4
2000/4/11,8.6,12.1,5.1
2000/4/12,13.4,19.1,8.7
2000/4/13,14.1,21.1,7.5
2000/4/14,14.9,20.1,10.0
2000/4/15,9.2,11.5,6.5
2000/4/16,8.0,12.2,4.7
2000/4/17,9.6,16.9,2.3
2000/4/18,13.8,20.0,5.6
2000/4/19,14.2,17.3,11.8
2000/4/20,13.2,17.6,10.8
2000/4/21,12.8,18.1,9.2
2000/4/22,15.7,20.9,11.9
2000/4/23,14.2,18.6,9.4
2000/4/24,11.0,17.0,7.7
2000/4/25,14.3,21.8,7.0
2000/4/26,13.4,17.5,10.2
2000/4/27,13.6,17.4,10.8
2000/4/28,9.1,11.8,8.2
2000/4/29,12.7,18.7,8.0
2000/4/30,13.5,18.7,8.3
2000/5/1,15.3,20.9,11.2
