ダウンロードした時刻：2017/07/24 15:45:13

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/1/1,9.3,12.4,7.0
2003/1/2,6.4,9.7,4.0
2003/1/3,8.8,15.4,5.0
2003/1/4,7.3,10.5,3.1
2003/1/5,2.5,4.9,0.6
2003/1/6,3.6,7.3,0.6
2003/1/7,5.7,10.5,1.4
2003/1/8,7.1,11.1,3.8
2003/1/9,9.3,13.1,6.3
2003/1/10,9.2,13.4,5.5
2003/1/11,9.2,13.9,5.8
2003/1/12,9.0,13.5,5.0
2003/1/13,10.5,14.4,5.9
2003/1/14,11.1,15.2,7.3
2003/1/15,4.8,8.2,1.7
2003/1/16,5.8,10.2,0.4
2003/1/17,10.9,15.9,5.9
2003/1/18,10.7,14.5,7.2
2003/1/19,8.5,10.0,6.7
2003/1/20,8.0,10.4,5.4
2003/1/21,6.4,9.2,3.8
2003/1/22,7.4,10.8,2.4
2003/1/23,10.1,15.2,7.0
2003/1/24,5.9,8.9,4.3
2003/1/25,5.7,10.3,1.1
2003/1/26,7.7,10.0,4.6
2003/1/27,13.9,17.6,9.0
2003/1/28,6.8,11.9,4.5
2003/1/29,2.4,6.7,-2.0
2003/1/30,2.0,5.7,-1.6
2003/1/31,5.7,9.6,2.5
2003/2/1,6.0,9.6,3.8
2003/2/2,5.4,10.3,3.2
2003/2/3,5.3,9.8,2.1
2003/2/4,5.5,11.7,2.3
2003/2/5,7.0,10.3,4.7
2003/2/6,6.5,10.2,3.1
2003/2/7,9.1,13.0,3.4
2003/2/8,13.0,17.6,9.2
2003/2/9,14.3,18.6,10.9
2003/2/10,13.2,16.7,11.0
2003/2/11,12.5,15.1,10.6
2003/2/12,9.9,13.4,6.7
2003/2/13,8.3,12.2,5.0
2003/2/14,7.4,12.0,4.1
2003/2/15,9.4,13.8,3.7
2003/2/16,11.5,15.0,7.0
2003/2/17,9.6,13.8,5.3
2003/2/18,9.2,11.1,6.6
2003/2/19,9.0,13.4,6.1
2003/2/20,7.3,11.6,4.8
2003/2/21,8.5,13.5,2.0
2003/2/22,10.1,13.0,8.9
2003/2/23,11.9,16.2,9.2
2003/2/24,9.1,12.3,5.8
2003/2/25,8.9,13.1,4.3
2003/2/26,11.0,15.1,7.1
2003/2/27,9.8,14.1,4.5
2003/2/28,8.2,12.3,3.1
2003/3/1,12.4,17.9,9.4
2003/3/2,12.3,16.8,9.5
2003/3/3,15.0,19.1,10.3
2003/3/4,5.6,10.3,2.4
2003/3/5,5.2,8.8,1.2
2003/3/6,9.2,14.4,5.6
2003/3/7,13.5,17.9,8.7
2003/3/8,7.4,9.8,5.3
2003/3/9,6.3,11.4,3.0
2003/3/10,6.2,11.3,2.6
2003/3/11,6.3,11.0,2.8
2003/3/12,7.1,12.5,2.6
2003/3/13,8.9,14.9,4.6
2003/3/14,9.7,14.1,5.9
2003/3/15,8.2,9.1,7.2
2003/3/16,9.7,10.9,8.2
2003/3/17,13.8,19.2,9.2
2003/3/18,10.9,15.0,7.7
2003/3/19,8.4,13.1,4.1
2003/3/20,8.7,13.8,3.8
2003/3/21,9.4,13.5,4.7
2003/3/22,8.3,10.5,6.2
2003/3/23,11.4,16.3,7.1
2003/3/24,12.6,16.8,10.0
2003/3/25,15.2,18.7,12.4
2003/3/26,13.3,16.9,9.4
2003/3/27,16.2,20.0,11.1
2003/3/28,13.3,17.3,9.3
2003/3/29,12.5,18.1,8.0
2003/3/30,12.8,16.3,7.4
2003/3/31,16.6,20.4,12.1
2003/4/1,13.9,16.3,11.4
2003/4/2,13.7,15.3,12.8
2003/4/3,13.8,14.7,13.0
2003/4/4,12.3,15.1,10.5
2003/4/5,10.7,12.4,8.1
2003/4/6,11.4,15.8,5.0
2003/4/7,15.8,20.6,10.0
2003/4/8,17.1,19.3,14.1
2003/4/9,13.7,17.9,10.6
2003/4/10,11.3,15.1,6.7
2003/4/11,14.3,16.7,10.2
2003/4/12,17.3,19.2,16.0
2003/4/13,17.5,21.3,14.2
2003/4/14,15.3,17.5,13.8
2003/4/15,13.7,14.9,12.8
2003/4/16,15.9,20.7,11.6
2003/4/17,17.7,21.8,12.4
2003/4/18,18.5,21.1,16.5
2003/4/19,19.6,22.0,18.4
2003/4/20,20.9,22.2,19.7
2003/4/21,18.2,22.0,11.5
2003/4/22,14.1,18.8,8.7
2003/4/23,17.0,19.2,13.7
2003/4/24,19.8,20.8,18.5
2003/4/25,20.9,22.5,19.9
2003/4/26,20.3,23.7,17.0
2003/4/27,17.0,20.2,14.0
2003/4/28,18.0,21.8,14.8
2003/4/29,19.2,22.6,14.8
2003/4/30,19.2,22.8,15.1
2003/5/1,15.5,19.3,10.9
