ダウンロードした時刻：2017/07/24 15:42:10

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/1/1,7.5,12.1,3.6
2016/1/2,7.3,13.4,2.6
2016/1/3,9.3,16.2,3.0
2016/1/4,9.2,15.2,4.4
2016/1/5,10.9,15.4,5.1
2016/1/6,8.9,11.3,7.1
2016/1/7,8.7,12.9,4.5
2016/1/8,6.8,10.9,3.1
2016/1/9,7.3,11.6,2.8
2016/1/10,7.9,12.9,2.4
2016/1/11,7.1,10.5,3.8
2016/1/12,3.4,6.1,0.9
2016/1/13,4.3,9.7,-0.9
2016/1/14,6.0,11.4,0.2
2016/1/15,5.6,10.9,2.0
2016/1/16,6.5,11.8,1.8
2016/1/17,5.8,8.6,2.3
2016/1/18,2.8,6.2,0.2
2016/1/19,5.1,8.6,0.9
2016/1/20,4.1,9.1,-0.7
2016/1/21,5.4,9.5,1.0
2016/1/22,5.8,10.3,3.0
2016/1/23,3.9,6.4,2.6
2016/1/24,3.3,9.2,-1.2
2016/1/25,2.9,8.4,-2.6
2016/1/26,3.8,9.6,-1.3
2016/1/27,6.3,13.4,-1.1
2016/1/28,7.8,14.0,2.1
2016/1/29,5.4,7.8,2.6
2016/1/30,3.3,5.0,1.5
2016/1/31,6.1,11.2,1.3
2016/2/1,4.7,6.7,2.6
2016/2/2,6.0,10.7,2.6
2016/2/3,5.0,9.2,1.5
2016/2/4,5.1,9.5,1.1
2016/2/5,7.5,13.3,0.6
2016/2/6,6.7,9.9,4.4
2016/2/7,5.0,9.4,1.5
2016/2/8,4.4,9.3,1.3
2016/2/9,6.6,14.7,0.6
2016/2/10,6.0,10.8,1.6
2016/2/11,6.0,11.5,1.7
2016/2/12,7.2,11.9,1.5
2016/2/13,14.0,21.8,8.3
2016/2/14,18.5,23.0,15.1
2016/2/15,8.1,15.5,3.2
2016/2/16,5.6,10.0,1.2
2016/2/17,6.2,13.4,1.3
2016/2/18,6.2,10.7,1.1
2016/2/19,9.7,16.5,2.4
2016/2/20,8.0,11.2,6.5
2016/2/21,9.5,15.7,6.2
2016/2/22,6.7,9.8,4.9
2016/2/23,6.7,10.0,4.9
2016/2/24,5.8,7.7,2.5
2016/2/25,3.8,8.4,0.4
2016/2/26,5.8,11.4,0.1
2016/2/27,7.8,12.5,2.7
2016/2/28,8.7,15.0,3.7
2016/2/29,8.3,14.8,4.8
2016/3/1,5.2,10.3,2.1
2016/3/2,6.3,12.4,1.1
2016/3/3,9.2,16.4,2.3
2016/3/4,10.4,15.9,5.6
2016/3/5,10.7,16.3,7.7
2016/3/6,13.2,17.3,9.0
2016/3/7,14.1,15.5,12.8
2016/3/8,15.8,20.8,12.7
2016/3/9,8.7,14.9,3.8
2016/3/10,6.1,8.5,3.6
2016/3/11,4.6,6.1,3.0
2016/3/12,5.8,8.4,2.9
2016/3/13,6.7,9.2,3.9
2016/3/14,5.7,6.9,3.9
2016/3/15,8.1,14.1,4.0
2016/3/16,8.7,13.9,2.9
2016/3/17,13.1,20.4,6.4
2016/3/18,14.8,21.4,7.6
2016/3/19,14.9,16.7,13.6
2016/3/20,13.4,19.0,8.3
2016/3/21,9.5,13.8,6.9
2016/3/22,11.0,17.5,5.4
2016/3/23,11.5,18.0,7.5
2016/3/24,6.3,9.5,4.1
2016/3/25,8.1,14.4,2.5
2016/3/26,8.0,12.5,5.1
2016/3/27,10.4,16.1,6.0
2016/3/28,11.3,16.8,9.0
2016/3/29,13.0,18.6,7.4
2016/3/30,14.9,20.0,9.4
2016/3/31,14.9,20.2,8.9
2016/4/1,12.8,18.4,8.1
2016/4/2,10.5,13.3,7.7
2016/4/3,13.1,17.0,9.5
2016/4/4,15.6,21.9,9.7
2016/4/5,10.8,12.8,9.1
2016/4/6,14.6,20.2,7.3
2016/4/7,13.8,20.1,11.8
2016/4/8,16.1,22.9,11.5
2016/4/9,17.1,23.5,10.9
2016/4/10,17.2,23.9,12.2
2016/4/11,11.6,17.1,7.4
2016/4/12,10.5,15.1,5.1
2016/4/13,14.4,19.0,10.6
2016/4/14,15.0,17.6,13.1
2016/4/15,16.3,21.4,11.0
2016/4/16,15.8,20.9,10.1
2016/4/17,19.2,23.1,16.6
2016/4/18,18.9,26.8,13.8
2016/4/19,16.2,21.9,12.0
2016/4/20,14.9,19.3,9.8
2016/4/21,16.5,20.2,13.3
2016/4/22,17.3,23.7,13.2
2016/4/23,17.9,22.4,14.0
2016/4/24,15.7,19.1,12.1
2016/4/25,18.1,23.1,13.5
2016/4/26,19.2,25.1,14.2
2016/4/27,18.1,21.8,15.2
2016/4/28,14.4,15.4,13.3
2016/4/29,15.8,21.4,11.4
2016/4/30,16.0,21.7,10.5
2016/5/1,18.2,25.0,11.9
