ダウンロードした時刻：2017/07/24 15:46:29

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,12.9,15.3,8.9
2000/1/2,12.6,16.9,8.4
2000/1/3,7.9,11.8,4.4
2000/1/4,7.4,13.8,2.9
2000/1/5,11.8,15.9,5.5
2000/1/6,13.0,17.0,9.1
2000/1/7,4.3,9.1,1.4
2000/1/8,4.7,7.7,2.9
2000/1/9,7.4,10.3,2.9
2000/1/10,7.5,10.5,3.2
2000/1/11,9.5,12.4,4.4
2000/1/12,10.3,11.6,8.4
2000/1/13,10.3,12.5,7.7
2000/1/14,5.9,8.8,1.9
2000/1/15,7.5,11.3,1.7
2000/1/16,10.2,11.4,8.7
2000/1/17,9.5,11.8,5.7
2000/1/18,8.2,11.9,3.4
2000/1/19,4.2,7.5,0.9
2000/1/20,0.6,1.9,-0.8
2000/1/21,0.9,4.2,-1.8
2000/1/22,5.6,8.7,1.2
2000/1/23,10.9,14.6,7.0
2000/1/24,8.9,11.4,5.0
2000/1/25,5.0,7.5,1.6
2000/1/26,0.9,3.2,-1.5
2000/1/27,1.5,4.2,-0.7
2000/1/28,2.3,8.5,-2.2
2000/1/29,5.6,10.8,0.0
2000/1/30,5.2,8.1,1.8
2000/1/31,0.3,2.9,-2.1
2000/2/1,2.2,6.5,-2.1
2000/2/2,3.0,6.8,-0.2
2000/2/3,4.4,8.0,-0.2
2000/2/4,4.7,8.5,0.6
2000/2/5,7.3,11.6,2.9
2000/2/6,7.8,10.6,3.3
2000/2/7,5.7,7.8,2.1
2000/2/8,1.3,6.5,-0.9
2000/2/9,2.0,5.7,-1.4
2000/2/10,4.5,9.7,-1.1
2000/2/11,7.7,11.5,5.3
2000/2/12,7.4,13.5,2.6
2000/2/13,7.9,13.3,2.6
2000/2/14,8.9,12.8,3.3
2000/2/15,1.8,3.3,0.8
2000/2/16,2.1,4.1,0.4
2000/2/17,3.5,5.7,0.9
2000/2/18,4.0,9.1,-1.3
2000/2/19,6.9,7.9,4.5
2000/2/20,7.7,11.5,3.8
2000/2/21,4.6,8.2,2.2
2000/2/22,4.2,8.7,-0.1
2000/2/23,6.6,11.1,-0.1
2000/2/24,4.3,8.9,-0.5
2000/2/25,3.9,8.7,-0.5
2000/2/26,5.6,8.1,2.5
2000/2/27,5.9,9.0,3.1
2000/2/28,7.0,8.9,2.9
2000/2/29,3.6,8.9,-0.9
2000/3/1,6.5,13.3,-0.2
2000/3/2,9.3,15.4,4.0
2000/3/3,10.0,15.9,4.7
2000/3/4,11.2,12.9,9.2
2000/3/5,10.3,14.6,5.3
2000/3/6,10.2,14.7,4.9
2000/3/7,6.5,10.0,3.8
2000/3/8,5.2,7.9,1.6
2000/3/9,5.0,7.8,2.5
2000/3/10,7.5,11.9,2.5
2000/3/11,9.1,10.7,7.6
2000/3/12,10.0,13.6,6.4
2000/3/13,11.1,15.5,6.5
2000/3/14,11.0,15.5,6.2
2000/3/15,10.0,15.2,4.4
2000/3/16,9.9,12.2,8.0
2000/3/17,8.9,14.0,4.5
2000/3/18,10.7,15.9,3.6
2000/3/19,12.8,15.8,9.6
2000/3/20,9.1,12.1,4.7
2000/3/21,9.9,15.6,4.2
2000/3/22,11.2,12.8,8.9
2000/3/23,9.8,11.4,7.1
2000/3/24,9.2,12.5,6.6
2000/3/25,9.3,12.1,5.9
2000/3/26,12.8,16.4,7.5
2000/3/27,15.5,18.1,13.2
2000/3/28,13.1,16.3,8.2
2000/3/29,10.2,13.3,8.1
2000/3/30,11.8,16.4,7.1
2000/3/31,13.0,15.6,10.0
2000/4/1,11.7,15.8,7.3
2000/4/2,13.1,17.1,8.0
2000/4/3,14.7,17.6,12.5
2000/4/4,13.8,15.2,11.9
2000/4/5,13.8,17.3,11.3
2000/4/6,10.7,15.2,6.6
2000/4/7,13.6,17.2,7.3
2000/4/8,11.4,15.2,6.1
2000/4/9,13.6,18.7,6.4
2000/4/10,13.0,17.0,7.5
2000/4/11,10.7,15.0,4.7
2000/4/12,13.7,17.2,11.4
2000/4/13,17.5,21.6,13.0
2000/4/14,16.2,19.9,13.3
2000/4/15,13.3,16.0,11.6
2000/4/16,12.8,15.4,10.2
2000/4/17,16.0,18.9,13.3
2000/4/18,17.0,20.6,12.5
2000/4/19,16.0,18.5,12.7
2000/4/20,14.0,16.8,12.1
2000/4/21,15.4,19.3,13.1
2000/4/22,16.9,22.4,13.3
2000/4/23,14.6,17.8,11.3
2000/4/24,15.4,19.7,11.0
2000/4/25,17.0,20.2,12.9
2000/4/26,14.6,19.5,12.8
2000/4/27,14.0,17.2,12.4
2000/4/28,13.2,18.2,8.6
2000/4/29,16.0,22.6,9.8
2000/4/30,12.2,13.6,10.1
2000/5/1,16.5,23.6,10.2
