ダウンロードした時刻：2017/07/24 15:43:12

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/1/1,2.2,4.5,0.6
2005/1/2,4.1,8.9,-0.4
2005/1/3,9.1,12.4,5.1
2005/1/4,6.5,10.9,1.3
2005/1/5,4.5,6.7,2.3
2005/1/6,5.5,10.3,0.9
2005/1/7,6.1,9.2,2.0
2005/1/8,2.7,6.3,0.4
2005/1/9,1.7,4.2,0.1
2005/1/10,1.5,4.3,-0.3
2005/1/11,3.8,6.2,0.8
2005/1/12,2.7,4.7,0.5
2005/1/13,3.8,7.8,1.1
2005/1/14,5.0,9.3,2.7
2005/1/15,5.7,11.5,1.2
2005/1/16,5.7,8.7,2.9
2005/1/17,6.8,9.0,3.3
2005/1/18,5.3,10.0,2.1
2005/1/19,5.6,11.1,3.1
2005/1/20,2.8,4.8,0.1
2005/1/21,1.6,3.9,0.0
2005/1/22,3.2,8.6,-0.5
2005/1/23,4.6,10.1,0.5
2005/1/24,5.9,13.8,-1.0
2005/1/25,5.5,8.1,4.1
2005/1/26,5.4,8.0,1.7
2005/1/27,5.5,11.4,1.0
2005/1/28,5.2,11.9,0.1
2005/1/29,7.6,14.5,0.1
2005/1/30,4.3,6.7,2.2
2005/1/31,1.9,6.1,-1.0
2005/2/1,-2.3,0.5,-4.3
2005/2/2,0.3,3.3,-2.3
2005/2/3,1.7,4.5,-0.5
2005/2/4,4.1,8.9,0.2
2005/2/5,4.3,8.1,0.4
2005/2/6,4.6,6.8,1.6
2005/2/7,4.4,7.5,1.4
2005/2/8,7.3,10.7,4.2
2005/2/9,9.0,12.5,5.0
2005/2/10,5.1,8.0,1.3
2005/2/11,1.7,3.6,0.3
2005/2/12,1.8,4.2,-0.2
2005/2/13,3.0,8.2,-1.2
2005/2/14,4.8,9.2,-0.8
2005/2/15,5.9,9.6,2.7
2005/2/16,8.6,11.2,5.6
2005/2/17,7.3,8.6,5.3
2005/2/18,6.2,8.8,3.0
2005/2/19,6.5,8.6,3.2
2005/2/20,1.1,7.1,-1.6
2005/2/21,0.1,3.5,-2.1
2005/2/22,3.8,9.7,-1.4
2005/2/23,8.2,11.5,1.9
2005/2/24,3.2,6.2,0.9
2005/2/25,4.8,7.6,2.5
2005/2/26,1.5,3.4,-0.1
2005/2/27,2.0,5.8,-0.6
2005/2/28,3.9,9.0,-1.5
2005/3/1,3.8,7.0,1.5
2005/3/2,4.2,8.2,0.3
2005/3/3,4.7,8.4,1.8
2005/3/4,4.8,8.4,2.2
2005/3/5,2.2,5.8,0.2
2005/3/6,3.1,8.5,-1.0
2005/3/7,8.6,15.3,0.1
2005/3/8,11.9,17.1,6.4
2005/3/9,10.5,13.0,7.8
2005/3/10,13.8,21.0,5.5
2005/3/11,11.1,15.5,7.7
2005/3/12,2.2,7.7,-0.1
2005/3/13,-0.8,0.5,-3.6
2005/3/14,1.5,5.8,-4.2
2005/3/15,4.9,10.5,-0.1
2005/3/16,9.0,15.9,3.4
2005/3/17,11.5,19.0,8.2
2005/3/18,7.2,10.0,2.0
2005/3/19,6.1,11.9,0.3
2005/3/20,8.0,14.4,3.1
2005/3/21,8.1,12.6,1.0
2005/3/22,11.3,13.9,8.9
2005/3/23,8.4,10.7,3.7
2005/3/24,5.2,12.6,2.4
2005/3/25,4.0,7.5,0.5
2005/3/26,10.6,15.6,3.4
2005/3/27,12.1,18.6,4.7
2005/3/28,11.3,14.0,7.7
2005/3/29,8.8,11.7,2.6
2005/3/30,7.1,13.6,0.2
2005/3/31,10.2,16.3,4.3
2005/4/1,8.2,14.0,2.0
2005/4/2,13.5,21.5,4.0
2005/4/3,9.8,15.3,5.8
2005/4/4,8.1,12.4,4.5
2005/4/5,12.7,20.2,4.6
2005/4/6,14.9,19.8,6.5
2005/4/7,21.5,27.1,17.2
2005/4/8,13.3,20.5,7.2
2005/4/9,11.4,16.2,4.3
2005/4/10,19.6,28.4,10.3
2005/4/11,11.0,13.5,9.1
2005/4/12,8.8,10.5,6.4
2005/4/13,9.3,13.1,5.0
2005/4/14,13.1,20.6,5.3
2005/4/15,12.3,19.4,6.3
2005/4/16,12.3,20.1,4.9
2005/4/17,14.0,22.3,5.4
2005/4/18,14.9,23.7,7.2
2005/4/19,17.4,25.1,7.7
2005/4/20,16.8,21.1,12.5
2005/4/21,13.4,17.7,10.3
2005/4/22,14.4,18.6,9.2
2005/4/23,12.2,17.6,7.3
2005/4/24,12.2,16.7,4.9
2005/4/25,17.3,22.2,12.7
2005/4/26,15.8,21.8,10.8
2005/4/27,18.0,24.9,8.8
2005/4/28,24.0,33.7,16.4
2005/4/29,23.2,28.2,18.3
2005/4/30,22.7,28.3,19.0
2005/5/1,21.2,23.8,17.8
