ダウンロードした時刻：2017/07/24 15:41:35

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,6.7,13.7,3.8
1987/1/2,4.5,5.7,3.3
1987/1/3,10.6,17.7,3.7
1987/1/4,7.1,11.2,3.3
1987/1/5,4.0,6.1,2.0
1987/1/6,6.7,10.3,2.6
1987/1/7,6.4,9.7,2.3
1987/1/8,8.1,11.7,3.6
1987/1/9,9.5,13.0,3.3
1987/1/10,6.1,10.0,1.4
1987/1/11,1.7,5.7,-0.8
1987/1/12,0.2,3.9,-2.1
1987/1/13,2.2,4.4,0.8
1987/1/14,2.5,6.3,-1.4
1987/1/15,5.8,11.6,1.7
1987/1/16,6.1,10.2,0.8
1987/1/17,9.5,14.8,4.4
1987/1/18,5.5,9.6,2.5
1987/1/19,5.4,8.8,3.1
1987/1/20,2.3,5.1,-0.1
1987/1/21,3.2,8.2,-1.3
1987/1/22,4.7,10.4,-0.6
1987/1/23,5.6,7.4,1.8
1987/1/24,6.3,9.5,2.6
1987/1/25,2.1,5.9,-0.4
1987/1/26,1.6,6.1,-0.8
1987/1/27,4.9,10.3,-0.1
1987/1/28,6.8,11.9,3.1
1987/1/29,5.3,11.1,-0.4
1987/1/30,8.2,15.9,2.2
1987/1/31,5.5,10.8,2.4
1987/2/1,3.1,6.8,0.2
1987/2/2,0.9,3.7,-2.4
1987/2/3,2.7,5.1,0.8
1987/2/4,2.9,4.3,1.6
1987/2/5,5.6,9.5,3.1
1987/2/6,8.1,12.7,2.3
1987/2/7,8.8,14.9,3.1
1987/2/8,8.5,13.9,3.1
1987/2/9,6.2,11.1,0.2
1987/2/10,7.2,13.9,0.8
1987/2/11,10.3,15.5,3.7
1987/2/12,10.1,16.3,6.5
1987/2/13,7.8,13.0,4.2
1987/2/14,7.8,13.4,1.8
1987/2/15,5.8,9.3,3.2
1987/2/16,5.6,9.3,2.1
1987/2/17,3.8,6.8,1.6
1987/2/18,6.5,10.4,2.5
1987/2/19,4.2,6.9,2.7
1987/2/20,5.0,9.6,2.2
1987/2/21,4.6,7.4,0.2
1987/2/22,4.2,8.4,1.0
1987/2/23,6.1,12.1,0.4
1987/2/24,7.0,11.7,1.4
1987/2/25,4.8,8.4,0.9
1987/2/26,2.8,6.5,0.3
1987/2/27,3.0,6.8,0.0
1987/2/28,3.0,7.5,-1.8
1987/3/1,3.3,9.1,-0.3
1987/3/2,2.2,7.1,0.0
1987/3/3,4.8,10.7,-1.2
1987/3/4,6.9,11.2,0.4
1987/3/5,11.8,18.8,4.2
1987/3/6,12.4,18.6,6.3
1987/3/7,2.7,6.4,0.7
1987/3/8,4.9,8.6,3.0
1987/3/9,5.8,8.9,3.2
1987/3/10,6.4,10.5,2.8
1987/3/11,7.4,11.0,4.1
1987/3/12,8.4,13.9,4.5
1987/3/13,8.1,10.5,3.9
1987/3/14,10.3,14.4,8.0
1987/3/15,8.2,12.7,5.2
1987/3/16,8.0,12.2,3.9
1987/3/17,5.1,7.1,3.8
1987/3/18,9.3,14.8,5.3
1987/3/19,9.8,14.8,2.8
1987/3/20,11.5,14.6,6.8
1987/3/21,10.1,13.1,5.0
1987/3/22,13.4,16.0,10.6
1987/3/23,13.3,14.5,12.4
1987/3/24,15.5,22.4,11.0
1987/3/25,7.5,13.2,2.8
1987/3/26,5.2,9.9,1.8
1987/3/27,7.0,11.8,0.5
1987/3/28,9.6,14.2,4.4
1987/3/29,9.3,11.1,8.0
1987/3/30,10.0,12.5,4.5
1987/3/31,7.9,12.1,3.2
1987/4/1,6.1,9.1,0.9
1987/4/2,8.1,10.6,5.2
1987/4/3,11.6,17.9,7.0
1987/4/4,13.5,20.9,5.7
1987/4/5,13.8,20.3,6.6
1987/4/6,13.6,17.4,8.5
1987/4/7,13.6,15.0,12.7
1987/4/8,17.4,23.7,12.5
1987/4/9,14.2,16.6,10.2
1987/4/10,16.9,23.1,14.3
1987/4/11,11.2,16.3,6.8
1987/4/12,8.3,13.9,4.9
1987/4/13,6.6,11.5,3.0
1987/4/14,7.9,12.8,1.0
1987/4/15,11.2,19.9,4.7
1987/4/16,12.4,17.3,5.8
1987/4/17,14.0,18.3,9.6
1987/4/18,15.2,19.0,10.0
1987/4/19,17.2,25.0,10.1
1987/4/20,17.4,24.2,12.8
1987/4/21,18.4,23.2,14.5
1987/4/22,19.7,24.8,16.6
1987/4/23,19.8,25.7,15.3
1987/4/24,17.0,22.3,12.3
1987/4/25,14.2,19.3,8.8
1987/4/26,11.7,14.2,9.7
1987/4/27,12.3,17.6,8.0
1987/4/28,14.9,19.5,8.1
1987/4/29,16.3,20.9,9.8
1987/4/30,16.2,20.8,10.7
1987/5/1,15.8,16.6,14.6
