ダウンロードした時刻：2017/07/24 15:42:44

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,12.3,15.5,9.5
1989/1/2,10.8,15.4,5.0
1989/1/3,12.7,13.4,11.8
1989/1/4,9.8,12.3,6.4
1989/1/5,7.6,9.8,3.1
1989/1/6,8.8,12.6,3.7
1989/1/7,12.6,17.0,6.0
1989/1/8,15.6,18.8,13.2
1989/1/9,13.7,14.8,12.4
1989/1/10,12.6,13.3,11.9
1989/1/11,12.6,14.2,9.1
1989/1/12,13.5,17.3,12.4
1989/1/13,11.2,12.9,9.2
1989/1/14,10.3,12.1,8.9
1989/1/15,9.6,10.9,8.2
1989/1/16,9.2,11.2,6.7
1989/1/17,11.0,13.3,6.6
1989/1/18,11.7,14.3,9.0
1989/1/19,16.0,19.9,8.2
1989/1/20,17.5,20.1,13.3
1989/1/21,14.3,16.1,11.9
1989/1/22,11.7,13.4,10.8
1989/1/23,12.3,14.7,11.2
1989/1/24,12.3,14.0,8.7
1989/1/25,10.6,12.3,7.4
1989/1/26,10.7,14.7,7.1
1989/1/27,11.1,13.9,6.9
1989/1/28,6.4,8.0,3.1
1989/1/29,5.8,10.3,1.6
1989/1/30,9.0,12.4,2.1
1989/1/31,12.2,15.1,6.3
1989/2/1,11.4,14.8,9.7
1989/2/2,7.8,9.9,4.2
1989/2/3,7.2,9.1,0.9
1989/2/4,5.8,8.7,2.8
1989/2/5,7.6,10.7,2.7
1989/2/6,10.1,11.7,5.5
1989/2/7,9.7,11.9,6.2
1989/2/8,13.3,15.9,8.6
1989/2/9,13.8,17.1,10.1
1989/2/10,10.0,12.3,6.6
1989/2/11,6.1,8.4,3.8
1989/2/12,9.0,10.1,6.6
1989/2/13,8.4,9.7,6.0
1989/2/14,7.3,10.5,1.8
1989/2/15,10.8,13.7,4.2
1989/2/16,15.2,16.8,11.5
1989/2/17,15.3,18.5,10.9
1989/2/18,9.7,11.3,8.0
1989/2/19,9.7,11.1,6.5
1989/2/20,11.5,16.5,4.6
1989/2/21,12.6,14.9,10.3
1989/2/22,9.6,10.8,8.2
1989/2/23,9.0,10.3,8.2
1989/2/24,10.0,12.0,9.0
1989/2/25,12.0,18.2,9.5
1989/2/26,13.0,18.4,9.8
1989/2/27,10.4,13.3,8.4
1989/2/28,14.5,17.4,9.5
1989/3/1,14.8,17.2,13.0
1989/3/2,12.4,13.5,10.9
1989/3/3,14.1,17.2,11.6
1989/3/4,18.2,20.4,13.3
1989/3/5,12.3,18.6,10.5
1989/3/6,10.6,12.5,7.9
1989/3/7,9.5,10.8,7.6
1989/3/8,8.3,9.3,6.6
1989/3/9,7.8,10.3,4.5
1989/3/10,9.0,12.4,3.3
1989/3/11,11.5,12.9,9.5
1989/3/12,12.1,15.7,7.9
1989/3/13,13.0,16.6,7.0
1989/3/14,15.2,16.7,12.5
1989/3/15,13.7,15.9,12.3
1989/3/16,11.4,13.6,8.8
1989/3/17,10.9,13.0,8.8
1989/3/18,9.4,11.8,5.8
1989/3/19,9.3,12.4,5.8
1989/3/20,10.8,12.9,6.1
1989/3/21,11.0,13.4,8.6
1989/3/22,9.1,10.7,4.2
1989/3/23,10.3,13.0,8.1
1989/3/24,12.1,14.6,7.9
1989/3/25,13.7,16.7,11.4
1989/3/26,12.7,14.7,10.9
1989/3/27,12.1,13.4,10.2
1989/3/28,12.0,14.4,9.2
1989/3/29,12.2,14.2,9.5
1989/3/30,11.8,14.7,8.6
1989/3/31,13.5,17.1,7.8
1989/4/1,15.2,17.6,11.3
1989/4/2,14.7,18.4,11.2
1989/4/3,15.0,17.2,13.2
1989/4/4,15.4,17.4,12.2
1989/4/5,14.4,19.3,12.9
1989/4/6,14.0,15.5,12.0
1989/4/7,16.7,18.4,15.1
1989/4/8,17.4,18.3,15.1
1989/4/9,15.6,18.5,11.6
1989/4/10,14.1,18.1,11.0
1989/4/11,15.8,19.8,12.5
1989/4/12,13.0,14.9,10.4
1989/4/13,14.5,17.8,7.9
1989/4/14,16.6,20.0,13.6
1989/4/15,16.8,19.2,14.5
1989/4/16,18.5,21.1,16.5
1989/4/17,15.5,16.7,14.2
1989/4/18,17.2,19.6,15.1
1989/4/19,17.0,21.5,12.1
1989/4/20,17.6,22.8,12.7
1989/4/21,16.4,18.9,13.2
1989/4/22,16.8,19.9,13.4
1989/4/23,17.1,20.2,15.2
1989/4/24,15.7,20.3,13.7
1989/4/25,14.0,17.8,10.3
1989/4/26,15.2,19.0,10.3
1989/4/27,17.5,20.9,13.6
1989/4/28,14.6,17.0,12.6
1989/4/29,12.4,15.7,8.8
1989/4/30,15.2,18.7,10.8
1989/5/1,15.2,17.4,13.2
