ダウンロードした時刻：2017/07/24 15:44:50

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,7.9,10.4,4.3
1988/1/2,10.3,12.8,8.1
1988/1/3,9.1,10.8,7.6
1988/1/4,8.0,8.8,6.9
1988/1/5,5.7,8.2,3.5
1988/1/6,5.0,7.8,3.0
1988/1/7,5.4,7.2,3.5
1988/1/8,7.5,11.3,5.1
1988/1/9,5.8,8.9,2.1
1988/1/10,3.1,6.0,1.4
1988/1/11,3.6,6.5,1.5
1988/1/12,4.8,7.9,2.0
1988/1/13,6.1,10.5,2.9
1988/1/14,8.1,11.2,4.8
1988/1/15,8.5,10.4,6.9
1988/1/16,8.9,12.1,7.2
1988/1/17,6.6,9.4,3.5
1988/1/18,5.5,7.7,2.8
1988/1/19,5.0,7.6,1.8
1988/1/20,6.7,10.6,2.5
1988/1/21,8.5,11.0,5.7
1988/1/22,11.4,14.7,9.5
1988/1/23,4.5,11.4,0.3
1988/1/24,1.2,4.1,-0.8
1988/1/25,4.1,6.5,1.7
1988/1/26,5.0,7.9,3.3
1988/1/27,4.9,7.6,2.0
1988/1/28,5.9,9.5,2.8
1988/1/29,8.1,11.5,5.2
1988/1/30,6.6,9.8,3.4
1988/1/31,5.6,8.0,2.0
1988/2/1,4.3,8.0,0.5
1988/2/2,5.3,10.5,0.5
1988/2/3,-0.3,2.5,-1.3
1988/2/4,2.9,6.8,-1.5
1988/2/5,11.4,18.2,4.1
1988/2/6,7.4,12.6,2.2
1988/2/7,1.4,4.3,-0.4
1988/2/8,2.6,6.2,-0.3
1988/2/9,3.3,7.6,0.4
1988/2/10,2.6,6.3,0.2
1988/2/11,3.1,6.1,-0.4
1988/2/12,4.7,8.7,1.0
1988/2/13,5.4,8.9,2.5
1988/2/14,5.0,8.1,1.5
1988/2/15,3.5,7.2,1.2
1988/2/16,3.1,6.4,0.4
1988/2/17,2.4,6.0,0.8
1988/2/18,2.8,5.7,0.8
1988/2/19,3.3,6.9,-0.1
1988/2/20,5.5,9.2,1.9
1988/2/21,3.4,6.2,1.2
1988/2/22,5.1,9.5,-0.8
1988/2/23,7.1,9.8,5.4
1988/2/24,5.8,9.8,2.6
1988/2/25,5.2,8.8,1.0
1988/2/26,5.7,7.8,3.2
1988/2/27,3.4,4.3,2.7
1988/2/28,4.9,8.4,1.5
1988/2/29,5.2,7.1,3.1
1988/3/1,6.4,7.1,4.8
1988/3/2,8.5,11.9,5.8
1988/3/3,4.3,7.7,0.5
1988/3/4,2.8,7.1,-1.5
1988/3/5,4.1,6.7,1.0
1988/3/6,5.8,10.3,1.1
1988/3/7,4.3,7.9,0.7
1988/3/8,3.0,8.2,-1.3
1988/3/9,4.8,9.3,0.6
1988/3/10,6.8,10.6,2.4
1988/3/11,11.1,17.0,5.0
1988/3/12,10.7,15.7,6.4
1988/3/13,9.9,13.3,5.9
1988/3/14,11.2,15.9,8.5
1988/3/15,7.4,11.3,3.2
1988/3/16,3.4,5.1,1.2
1988/3/17,4.3,6.6,2.2
1988/3/18,7.0,10.8,4.5
1988/3/19,8.5,13.5,3.7
1988/3/20,7.9,11.6,5.7
1988/3/21,7.6,10.1,4.1
1988/3/22,9.8,13.0,8.3
1988/3/23,8.8,12.1,5.7
1988/3/24,7.8,11.4,4.4
1988/3/25,6.3,7.4,4.5
1988/3/26,6.3,7.6,4.9
1988/3/27,7.0,11.0,4.3
1988/3/28,7.7,12.2,2.6
1988/3/29,8.9,13.4,6.1
1988/3/30,8.2,9.9,7.1
1988/3/31,9.0,13.5,6.5
1988/4/1,8.0,10.7,4.0
1988/4/2,9.9,11.2,7.7
1988/4/3,12.0,17.7,8.8
1988/4/4,10.2,12.2,7.6
1988/4/5,13.9,19.5,8.4
1988/4/6,11.3,15.8,7.8
1988/4/7,5.9,7.8,3.9
1988/4/8,6.9,12.3,4.2
1988/4/9,8.5,13.5,4.9
1988/4/10,9.9,14.5,5.1
1988/4/11,12.5,18.6,7.3
1988/4/12,14.7,16.4,12.9
1988/4/13,14.8,19.9,12.0
1988/4/14,13.8,19.4,7.3
1988/4/15,12.3,18.2,6.3
1988/4/16,13.8,18.2,8.7
1988/4/17,14.6,19.8,10.9
1988/4/18,13.2,16.5,11.3
1988/4/19,13.2,17.8,9.0
1988/4/20,16.9,21.8,13.1
1988/4/21,15.5,18.2,13.0
1988/4/22,13.9,17.3,9.4
1988/4/23,11.3,15.5,6.7
1988/4/24,11.9,16.6,8.4
1988/4/25,14.3,20.0,9.4
1988/4/26,16.9,22.3,12.4
1988/4/27,15.3,17.2,12.5
1988/4/28,16.3,21.2,11.6
1988/4/29,15.6,19.3,13.9
1988/4/30,18.0,23.1,13.3
1988/5/1,19.5,24.1,14.9
