ダウンロードした時刻：2017/07/24 15:43:08

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,9.6,12.2,7.6
1991/1/2,7.8,9.3,4.8
1991/1/3,4.5,7.1,2.6
1991/1/4,3.2,5.2,1.7
1991/1/5,1.4,3.7,-1.1
1991/1/6,1.7,4.7,-0.5
1991/1/7,5.2,9.3,1.7
1991/1/8,3.0,6.1,0.6
1991/1/9,3.2,6.0,-0.1
1991/1/10,5.3,7.7,0.9
1991/1/11,5.5,8.8,2.7
1991/1/12,3.4,7.6,1.1
1991/1/13,2.4,6.4,0.4
1991/1/14,2.2,4.7,0.0
1991/1/15,2.8,6.8,0.0
1991/1/16,5.9,9.9,1.9
1991/1/17,6.4,10.1,2.8
1991/1/18,3.7,6.6,2.1
1991/1/19,4.3,9.5,1.2
1991/1/20,6.3,12.9,-1.2
1991/1/21,8.4,9.9,7.0
1991/1/22,7.5,10.1,4.6
1991/1/23,3.8,6.2,-0.7
1991/1/24,4.8,10.8,-1.1
1991/1/25,6.6,9.5,3.8
1991/1/26,3.3,5.3,1.8
1991/1/27,3.1,6.7,0.3
1991/1/28,3.5,4.9,1.8
1991/1/29,2.7,5.1,1.0
1991/1/30,4.2,7.2,1.2
1991/1/31,4.1,8.8,1.8
1991/2/1,4.2,8.9,1.3
1991/2/2,3.1,6.8,0.7
1991/2/3,3.9,7.7,0.3
1991/2/4,4.1,9.0,1.3
1991/2/5,2.4,5.4,0.7
1991/2/6,4.6,10.0,0.0
1991/2/7,4.7,10.3,1.1
1991/2/8,4.6,6.9,1.2
1991/2/9,3.7,8.9,-1.5
1991/2/10,9.6,15.9,5.7
1991/2/11,7.7,10.9,4.5
1991/2/12,6.9,10.7,4.4
1991/2/13,4.5,7.9,0.3
1991/2/14,6.2,10.5,0.4
1991/2/15,10.1,17.1,6.7
1991/2/16,5.1,8.0,2.2
1991/2/17,3.7,6.0,1.1
1991/2/18,3.7,6.0,0.5
1991/2/19,1.4,6.2,-0.6
1991/2/20,0.4,4.2,-2.1
1991/2/21,0.0,2.4,-2.1
1991/2/22,-1.1,1.8,-3.1
1991/2/23,-3.3,-1.5,-5.1
1991/2/24,-1.4,2.0,-2.7
1991/2/25,-0.1,5.2,-3.4
1991/2/26,2.0,9.4,-4.1
1991/2/27,6.5,12.4,-0.1
1991/2/28,8.5,11.5,5.9
1991/3/1,4.7,7.4,-1.0
1991/3/2,3.5,10.3,-1.9
1991/3/3,4.8,12.3,-0.8
1991/3/4,8.1,15.5,-1.2
1991/3/5,10.2,14.5,7.8
1991/3/6,11.7,18.7,6.6
1991/3/7,7.5,10.1,5.6
1991/3/8,5.1,7.5,3.5
1991/3/9,9.1,12.0,6.9
1991/3/10,7.8,10.5,4.6
1991/3/11,7.0,8.2,6.0
1991/3/12,7.3,10.7,3.6
1991/3/13,7.4,13.3,1.2
1991/3/14,4.0,7.8,0.9
1991/3/15,4.1,7.1,1.1
1991/3/16,5.6,9.7,2.9
1991/3/17,6.5,10.2,2.1
1991/3/18,5.3,10.3,-0.9
1991/3/19,8.6,16.5,0.5
1991/3/20,13.3,18.4,8.2
1991/3/21,7.0,8.6,5.3
1991/3/22,8.1,11.1,4.5
1991/3/23,10.8,12.6,8.0
1991/3/24,9.1,13.0,5.0
1991/3/25,9.1,12.4,5.0
1991/3/26,9.8,13.6,4.5
1991/3/27,10.9,13.3,9.3
1991/3/28,8.5,9.4,8.0
1991/3/29,8.4,11.3,5.3
1991/3/30,9.0,11.4,5.8
1991/3/31,8.9,11.1,6.4
1991/4/1,6.1,8.6,3.8
1991/4/2,5.5,9.7,1.4
1991/4/3,5.4,10.6,-0.9
1991/4/4,9.4,17.9,0.2
1991/4/5,13.2,20.6,6.2
1991/4/6,13.7,15.7,11.9
1991/4/7,11.8,13.1,11.1
1991/4/8,11.4,12.3,10.5
1991/4/9,10.8,13.4,7.6
1991/4/10,12.1,17.1,4.9
1991/4/11,15.7,19.8,13.3
1991/4/12,14.9,20.8,12.8
1991/4/13,17.0,20.8,12.3
1991/4/14,11.2,13.0,7.4
1991/4/15,13.2,19.0,6.3
1991/4/16,14.0,20.4,8.2
1991/4/17,17.5,25.4,7.8
1991/4/18,14.5,24.8,8.9
1991/4/19,9.9,13.0,6.3
1991/4/20,9.1,12.6,4.7
1991/4/21,11.6,19.5,3.3
1991/4/22,12.9,19.7,5.8
1991/4/23,16.9,23.7,8.1
1991/4/24,14.7,17.3,13.0
1991/4/25,13.8,19.0,11.0
1991/4/26,13.9,18.8,11.2
1991/4/27,12.6,16.5,7.2
1991/4/28,18.1,26.8,8.8
1991/4/29,14.9,17.5,11.4
1991/4/30,12.5,17.1,7.2
1991/5/1,14.7,18.4,10.3
