ダウンロードした時刻：2017/07/24 15:41:02

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,7.0,12.5,2.8
2004/1/2,7.4,12.0,2.6
2004/1/3,7.4,12.2,3.8
2004/1/4,7.3,12.2,3.1
2004/1/5,6.1,11.8,1.0
2004/1/6,5.8,12.0,0.3
2004/1/7,6.5,11.9,0.5
2004/1/8,4.1,7.1,1.1
2004/1/9,3.9,10.3,-0.8
2004/1/10,4.1,9.4,-1.1
2004/1/11,3.9,7.6,1.0
2004/1/12,4.6,10.4,-1.9
2004/1/13,4.7,10.7,1.2
2004/1/14,2.1,4.9,-0.1
2004/1/15,2.1,8.2,-2.2
2004/1/16,2.4,7.2,-1.4
2004/1/17,1.4,2.5,0.0
2004/1/18,4.0,10.0,-1.5
2004/1/19,5.3,9.8,3.0
2004/1/20,4.9,10.2,1.4
2004/1/21,3.8,7.7,1.1
2004/1/22,-0.2,3.0,-3.3
2004/1/23,2.1,6.8,-2.7
2004/1/24,2.6,7.0,-1.1
2004/1/25,2.4,7.5,-2.0
2004/1/26,3.2,7.9,-0.9
2004/1/27,3.4,7.1,0.7
2004/1/28,3.7,9.3,-1.2
2004/1/29,5.7,11.9,0.6
2004/1/30,5.8,11.4,2.0
2004/1/31,5.4,11.0,0.7
2004/2/1,4.9,10.6,-1.4
2004/2/2,5.4,7.2,3.2
2004/2/3,6.3,10.4,2.7
2004/2/4,3.5,7.6,0.3
2004/2/5,3.0,8.9,-0.3
2004/2/6,2.7,7.8,-0.5
2004/2/7,2.7,7.5,-0.2
2004/2/8,3.4,8.7,-1.2
2004/2/9,3.8,8.3,-0.3
2004/2/10,4.5,11.0,-1.1
2004/2/11,5.9,12.1,-0.6
2004/2/12,6.5,11.9,2.8
2004/2/13,6.8,13.1,-0.3
2004/2/14,7.6,13.8,2.2
2004/2/15,4.3,8.7,1.9
2004/2/16,4.6,10.0,0.2
2004/2/17,4.7,10.1,-0.9
2004/2/18,7.4,13.0,3.3
2004/2/19,8.8,17.1,0.8
2004/2/20,10.5,17.8,4.5
2004/2/21,12.5,18.9,6.9
2004/2/22,12.8,16.8,9.1
2004/2/23,7.6,12.7,3.5
2004/2/24,6.4,10.8,0.4
2004/2/25,9.6,15.9,3.9
2004/2/26,7.8,14.9,2.6
2004/2/27,3.6,8.3,1.2
2004/2/28,6.3,11.1,0.6
2004/2/29,6.7,9.7,4.3
2004/3/1,6.7,10.5,4.5
2004/3/2,5.1,11.1,1.3
2004/3/3,4.2,8.0,0.3
2004/3/4,4.3,9.7,1.1
2004/3/5,4.8,10.7,-1.2
2004/3/6,5.5,10.2,1.0
2004/3/7,2.9,8.7,0.0
2004/3/8,3.9,9.1,-1.4
2004/3/9,7.2,13.8,1.4
2004/3/10,10.2,17.9,2.0
2004/3/11,11.9,17.6,8.2
2004/3/12,9.0,11.4,5.8
2004/3/13,8.9,16.8,1.8
2004/3/14,9.9,17.2,2.5
2004/3/15,11.1,18.4,4.7
2004/3/16,12.0,19.1,4.3
2004/3/17,16.0,22.0,11.3
2004/3/18,10.4,16.2,4.0
2004/3/19,8.5,16.5,1.5
2004/3/20,8.2,10.5,5.6
2004/3/21,8.8,15.2,2.1
2004/3/22,6.3,9.3,5.3
2004/3/23,9.9,15.6,4.7
2004/3/24,10.4,12.9,7.2
2004/3/25,10.7,14.5,6.6
2004/3/26,10.9,17.7,6.4
2004/3/27,10.5,18.3,4.4
2004/3/28,12.2,20.2,4.2
2004/3/29,14.2,21.4,7.2
2004/3/30,14.5,17.7,13.2
2004/3/31,12.9,17.1,7.5
2004/4/1,12.7,19.1,6.4
2004/4/2,13.3,20.5,10.6
2004/4/3,12.8,18.1,10.1
2004/4/4,8.0,10.7,5.9
2004/4/5,10.9,18.0,4.2
2004/4/6,13.2,20.0,6.3
2004/4/7,15.8,22.3,9.0
2004/4/8,13.5,19.6,8.6
2004/4/9,14.1,21.8,5.8
2004/4/10,16.8,25.4,8.6
2004/4/11,17.2,23.2,11.3
2004/4/12,19.3,26.3,12.9
2004/4/13,17.2,22.8,13.2
2004/4/14,13.7,15.5,11.7
2004/4/15,15.8,22.8,9.1
2004/4/16,18.1,24.8,12.6
2004/4/17,19.5,26.8,12.6
2004/4/18,19.0,25.0,12.7
2004/4/19,17.9,19.3,16.5
2004/4/20,18.1,23.7,12.5
2004/4/21,18.4,26.5,10.6
2004/4/22,21.2,30.3,12.9
2004/4/23,17.1,22.7,10.6
2004/4/24,11.8,17.1,7.6
2004/4/25,12.8,19.2,5.7
2004/4/26,16.2,23.5,8.6
2004/4/27,16.9,20.9,12.9
2004/4/28,12.2,16.2,8.6
2004/4/29,16.7,25.2,6.9
2004/4/30,18.6,25.3,11.2
2004/5/1,21.2,28.8,15.5
