ダウンロードした時刻：2017/07/24 15:43:09

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,6.0,8.6,3.0
1995/1/2,6.1,9.6,1.6
1995/1/3,7.0,10.0,2.4
1995/1/4,7.3,9.1,6.5
1995/1/5,3.4,6.9,0.4
1995/1/6,1.9,3.9,0.2
1995/1/7,6.1,9.3,2.0
1995/1/8,9.0,15.1,2.6
1995/1/9,12.0,17.5,6.7
1995/1/10,4.0,6.7,0.9
1995/1/11,4.0,6.7,1.5
1995/1/12,4.1,7.2,1.9
1995/1/13,2.5,7.6,0.4
1995/1/14,0.7,3.6,-0.1
1995/1/15,1.9,4.3,-0.3
1995/1/16,2.1,4.6,0.3
1995/1/17,1.9,3.5,-0.5
1995/1/18,4.6,9.3,-1.2
1995/1/19,3.4,6.7,-0.5
1995/1/20,5.0,10.9,0.1
1995/1/21,5.5,12.9,-0.3
1995/1/22,7.4,9.5,4.0
1995/1/23,8.4,9.5,6.9
1995/1/24,3.3,7.1,0.6
1995/1/25,2.9,7.1,0.5
1995/1/26,4.4,8.0,0.6
1995/1/27,2.6,4.6,0.8
1995/1/28,3.1,6.4,1.0
1995/1/29,1.3,5.1,-0.4
1995/1/30,-0.1,2.1,-1.2
1995/1/31,0.5,3.7,-1.9
1995/2/1,0.9,3.5,-0.2
1995/2/2,1.4,2.8,0.5
1995/2/3,2.2,7.0,-0.7
1995/2/4,2.6,7.6,-1.0
1995/2/5,1.2,3.8,0.3
1995/2/6,2.3,3.8,0.8
1995/2/7,4.2,8.5,1.4
1995/2/8,5.1,11.3,-0.1
1995/2/9,5.7,10.5,2.1
1995/2/10,4.2,5.5,2.0
1995/2/11,3.5,8.3,-1.1
1995/2/12,5.5,10.4,0.7
1995/2/13,7.7,11.9,5.0
1995/2/14,5.7,9.1,1.8
1995/2/15,4.5,9.9,-0.3
1995/2/16,1.6,3.7,0.3
1995/2/17,3.1,6.2,0.3
1995/2/18,4.7,8.3,0.7
1995/2/19,4.0,9.4,-1.2
1995/2/20,2.9,6.2,0.8
1995/2/21,3.5,6.7,0.9
1995/2/22,3.4,8.2,-0.7
1995/2/23,5.2,12.7,-2.4
1995/2/24,5.5,7.9,0.0
1995/2/25,4.2,9.6,-1.0
1995/2/26,5.9,9.7,2.4
1995/2/27,3.4,6.4,-0.5
1995/2/28,4.7,12.6,-1.9
1995/3/1,5.8,8.5,3.7
1995/3/2,5.0,7.6,2.1
1995/3/3,5.7,8.7,2.4
1995/3/4,4.3,6.0,2.4
1995/3/5,4.7,8.9,0.6
1995/3/6,7.4,13.4,2.1
1995/3/7,8.5,14.5,3.9
1995/3/8,8.4,16.1,3.6
1995/3/9,7.8,13.1,1.3
1995/3/10,10.0,13.8,6.9
1995/3/11,6.1,8.8,4.3
1995/3/12,6.1,9.5,3.2
1995/3/13,6.8,10.5,4.9
1995/3/14,6.8,11.0,3.4
1995/3/15,6.4,11.3,-0.1
1995/3/16,14.1,16.7,6.7
1995/3/17,10.6,15.5,6.6
1995/3/18,6.4,9.0,2.9
1995/3/19,5.3,9.8,1.4
1995/3/20,9.0,17.0,0.6
1995/3/21,14.0,20.9,9.1
1995/3/22,10.4,12.4,9.4
1995/3/23,10.6,14.0,7.1
1995/3/24,10.6,12.6,7.7
1995/3/25,7.6,10.9,5.8
1995/3/26,7.1,11.1,4.0
1995/3/27,9.7,16.6,3.1
1995/3/28,7.4,10.2,4.5
1995/3/29,11.0,17.7,3.8
1995/3/30,10.9,12.2,9.3
1995/3/31,12.1,14.9,9.4
1995/4/1,8.4,12.2,2.8
1995/4/2,5.9,10.5,2.5
1995/4/3,6.4,12.1,1.5
1995/4/4,9.5,16.3,1.9
1995/4/5,11.4,16.6,4.8
1995/4/6,13.8,20.8,7.0
1995/4/7,12.7,17.9,6.9
1995/4/8,15.3,24.4,4.1
1995/4/9,14.8,18.3,11.4
1995/4/10,11.0,15.4,7.0
1995/4/11,10.1,13.0,5.7
1995/4/12,10.1,12.9,6.1
1995/4/13,11.7,18.5,4.3
1995/4/14,11.7,14.2,9.1
1995/4/15,12.3,14.4,9.2
1995/4/16,12.9,17.0,7.9
1995/4/17,12.9,16.4,10.3
1995/4/18,14.5,21.3,8.9
1995/4/19,11.3,15.1,4.5
1995/4/20,8.9,15.5,1.3
1995/4/21,16.0,25.0,3.8
1995/4/22,20.3,24.9,14.0
1995/4/23,17.3,24.9,11.4
1995/4/24,14.2,18.7,8.8
1995/4/25,14.6,17.8,10.9
1995/4/26,14.3,17.7,8.2
1995/4/27,13.6,18.0,6.2
1995/4/28,16.9,21.6,12.8
1995/4/29,18.2,26.1,13.5
1995/4/30,17.4,20.3,15.6
1995/5/1,19.2,22.2,16.1
