ダウンロードした時刻：2017/07/24 15:43:46

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,10.1,11.7,8.6
2004/1/2,9.7,11.2,7.9
2004/1/3,8.8,10.8,5.5
2004/1/4,7.8,12.7,3.5
2004/1/5,7.7,13.3,4.1
2004/1/6,6.9,13.0,2.2
2004/1/7,8.9,12.2,4.3
2004/1/8,4.9,8.7,0.4
2004/1/9,5.5,11.9,0.0
2004/1/10,9.0,10.8,4.1
2004/1/11,5.5,8.2,3.1
2004/1/12,6.8,11.3,2.0
2004/1/13,5.4,8.9,2.8
2004/1/14,4.8,7.3,2.5
2004/1/15,6.8,9.7,3.8
2004/1/16,4.4,7.6,2.5
2004/1/17,5.5,11.5,1.9
2004/1/18,6.2,12.2,0.2
2004/1/19,6.6,8.9,5.1
2004/1/20,5.5,7.2,3.3
2004/1/21,1.3,4.1,-2.9
2004/1/22,-1.7,2.8,-4.5
2004/1/23,2.8,4.7,0.6
2004/1/24,3.7,5.2,2.3
2004/1/25,2.9,3.9,0.6
2004/1/26,3.2,5.8,1.9
2004/1/27,3.9,6.9,1.9
2004/1/28,6.0,9.8,0.1
2004/1/29,7.7,10.3,5.3
2004/1/30,7.6,12.3,3.2
2004/1/31,6.6,12.5,2.4
2004/2/1,7.7,14.1,0.8
2004/2/2,8.7,11.1,7.3
2004/2/3,4.7,8.0,2.7
2004/2/4,3.6,4.7,2.5
2004/2/5,3.1,6.8,0.9
2004/2/6,2.8,4.4,0.7
2004/2/7,2.8,4.7,-0.1
2004/2/8,5.8,8.2,3.0
2004/2/9,6.3,10.2,0.2
2004/2/10,5.2,11.4,-0.3
2004/2/11,9.3,12.6,3.8
2004/2/12,8.9,12.5,2.7
2004/2/13,7.4,12.9,1.1
2004/2/14,10.7,15.8,7.1
2004/2/15,8.0,10.9,6.0
2004/2/16,6.6,11.0,2.2
2004/2/17,9.3,14.2,1.8
2004/2/18,7.4,14.0,2.1
2004/2/19,9.1,17.1,2.6
2004/2/20,8.8,16.9,2.3
2004/2/21,14.2,22.5,5.5
2004/2/22,16.5,23.0,10.3
2004/2/23,7.0,10.8,4.1
2004/2/24,9.1,12.9,2.6
2004/2/25,12.5,15.7,9.8
2004/2/26,9.0,13.4,6.7
2004/2/27,7.6,10.3,5.9
2004/2/28,10.1,15.2,2.9
2004/2/29,12.0,16.1,5.6
2004/3/1,6.6,9.4,3.9
2004/3/2,5.5,8.8,1.0
2004/3/3,4.3,7.8,0.4
2004/3/4,2.9,5.4,-0.8
2004/3/5,6.9,12.2,-0.7
2004/3/6,3.9,8.0,0.7
2004/3/7,3.0,4.6,0.1
2004/3/8,6.6,9.2,4.5
2004/3/9,9.6,14.1,5.2
2004/3/10,14.2,21.0,3.2
2004/3/11,13.0,18.8,6.6
2004/3/12,8.5,14.7,2.7
2004/3/13,7.8,15.8,1.3
2004/3/14,9.5,17.0,2.9
2004/3/15,9.3,15.6,3.9
2004/3/16,12.7,19.8,4.5
2004/3/17,17.3,23.0,9.9
2004/3/18,9.0,13.9,5.1
2004/3/19,7.3,12.2,2.0
2004/3/20,8.5,14.4,4.7
2004/3/21,8.2,13.7,2.1
2004/3/22,6.0,9.6,3.5
2004/3/23,8.4,14.6,2.1
2004/3/24,10.7,16.0,5.6
2004/3/25,9.3,13.2,5.4
2004/3/26,9.1,15.9,4.1
2004/3/27,8.2,14.3,0.8
2004/3/28,11.0,19.3,3.1
2004/3/29,14.8,22.9,5.9
2004/3/30,15.7,19.2,11.7
2004/3/31,11.4,15.3,5.5
2004/4/1,11.1,16.8,5.0
2004/4/2,13.1,14.7,8.8
2004/4/3,11.1,14.3,7.1
2004/4/4,8.7,14.7,4.7
2004/4/5,10.3,15.7,2.7
2004/4/6,13.1,18.0,5.7
2004/4/7,14.4,19.6,9.0
2004/4/8,10.4,16.6,5.8
2004/4/9,12.1,17.4,4.8
2004/4/10,13.8,19.6,7.3
2004/4/11,15.1,20.5,10.8
2004/4/12,15.4,21.7,9.1
2004/4/13,14.1,18.9,10.0
2004/4/14,13.6,17.5,8.8
2004/4/15,12.9,19.6,6.0
2004/4/16,17.5,22.1,9.7
2004/4/17,17.8,21.7,13.0
2004/4/18,18.3,27.2,10.4
2004/4/19,18.5,27.8,14.9
2004/4/20,15.9,18.6,12.6
2004/4/21,17.3,23.2,10.8
2004/4/22,22.3,25.8,16.4
2004/4/23,13.6,17.7,8.1
2004/4/24,10.8,16.2,5.9
2004/4/25,13.9,17.7,6.9
2004/4/26,15.7,21.1,8.5
2004/4/27,14.4,21.5,9.6
2004/4/28,13.4,17.8,9.3
2004/4/29,15.2,20.9,7.1
2004/4/30,16.8,21.2,11.1
2004/5/1,16.9,20.8,14.0
