ダウンロードした時刻：2017/07/24 15:38:53

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,3.1,6.1,1.1
1996/1/2,2.3,6.5,-1.5
1996/1/3,5.5,13.0,-0.6
1996/1/4,2.0,3.5,0.7
1996/1/5,5.0,8.1,2.2
1996/1/6,5.6,8.2,3.8
1996/1/7,5.2,9.8,1.3
1996/1/8,7.2,14.8,-1.1
1996/1/9,0.1,2.1,-2.1
1996/1/10,3.1,5.7,-0.3
1996/1/11,5.1,6.2,2.8
1996/1/12,4.5,8.5,1.3
1996/1/13,3.8,8.5,-0.4
1996/1/14,9.2,16.2,0.4
1996/1/15,10.3,16.2,7.4
1996/1/16,6.1,8.9,2.7
1996/1/17,3.9,6.6,1.2
1996/1/18,3.6,6.4,1.6
1996/1/19,3.5,7.1,0.5
1996/1/20,5.8,7.8,2.6
1996/1/21,4.8,7.7,2.0
1996/1/22,6.4,9.5,3.3
1996/1/23,4.1,6.9,0.8
1996/1/24,0.7,4.2,-0.9
1996/1/25,1.2,4.5,-1.5
1996/1/26,0.7,2.8,-1.0
1996/1/27,1.7,5.4,-1.2
1996/1/28,3.1,5.9,0.1
1996/1/29,4.0,6.7,0.9
1996/1/30,1.8,4.8,-0.7
1996/1/31,0.4,2.9,-1.6
1996/2/1,0.7,2.4,-0.7
1996/2/2,-1.8,0.9,-4.2
1996/2/3,1.4,3.3,-0.8
1996/2/4,1.9,4.2,-0.9
1996/2/5,3.9,9.4,0.2
1996/2/6,1.4,2.7,-0.7
1996/2/7,1.6,3.7,-0.3
1996/2/8,4.6,8.5,1.4
1996/2/9,2.1,6.0,-0.9
1996/2/10,0.0,1.9,-1.8
1996/2/11,3.3,6.1,-0.5
1996/2/12,10.0,13.1,4.4
1996/2/13,13.5,16.4,10.1
1996/2/14,13.9,19.0,8.2
1996/2/15,5.9,9.6,1.6
1996/2/16,0.9,3.2,-0.3
1996/2/17,1.8,4.2,-1.2
1996/2/18,1.3,3.9,-1.3
1996/2/19,-0.4,2.4,-1.9
1996/2/20,0.4,4.5,-2.9
1996/2/21,-0.7,1.7,-2.0
1996/2/22,0.8,4.4,-2.7
1996/2/23,1.6,5.8,-0.8
1996/2/24,1.7,4.7,0.2
1996/2/25,2.8,8.0,-1.5
1996/2/26,4.8,8.1,2.2
1996/2/27,5.7,11.7,1.3
1996/2/28,5.2,8.8,2.8
1996/2/29,8.0,12.5,1.7
1996/3/1,7.0,10.8,4.0
1996/3/2,2.1,4.8,0.3
1996/3/3,3.1,6.3,0.4
1996/3/4,4.1,9.3,0.6
1996/3/5,0.8,3.4,-1.2
1996/3/6,2.8,6.8,-0.3
1996/3/7,3.7,7.8,0.2
1996/3/8,7.8,13.2,3.8
1996/3/9,4.3,6.5,1.0
1996/3/10,4.0,8.3,0.7
1996/3/11,4.8,10.1,0.3
1996/3/12,2.2,4.8,-0.6
1996/3/13,4.7,10.1,-1.2
1996/3/14,8.8,14.2,2.7
1996/3/15,6.2,9.6,2.9
1996/3/16,7.0,11.2,2.3
1996/3/17,11.6,19.1,7.0
1996/3/18,5.7,9.3,2.4
1996/3/19,3.6,8.0,1.6
1996/3/20,5.2,10.5,1.2
1996/3/21,9.0,16.7,3.5
1996/3/22,8.4,12.3,6.1
1996/3/23,4.4,6.9,2.1
1996/3/24,6.3,12.0,0.8
1996/3/25,7.5,9.1,5.5
1996/3/26,8.1,11.6,4.3
1996/3/27,8.2,11.9,4.5
1996/3/28,7.4,12.4,2.8
1996/3/29,9.7,15.7,4.9
1996/3/30,15.6,24.7,9.2
1996/3/31,10.9,12.8,9.0
1996/4/1,6.9,9.7,3.9
1996/4/2,3.8,7.1,1.2
1996/4/3,3.1,7.0,0.5
1996/4/4,3.8,7.4,1.7
1996/4/5,7.3,12.1,2.5
1996/4/6,10.8,14.6,6.2
1996/4/7,10.1,13.3,7.6
1996/4/8,9.6,14.3,6.1
1996/4/9,9.4,13.2,5.2
1996/4/10,8.1,11.9,4.0
1996/4/11,4.9,9.0,0.8
1996/4/12,4.2,8.1,0.6
1996/4/13,7.4,11.5,2.6
1996/4/14,11.1,15.2,6.1
1996/4/15,11.6,15.6,6.1
1996/4/16,10.3,11.3,9.2
1996/4/17,13.4,19.0,9.2
1996/4/18,12.7,18.4,9.3
1996/4/19,8.8,11.3,7.0
1996/4/20,7.1,10.0,4.6
1996/4/21,6.6,10.2,3.1
1996/4/22,9.9,15.7,2.6
1996/4/23,14.2,19.6,7.1
1996/4/24,15.6,20.6,8.8
1996/4/25,15.5,21.2,10.1
1996/4/26,15.6,20.2,11.2
1996/4/27,17.1,20.9,13.8
1996/4/28,14.3,17.3,11.9
1996/4/29,18.5,25.3,10.3
1996/4/30,19.1,22.8,16.2
1996/5/1,17.3,20.4,15.5
