ダウンロードした時刻：2019/10/10 15:39:23

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/12/1,4.4,9.4,1.4
2009/12/2,5.2,11.2,0.6
2009/12/3,5.3,6.5,3.7
2009/12/4,6.0,10.3,1.5
2009/12/5,4.8,9.7,-0.1
2009/12/6,7.7,13.2,3.5
2009/12/7,4.1,6.4,2.8
2009/12/8,4.1,9.0,0.2
2009/12/9,4.5,10.6,-1.3
2009/12/10,4.0,9.2,-0.2
2009/12/11,4.2,6.8,1.1
2009/12/12,8.2,13.6,4.7
2009/12/13,5.7,8.0,2.5
2009/12/14,1.8,4.7,0.0
2009/12/15,1.1,6.0,-1.4
2009/12/16,0.5,2.9,-2.8
2009/12/17,-0.7,2.9,-2.8
2009/12/18,-2.5,-1.6,-3.3
2009/12/19,-1.2,0.8,-4.6
2009/12/20,0.6,2.7,-1.2
2009/12/21,-1.9,0.2,-3.5
2009/12/22,1.5,5.2,-3.4
2009/12/23,2.6,5.4,0.6
2009/12/24,3.8,7.3,0.2
2009/12/25,3.2,7.6,-1.7
2009/12/26,2.2,7.2,-2.2
2009/12/27,3.7,6.8,-0.5
2009/12/28,2.0,7.3,-0.8
2009/12/29,1.5,4.7,-1.9
2009/12/30,1.6,7.1,-3.7
2009/12/31,0.4,4.9,-3.8
2010/1/1,-3.0,-1.5,-5.2
2010/1/2,-0.7,1.1,-3.0
2010/1/3,-0.3,1.0,-1.9
2010/1/4,1.0,4.1,-2.2
2010/1/5,2.2,6.6,-2.7
2010/1/6,1.1,3.5,0.0
2010/1/7,0.6,2.6,-0.5
2010/1/8,1.4,4.3,-0.4
2010/1/9,1.6,3.3,0.3
2010/1/10,1.6,4.4,0.2
2010/1/11,1.9,6.1,-1.4
2010/1/12,1.7,3.7,0.3
2010/1/13,-0.2,3.1,-2.9
2010/1/14,-3.8,-2.3,-6.9
2010/1/15,-2.6,1.0,-6.8
2010/1/16,-3.1,-1.2,-5.3
2010/1/17,-2.4,0.5,-5.8
2010/1/18,-0.9,4.5,-6.6
2010/1/19,2.9,7.9,-0.9
2010/1/20,5.5,12.3,-2.9
2010/1/21,2.9,12.3,-2.3
2010/1/22,-1.4,1.5,-4.8
2010/1/23,-0.4,2.0,-2.9
2010/1/24,1.4,6.7,-3.2
2010/1/25,3.8,8.6,-0.8
2010/1/26,-0.3,3.2,-2.4
2010/1/27,2.9,8.9,-2.5
2010/1/28,3.0,8.9,-1.4
2010/1/29,1.9,4.3,0.0
2010/1/30,2.2,4.9,0.5
2010/1/31,3.5,8.3,0.4
2010/2/1,1.7,4.7,-2.3
2010/2/2,-1.3,2.2,-4.8
2010/2/3,-4.2,-1.7,-5.2
2010/2/4,-3.7,-1.3,-5.3
2010/2/5,-3.9,1.2,-7.2
2010/2/6,-5.8,-3.8,-8.0
2010/2/7,-1.3,2.7,-5.9
2010/2/8,1.6,6.7,-3.8
2010/2/9,2.6,5.5,0.8
2010/2/10,0.3,2.3,-0.8
2010/2/11,-0.4,2.8,-1.7
2010/2/12,-1.8,0.3,-4.7
2010/2/13,-2.3,0.3,-4.3
2010/2/14,-0.7,4.3,-4.6
2010/2/15,0.1,2.4,-2.9
2010/2/16,-0.6,2.8,-3.6
2010/2/17,-1.9,1.3,-4.3
2010/2/18,-0.2,6.5,-5.2
2010/2/19,0.4,3.2,-1.4
2010/2/20,-0.2,4.2,-2.3
2010/2/21,-0.3,3.8,-3.7
2010/2/22,1.0,7.9,-6.0
2010/2/23,4.6,11.5,-0.5
2010/2/24,4.2,12.8,-2.9
2010/2/25,6.6,16.1,-0.9
2010/2/26,5.5,8.4,3.1
2010/2/27,5.5,11.4,0.6
2010/2/28,1.9,4.4,-1.1
2010/3/1,2.0,6.1,0.0
2010/3/2,0.9,2.7,-0.7
2010/3/3,1.9,6.9,-0.2
2010/3/4,3.2,7.7,-1.4
2010/3/5,8.2,17.0,1.9
2010/3/6,5.6,6.6,4.5
2010/3/7,3.1,5.3,1.4
2010/3/8,1.6,5.4,-1.8
2010/3/9,-1.5,1.3,-4.0
2010/3/10,0.9,3.0,-2.3
2010/3/11,3.5,6.8,1.4
2010/3/12,4.8,13.5,-2.8
2010/3/13,4.9,12.3,1.2
2010/3/14,3.6,9.1,-0.9
2010/3/15,5.8,13.6,-2.6
2010/3/16,7.4,11.7,2.0
2010/3/17,1.2,5.0,-0.6
2010/3/18,1.7,5.5,-0.5
2010/3/19,4.9,11.0,-0.5
2010/3/20,8.6,20.1,2.1
2010/3/21,5.8,12.6,-0.8
2010/3/22,3.5,7.6,-1.1
2010/3/23,6.8,10.7,2.7
2010/3/24,5.4,8.4,2.7
2010/3/25,1.1,4.2,0.2
2010/3/26,1.9,6.0,-0.3
2010/3/27,1.1,8.2,-2.7
2010/3/28,0.5,4.5,-3.1
2010/3/29,0.1,5.7,-2.9
2010/3/30,1.0,6.6,-4.0
2010/3/31,4.5,11.0,-2.9
