ダウンロードした時刻：2017/07/24 15:37:29

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/1/1,-1.7,3.3,-6.1
1999/1/2,-1.3,3.0,-5.3
1999/1/3,-0.7,4.4,-4.8
1999/1/4,-1.9,3.2,-6.9
1999/1/5,1.2,6.6,-6.5
1999/1/6,3.3,7.9,-0.1
1999/1/7,0.2,2.6,-1.6
1999/1/8,-3.9,-1.2,-7.2
1999/1/9,-4.6,-1.9,-9.6
1999/1/10,-0.8,2.0,-2.8
1999/1/11,0.2,4.3,-3.2
1999/1/12,1.8,6.3,-1.9
1999/1/13,2.3,7.0,-1.1
1999/1/14,0.7,4.5,-2.4
1999/1/15,0.1,5.0,-4.2
1999/1/16,1.2,7.0,-3.0
1999/1/17,0.2,4.4,-3.0
1999/1/18,1.0,7.5,-2.8
1999/1/19,4.4,10.7,-1.9
1999/1/20,4.9,9.0,0.0
1999/1/21,-0.1,3.7,-2.8
1999/1/22,0.7,5.7,-4.6
1999/1/23,2.7,10.0,-2.0
1999/1/24,-0.2,4.5,-4.4
1999/1/25,3.2,8.7,-1.8
1999/1/26,3.9,8.8,-1.0
1999/1/27,3.0,8.7,-1.3
1999/1/28,3.2,10.0,-2.1
1999/1/29,-2.1,2.7,-5.1
1999/1/30,-3.2,1.3,-7.0
1999/1/31,-0.4,5.1,-5.8
1999/2/1,0.5,5.2,-4.3
1999/2/2,-1.0,4.2,-4.8
1999/2/3,-2.4,3.0,-5.7
1999/2/4,-1.2,5.0,-7.6
1999/2/5,0.7,5.8,-5.7
1999/2/6,-0.2,3.2,-3.2
1999/2/7,2.1,5.5,-1.9
1999/2/8,1.2,8.1,-3.2
1999/2/9,0.4,5.1,-5.5
1999/2/10,1.1,5.2,-3.0
1999/2/11,-0.3,3.4,-3.6
1999/2/12,-1.4,4.0,-5.3
1999/2/13,-2.3,2.6,-5.6
1999/2/14,-3.1,2.3,-8.2
1999/2/15,-1.0,4.4,-8.2
1999/2/16,3.5,11.8,-4.2
1999/2/17,6.8,14.0,-1.3
1999/2/18,7.6,11.4,2.3
1999/2/19,-0.1,3.3,-3.1
1999/2/20,-1.6,3.5,-6.2
1999/2/21,-0.9,3.5,-4.3
1999/2/22,0.8,5.8,-5.6
1999/2/23,1.0,8.2,-3.7
1999/2/24,0.9,4.7,-4.4
1999/2/25,3.2,5.7,-0.1
1999/2/26,5.1,10.6,0.1
1999/2/27,4.7,13.5,-2.6
1999/2/28,0.3,3.5,-3.5
1999/3/1,4.3,9.5,-0.5
1999/3/2,5.7,11.0,0.9
1999/3/3,4.4,9.7,-2.3
1999/3/4,4.4,8.8,-0.2
1999/3/5,5.2,10.1,-0.8
1999/3/6,2.1,6.7,-2.4
1999/3/7,0.4,3.5,-2.4
1999/3/8,0.9,3.3,-0.1
1999/3/9,0.3,3.1,-2.2
1999/3/10,2.0,7.6,-2.4
1999/3/11,1.1,3.5,-2.3
1999/3/12,-0.4,4.0,-4.1
1999/3/13,1.9,7.6,-5.9
1999/3/14,9.9,18.0,0.8
1999/3/15,5.9,9.7,1.1
1999/3/16,3.7,9.0,0.7
1999/3/17,6.1,11.7,1.7
1999/3/18,11.6,20.3,3.4
1999/3/19,5.2,11.5,0.2
1999/3/20,-0.2,1.1,-3.0
1999/3/21,-0.6,2.5,-5.0
1999/3/22,1.8,5.4,0.0
1999/3/23,1.6,5.4,-1.5
1999/3/24,4.9,12.5,-2.3
1999/3/25,4.7,9.0,1.0
1999/3/26,7.8,12.5,2.8
1999/3/27,5.6,8.4,2.3
1999/3/28,1.3,6.9,-1.9
1999/3/29,-0.2,5.7,-3.5
1999/3/30,0.9,7.3,-4.5
1999/3/31,2.7,8.8,-2.8
1999/4/1,9.4,18.4,-0.1
1999/4/2,8.0,14.9,2.6
1999/4/3,2.0,6.7,-0.8
1999/4/4,5.4,9.5,-0.1
1999/4/5,7.2,16.3,1.1
1999/4/6,3.3,7.1,0.7
1999/4/7,1.7,3.6,0.1
1999/4/8,2.6,6.9,-1.2
1999/4/9,6.9,14.3,-0.9
1999/4/10,9.0,16.9,1.8
1999/4/11,10.9,15.9,7.8
1999/4/12,11.4,14.4,9.8
1999/4/13,13.4,20.0,9.5
1999/4/14,11.8,16.6,8.1
1999/4/15,8.9,14.4,3.3
1999/4/16,10.6,18.6,1.8
1999/4/17,10.8,18.2,5.2
1999/4/18,11.3,17.6,3.3
1999/4/19,13.4,16.6,10.3
1999/4/20,11.2,17.2,7.8
1999/4/21,7.8,12.5,2.4
1999/4/22,8.0,14.1,1.5
1999/4/23,11.3,15.5,6.5
1999/4/24,12.6,16.9,9.9
1999/4/25,11.3,12.1,9.3
1999/4/26,10.7,16.4,9.1
1999/4/27,9.9,12.3,8.3
1999/4/28,7.6,9.7,5.5
1999/4/29,4.8,7.4,1.7
1999/4/30,9.2,16.7,0.6
1999/5/1,15.0,23.8,4.5
