ダウンロードした時刻：2017/07/24 15:46:47

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,6.9,11.6,3.0
1995/1/2,6.3,12.4,2.0
1995/1/3,7.1,9.3,3.9
1995/1/4,8.8,10.7,6.7
1995/1/5,5.8,7.9,4.5
1995/1/6,5.6,8.7,3.3
1995/1/7,6.3,10.3,2.7
1995/1/8,8.0,14.2,2.4
1995/1/9,10.2,17.3,5.3
1995/1/10,6.1,9.5,3.6
1995/1/11,5.1,8.9,3.0
1995/1/12,4.5,8.6,0.7
1995/1/13,4.0,8.4,2.0
1995/1/14,3.3,7.1,-0.3
1995/1/15,2.6,9.1,-2.0
1995/1/16,4.5,10.6,-0.1
1995/1/17,4.5,10.2,0.2
1995/1/18,5.3,11.9,-0.7
1995/1/19,7.1,10.1,2.3
1995/1/20,7.1,13.0,2.6
1995/1/21,6.3,11.3,1.0
1995/1/22,11.4,15.5,7.7
1995/1/23,10.4,12.2,6.9
1995/1/24,5.4,7.5,3.5
1995/1/25,4.7,9.7,0.8
1995/1/26,4.7,10.6,0.5
1995/1/27,3.1,8.0,-0.5
1995/1/28,2.9,7.9,-0.8
1995/1/29,3.1,6.9,-0.3
1995/1/30,2.3,5.3,-1.8
1995/1/31,1.0,7.2,-3.3
1995/2/1,1.4,5.3,-2.1
1995/2/2,3.2,8.3,-0.2
1995/2/3,4.9,11.2,-1.0
1995/2/4,5.0,10.6,1.0
1995/2/5,3.0,7.1,-0.4
1995/2/6,3.1,9.5,-1.9
1995/2/7,5.6,12.9,-1.2
1995/2/8,8.8,14.4,3.1
1995/2/9,8.6,11.7,6.7
1995/2/10,7.2,11.0,4.1
1995/2/11,6.9,14.1,-0.5
1995/2/12,7.9,10.3,5.6
1995/2/13,10.8,15.0,7.9
1995/2/14,8.0,13.5,3.6
1995/2/15,6.1,11.9,1.3
1995/2/16,6.0,9.6,2.9
1995/2/17,5.3,11.9,-0.5
1995/2/18,5.6,11.3,0.9
1995/2/19,7.9,14.3,4.1
1995/2/20,6.6,12.7,1.0
1995/2/21,6.4,9.5,4.6
1995/2/22,6.3,11.9,0.9
1995/2/23,7.7,15.7,0.7
1995/2/24,9.1,15.7,4.0
1995/2/25,9.3,14.7,6.0
1995/2/26,8.0,12.2,5.4
1995/2/27,6.8,12.5,2.4
1995/2/28,5.3,9.6,1.7
1995/3/1,8.3,13.4,4.6
1995/3/2,8.1,14.0,2.4
1995/3/3,6.4,8.5,3.7
1995/3/4,3.7,8.5,0.5
1995/3/5,4.5,10.8,0.4
1995/3/6,7.4,14.4,0.7
1995/3/7,9.8,16.7,4.0
1995/3/8,10.0,18.0,3.0
1995/3/9,9.2,12.3,5.0
1995/3/10,11.4,13.3,8.8
1995/3/11,10.5,16.1,7.2
1995/3/12,8.1,12.1,5.0
1995/3/13,8.7,15.2,3.3
1995/3/14,9.2,15.9,3.3
1995/3/15,10.2,15.7,3.2
1995/3/16,13.0,16.7,10.1
1995/3/17,9.7,13.6,4.6
1995/3/18,6.3,11.8,1.8
1995/3/19,6.5,12.6,1.8
1995/3/20,8.6,16.0,1.4
1995/3/21,12.0,18.7,5.3
1995/3/22,15.1,22.6,8.3
1995/3/23,16.3,22.8,9.7
1995/3/24,14.7,18.7,12.8
1995/3/25,11.6,13.4,8.9
1995/3/26,9.6,15.1,4.6
1995/3/27,9.8,16.6,3.0
1995/3/28,11.6,16.2,8.2
1995/3/29,10.6,12.8,8.7
1995/3/30,12.5,14.2,10.4
1995/3/31,13.8,19.4,9.5
1995/4/1,10.3,15.5,5.8
1995/4/2,8.9,15.0,4.7
1995/4/3,8.0,14.8,3.0
1995/4/4,9.4,17.4,1.0
1995/4/5,13.3,19.0,7.8
1995/4/6,12.9,14.6,10.9
1995/4/7,14.4,21.1,9.6
1995/4/8,14.7,21.5,6.7
1995/4/9,14.7,15.7,13.7
1995/4/10,14.6,20.0,10.5
1995/4/11,14.0,19.2,9.6
1995/4/12,12.0,16.8,7.5
1995/4/13,12.2,18.7,4.4
1995/4/14,13.6,16.3,11.1
1995/4/15,15.7,19.1,12.1
1995/4/16,16.9,21.1,14.1
1995/4/17,18.1,25.2,11.9
1995/4/18,16.7,18.4,15.3
1995/4/19,14.0,18.3,8.4
1995/4/20,12.8,20.3,5.8
1995/4/21,15.3,22.6,8.1
1995/4/22,19.1,22.3,15.7
1995/4/23,17.6,22.3,11.8
1995/4/24,13.3,18.0,9.0
1995/4/25,15.4,19.5,12.5
1995/4/26,15.6,21.0,11.3
1995/4/27,14.0,18.2,7.6
1995/4/28,17.7,23.5,12.8
1995/4/29,16.2,17.0,15.4
1995/4/30,17.6,20.3,15.4
1995/5/1,18.8,19.8,17.5
