ダウンロードした時刻：2017/07/24 15:36:25

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,2.8,5.5,1.4
2009/1/2,2.5,5.2,0.5
2009/1/3,2.0,4.5,0.5
2009/1/4,-0.2,1.5,-2.2
2009/1/5,-2.4,-0.9,-3.4
2009/1/6,-2.8,-0.4,-4.6
2009/1/7,-1.8,0.9,-3.5
2009/1/8,-0.7,2.1,-2.9
2009/1/9,1.4,3.7,-1.5
2009/1/10,0.5,3.2,-1.1
2009/1/11,-2.3,-0.9,-3.1
2009/1/12,0.0,2.8,-4.1
2009/1/13,0.4,2.0,-1.0
2009/1/14,1.5,3.6,-0.1
2009/1/15,-3.7,0.2,-5.1
2009/1/16,-2.3,-0.5,-4.1
2009/1/17,-1.4,0.6,-3.6
2009/1/18,1.1,4.0,-0.9
2009/1/19,3.5,5.9,0.6
2009/1/20,1.1,3.0,-0.2
2009/1/21,0.2,2.5,-1.6
2009/1/22,2.1,4.7,-1.5
2009/1/23,4.6,7.7,-2.1
2009/1/24,-5.2,-1.4,-6.8
2009/1/25,-3.0,-1.0,-5.4
2009/1/26,-1.4,2.1,-5.8
2009/1/27,-3.0,-0.9,-4.8
2009/1/28,-0.6,1.8,-3.5
2009/1/29,3.1,5.9,1.0
2009/1/30,1.4,4.3,-0.9
2009/1/31,-0.5,1.3,-2.8
2009/2/1,-3.1,-0.3,-4.5
2009/2/2,-2.1,1.0,-4.6
2009/2/3,-1.9,0.6,-3.7
2009/2/4,-0.3,2.1,-2.0
2009/2/5,0.5,2.9,-1.9
2009/2/6,-1.7,0.7,-4.1
2009/2/7,-1.0,2.4,-5.2
2009/2/8,-1.2,2.0,-3.4
2009/2/9,0.7,3.8,-3.1
2009/2/10,0.3,3.7,-2.6
2009/2/11,0.3,3.0,-4.2
2009/2/12,2.1,4.2,-1.1
2009/2/13,2.0,4.8,-0.9
2009/2/14,3.9,6.4,1.6
2009/2/15,-0.4,3.0,-5.0
2009/2/16,-5.5,-3.5,-6.9
2009/2/17,-3.2,-1.2,-5.2
2009/2/18,-4.4,-2.5,-6.4
2009/2/19,-4.6,-2.6,-7.0
2009/2/20,-0.7,2.2,-4.5
2009/2/21,-2.2,0.3,-4.5
2009/2/22,-1.3,2.8,-4.1
2009/2/23,-3.8,-1.2,-6.8
2009/2/24,-0.5,2.6,-3.9
2009/2/25,0.8,2.8,-2.0
2009/2/26,-1.5,-0.1,-2.7
2009/2/27,1.1,5.9,-1.8
2009/2/28,-1.6,0.6,-3.0
2009/3/1,-0.1,2.7,-2.4
2009/3/2,-2.2,0.5,-4.2
2009/3/3,-1.7,1.7,-5.3
2009/3/4,1.4,5.6,-2.9
2009/3/5,2.1,5.3,-0.2
2009/3/6,3.2,5.6,0.3
2009/3/7,0.2,3.7,-1.6
2009/3/8,1.1,3.5,-1.1
2009/3/9,3.2,7.2,-0.7
2009/3/10,2.1,6.3,-3.8
2009/3/11,-3.0,-1.4,-4.8
2009/3/12,1.0,4.1,-1.6
2009/3/13,2.4,5.0,-1.0
2009/3/14,3.2,7.0,0.1
2009/3/15,1.3,3.5,-0.9
2009/3/16,4.3,8.0,1.4
2009/3/17,4.9,9.1,2.0
2009/3/18,4.9,6.4,2.5
2009/3/19,6.6,10.6,3.5
2009/3/20,2.4,6.3,-1.0
2009/3/21,1.6,4.9,-1.9
2009/3/22,4.2,6.2,1.4
2009/3/23,1.0,5.8,-2.9
2009/3/24,-0.8,2.2,-2.4
2009/3/25,-0.4,3.8,-3.4
2009/3/26,1.0,5.3,-1.4
2009/3/27,0.5,3.5,-1.4
2009/3/28,1.1,5.2,-2.1
2009/3/29,3.3,7.5,-0.3
2009/3/30,2.6,5.5,1.2
2009/3/31,2.8,6.8,0.2
2009/4/1,2.7,7.2,-1.2
2009/4/2,4.1,8.1,0.1
2009/4/3,6.9,13.1,2.9
2009/4/4,5.4,10.2,1.8
2009/4/5,6.6,10.3,4.5
2009/4/6,7.2,10.7,3.5
2009/4/7,4.9,9.8,1.0
2009/4/8,6.0,10.2,-0.1
2009/4/9,8.0,15.0,4.3
2009/4/10,11.8,14.7,6.6
2009/4/11,6.3,10.6,3.3
2009/4/12,6.1,10.1,2.7
2009/4/13,8.4,13.8,3.8
2009/4/14,8.1,11.9,4.3
2009/4/15,6.0,9.8,3.3
2009/4/16,5.0,8.3,2.4
2009/4/17,5.7,10.2,2.2
2009/4/18,5.8,8.5,3.3
2009/4/19,8.1,12.2,4.9
2009/4/20,7.5,12.7,3.8
2009/4/21,5.9,7.2,4.5
2009/4/22,9.1,13.8,7.0
2009/4/23,5.6,8.7,3.3
2009/4/24,5.8,11.2,2.2
2009/4/25,5.4,8.7,3.4
2009/4/26,2.5,4.7,0.1
2009/4/27,5.7,9.7,2.8
2009/4/28,7.4,12.2,4.0
2009/4/29,8.7,13.5,2.7
2009/4/30,12.3,16.8,8.6
2009/5/1,11.9,16.0,7.0
