ダウンロードした時刻：2017/07/24 15:37:48

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,2.2,6.2,-0.9
2007/1/2,0.3,4.9,-3.5
2007/1/3,1.4,5.6,-2.2
2007/1/4,1.8,5.2,-0.9
2007/1/5,1.2,7.1,-3.1
2007/1/6,0.4,2.2,-2.0
2007/1/7,3.1,5.2,0.9
2007/1/8,0.8,2.1,0.0
2007/1/9,0.4,2.9,-2.0
2007/1/10,0.3,2.8,-2.4
2007/1/11,0.2,2.8,-2.0
2007/1/12,-0.1,4.5,-3.5
2007/1/13,0.6,3.4,-1.3
2007/1/14,0.5,3.1,-1.6
2007/1/15,1.5,5.0,-1.4
2007/1/16,2.2,8.6,-2.1
2007/1/17,1.8,4.0,0.8
2007/1/18,2.1,4.6,-0.4
2007/1/19,1.3,3.5,-0.3
2007/1/20,2.1,5.7,-0.2
2007/1/21,1.1,6.2,-2.9
2007/1/22,1.8,7.4,-3.2
2007/1/23,2.0,5.5,-0.2
2007/1/24,2.4,6.3,0.3
2007/1/25,1.9,5.9,-0.5
2007/1/26,3.4,8.9,0.1
2007/1/27,3.7,7.4,0.2
2007/1/28,3.5,8.4,-0.6
2007/1/29,2.5,6.2,-0.6
2007/1/30,2.1,9.8,-2.6
2007/1/31,3.2,9.1,-2.3
2007/2/1,1.9,4.5,-1.0
2007/2/2,-0.9,2.0,-3.3
2007/2/3,2.6,5.7,-1.3
2007/2/4,-0.3,2.3,-2.0
2007/2/5,0.0,5.9,-5.2
2007/2/6,4.8,11.6,-1.8
2007/2/7,2.8,7.7,0.3
2007/2/8,3.4,8.6,-1.5
2007/2/9,2.8,7.7,-1.6
2007/2/10,2.8,4.4,0.6
2007/2/11,0.6,2.5,-1.6
2007/2/12,0.3,4.5,-2.5
2007/2/13,0.3,6.4,-4.7
2007/2/14,1.6,9.2,-1.5
2007/2/15,1.1,9.0,-1.5
2007/2/16,1.0,3.7,-1.0
2007/2/17,1.5,6.2,-2.2
2007/2/18,2.3,6.4,-0.1
2007/2/19,2.6,7.4,-1.3
2007/2/20,2.0,8.8,-3.6
2007/2/21,3.0,11.2,-3.6
2007/2/22,4.7,13.7,-2.3
2007/2/23,5.7,10.9,1.9
2007/2/24,-0.3,2.9,-3.5
2007/2/25,-1.0,5.0,-6.6
2007/2/26,0.8,8.1,-5.8
2007/2/27,2.7,10.7,-4.6
2007/2/28,2.7,7.3,0.2
2007/3/1,2.7,8.4,-1.1
2007/3/2,2.9,10.2,-3.0
2007/3/3,5.5,14.0,-2.3
2007/3/4,8.2,12.9,5.0
2007/3/5,8.3,12.4,3.5
2007/3/6,5.4,10.1,-0.5
2007/3/7,-0.5,1.8,-2.5
2007/3/8,0.7,5.8,-2.5
2007/3/9,1.9,6.0,-1.3
2007/3/10,3.5,10.3,-3.3
2007/3/11,2.1,5.4,-1.9
2007/3/12,-1.5,1.4,-2.8
2007/3/13,0.4,4.3,-2.7
2007/3/14,0.8,4.0,-2.2
2007/3/15,1.5,6.1,-1.6
2007/3/16,1.3,7.9,-4.1
2007/3/17,0.1,4.4,-2.2
2007/3/18,0.0,4.5,-2.9
2007/3/19,-0.3,2.7,-2.1
2007/3/20,1.9,7.0,-1.2
2007/3/21,3.3,7.7,-0.1
2007/3/22,3.4,9.8,-2.3
2007/3/23,4.9,9.9,0.5
2007/3/24,6.5,13.4,-0.8
2007/3/25,8.7,10.9,6.8
2007/3/26,7.9,13.6,2.8
2007/3/27,8.6,16.8,0.5
2007/3/28,7.8,12.7,4.3
2007/3/29,6.6,14.6,3.5
2007/3/30,4.6,9.4,1.9
2007/3/31,5.3,12.1,-0.8
2007/4/1,12.4,17.9,5.2
2007/4/2,8.9,14.8,6.1
2007/4/3,5.7,9.8,2.5
2007/4/4,4.2,9.3,0.7
2007/4/5,4.3,9.3,-0.3
2007/4/6,7.0,13.1,1.9
2007/4/7,9.0,17.6,1.3
2007/4/8,9.4,14.9,4.9
2007/4/9,7.9,13.7,3.9
2007/4/10,7.9,15.3,1.9
2007/4/11,7.0,13.7,2.0
2007/4/12,7.4,15.5,-0.3
2007/4/13,8.6,12.6,5.0
2007/4/14,10.6,15.4,6.1
2007/4/15,8.8,12.0,6.3
2007/4/16,6.5,9.8,4.2
2007/4/17,5.9,9.8,3.6
2007/4/18,6.9,12.0,3.2
2007/4/19,8.4,14.7,4.6
2007/4/20,12.3,20.8,3.2
2007/4/21,15.5,18.5,10.9
2007/4/22,12.6,14.2,10.7
2007/4/23,11.2,16.1,6.6
2007/4/24,11.0,18.0,4.4
2007/4/25,10.0,11.7,8.8
2007/4/26,10.2,14.4,6.2
2007/4/27,8.1,14.6,3.4
2007/4/28,8.4,16.3,1.6
2007/4/29,12.9,20.9,2.7
2007/4/30,17.1,26.0,6.4
2007/5/1,14.3,21.8,9.4
