ダウンロードした時刻：2017/07/24 15:42:22

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,8.1,13.6,2.9
1998/1/2,8.5,11.2,5.0
1998/1/3,8.0,11.7,4.2
1998/1/4,6.8,10.0,4.6
1998/1/5,6.6,9.1,5.0
1998/1/6,7.8,13.0,4.8
1998/1/7,6.5,10.7,3.4
1998/1/8,2.0,4.4,0.0
1998/1/9,3.1,6.7,0.2
1998/1/10,5.4,9.7,1.6
1998/1/11,3.8,6.3,1.5
1998/1/12,1.5,2.9,0.7
1998/1/13,4.4,8.2,0.8
1998/1/14,5.3,9.2,1.6
1998/1/15,1.1,5.0,0.0
1998/1/16,4.5,8.1,1.3
1998/1/17,3.8,6.7,0.5
1998/1/18,5.5,9.6,2.9
1998/1/19,7.0,11.0,2.7
1998/1/20,4.9,9.1,0.7
1998/1/21,6.5,12.8,0.8
1998/1/22,5.9,10.6,1.6
1998/1/23,4.8,6.7,2.6
1998/1/24,4.4,8.5,0.1
1998/1/25,3.1,7.6,-1.0
1998/1/26,5.7,11.8,-0.8
1998/1/27,5.1,8.1,2.3
1998/1/28,4.4,8.0,1.5
1998/1/29,4.5,8.5,1.5
1998/1/30,4.5,9.7,1.4
1998/1/31,5.9,14.5,1.0
1998/2/1,5.2,9.3,2.2
1998/2/2,6.4,9.9,3.3
1998/2/3,7.0,11.2,2.1
1998/2/4,5.9,8.2,3.3
1998/2/5,5.0,8.4,3.0
1998/2/6,6.0,10.7,1.4
1998/2/7,5.8,10.4,2.6
1998/2/8,5.7,13.0,2.0
1998/2/9,6.3,12.3,2.2
1998/2/10,4.1,7.7,0.7
1998/2/11,5.8,10.4,1.5
1998/2/12,8.0,16.1,3.3
1998/2/13,12.2,17.9,6.9
1998/2/14,12.9,22.6,7.9
1998/2/15,2.8,8.3,0.6
1998/2/16,5.9,8.8,3.0
1998/2/17,5.5,10.3,2.0
1998/2/18,5.1,9.4,1.1
1998/2/19,8.3,14.1,2.4
1998/2/20,8.5,11.3,7.1
1998/2/21,5.7,8.4,2.7
1998/2/22,4.3,7.6,2.0
1998/2/23,7.8,12.4,3.1
1998/2/24,5.9,7.8,5.0
1998/2/25,5.0,6.1,3.5
1998/2/26,8.2,11.3,5.5
1998/2/27,9.8,13.9,6.5
1998/2/28,10.3,14.3,7.8
1998/3/1,4.1,7.8,1.1
1998/3/2,8.2,13.5,3.2
1998/3/3,9.0,14.1,3.7
1998/3/4,10.6,14.5,6.7
1998/3/5,4.7,9.3,0.6
1998/3/6,6.0,11.4,0.6
1998/3/7,6.8,11.8,3.4
1998/3/8,7.1,11.1,2.7
1998/3/9,9.2,14.0,4.3
1998/3/10,6.8,11.5,4.5
1998/3/11,7.8,11.4,3.1
1998/3/12,9.0,11.6,6.3
1998/3/13,10.6,13.4,8.9
1998/3/14,11.8,17.0,7.8
1998/3/15,8.6,13.7,3.3
1998/3/16,7.0,11.8,2.7
1998/3/17,7.3,12.9,2.7
1998/3/18,7.3,13.2,2.4
1998/3/19,11.2,16.2,4.8
1998/3/20,15.6,18.6,10.8
1998/3/21,9.6,11.0,8.0
1998/3/22,6.5,8.0,5.4
1998/3/23,8.5,13.2,3.7
1998/3/24,9.8,14.3,6.4
1998/3/25,11.1,14.9,8.4
1998/3/26,12.5,16.6,8.2
1998/3/27,13.6,16.6,10.7
1998/3/28,14.7,18.6,12.0
1998/3/29,16.4,21.6,11.1
1998/3/30,18.3,24.0,11.9
1998/3/31,14.1,17.7,10.6
1998/4/1,6.6,10.7,2.6
1998/4/2,4.8,6.5,2.3
1998/4/3,8.9,13.1,5.8
1998/4/4,11.3,16.2,5.8
1998/4/5,14.4,20.1,9.2
1998/4/6,12.7,15.4,11.5
1998/4/7,12.3,14.0,11.4
1998/4/8,14.5,19.4,10.4
1998/4/9,9.7,11.0,8.4
1998/4/10,16.1,22.3,10.3
1998/4/11,18.2,25.1,12.6
1998/4/12,17.0,20.6,13.8
1998/4/13,20.6,22.7,18.2
1998/4/14,20.7,22.1,19.3
1998/4/15,18.9,24.1,13.1
1998/4/16,14.6,19.4,11.4
1998/4/17,12.6,13.9,11.7
1998/4/18,13.7,18.1,11.2
1998/4/19,17.8,22.7,13.6
1998/4/20,20.4,26.7,14.8
1998/4/21,20.8,24.5,16.5
1998/4/22,21.4,25.0,19.4
1998/4/23,21.2,25.0,19.0
1998/4/24,20.8,25.6,18.6
1998/4/25,20.7,22.5,18.0
1998/4/26,14.0,18.5,11.5
1998/4/27,12.4,14.0,10.8
1998/4/28,16.5,19.8,13.7
1998/4/29,20.3,26.9,16.5
1998/4/30,18.4,21.3,16.6
1998/5/1,18.2,21.3,15.6
