ダウンロードした時刻：2017/07/24 15:37:13

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/1/1,-1.6,0.3,-3.3
2013/1/2,1.9,5.4,-2.9
2013/1/3,-3.6,-1.3,-5.8
2013/1/4,-4.0,-1.7,-6.1
2013/1/5,-1.8,-0.5,-3.1
2013/1/6,-0.3,2.0,-2.0
2013/1/7,-1.0,1.3,-2.5
2013/1/8,-2.1,-0.3,-4.7
2013/1/9,-2.7,-0.6,-5.3
2013/1/10,-2.9,0.3,-4.4
2013/1/11,-2.4,-0.3,-4.6
2013/1/12,-1.1,3.5,-4.2
2013/1/13,1.7,5.3,-2.1
2013/1/14,-1.8,-0.5,-2.8
2013/1/15,-1.9,0.6,-3.6
2013/1/16,-2.0,-0.8,-3.2
2013/1/17,-2.7,-0.4,-4.8
2013/1/18,-3.6,-1.6,-5.4
2013/1/19,0.8,2.7,-3.1
2013/1/20,2.1,3.3,0.7
2013/1/21,1.4,4.5,-1.7
2013/1/22,0.2,1.7,-1.9
2013/1/23,-1.4,4.2,-6.5
2013/1/24,0.2,4.8,-4.4
2013/1/25,-1.0,4.2,-5.0
2013/1/26,-2.9,1.5,-5.0
2013/1/27,0.6,3.1,-1.0
2013/1/28,0.0,3.5,-3.2
2013/1/29,0.6,2.2,-1.6
2013/1/30,0.3,3.1,-2.0
2013/1/31,1.8,6.0,-0.3
2013/2/1,3.2,7.5,-0.3
2013/2/2,4.0,9.1,0.6
2013/2/3,-0.1,1.6,-1.7
2013/2/4,1.4,4.9,-1.5
2013/2/5,-0.7,1.4,-2.4
2013/2/6,-0.7,1.5,-2.0
2013/2/7,0.3,4.3,-2.8
2013/2/8,-1.6,0.9,-3.7
2013/2/9,-1.9,0.2,-4.2
2013/2/10,-0.4,1.3,-2.1
2013/2/11,-1.8,-0.5,-3.6
2013/2/12,-1.8,0.9,-4.2
2013/2/13,0.6,4.4,-3.4
2013/2/14,1.2,3.6,-1.3
2013/2/15,1.0,3.2,-2.0
2013/2/16,-2.9,-1.6,-4.6
2013/2/17,-1.6,1.3,-4.2
2013/2/18,0.2,3.5,-2.9
2013/2/19,-0.4,1.7,-3.3
2013/2/20,-3.7,-1.2,-6.2
2013/2/21,-3.5,-1.6,-5.5
2013/2/22,-1.7,1.7,-3.4
2013/2/23,-2.4,0.3,-4.4
2013/2/24,-3.4,-0.7,-5.9
2013/2/25,-2.7,-0.7,-4.5
2013/2/26,-0.6,2.9,-3.7
2013/2/27,1.7,8.5,-4.8
2013/2/28,4.4,7.0,1.7
2013/3/1,4.4,9.8,1.3
2013/3/2,0.7,3.0,-1.1
2013/3/3,0.3,1.8,-1.3
2013/3/4,0.9,4.8,-1.6
2013/3/5,2.3,6.3,-2.7
2013/3/6,5.3,8.5,-0.9
2013/3/7,5.7,12.8,-1.3
2013/3/8,7.4,9.8,4.5
2013/3/9,0.8,4.7,-0.8
2013/3/10,1.3,13.2,-4.4
2013/3/11,-1.4,1.6,-5.7
2013/3/12,4.0,8.1,0.2
2013/3/13,3.1,5.7,0.6
2013/3/14,1.0,3.3,-0.5
2013/3/15,3.8,7.1,-0.9
2013/3/16,3.5,8.4,-0.2
2013/3/17,4.7,8.9,0.2
2013/3/18,7.1,12.2,3.9
2013/3/19,5.7,10.2,1.2
2013/3/20,5.1,11.6,1.3
2013/3/21,0.6,3.5,-2.0
2013/3/22,4.9,8.9,0.7
2013/3/23,2.4,4.3,1.6
2013/3/24,3.3,8.9,0.1
2013/3/25,3.5,7.9,1.0
2013/3/26,2.9,6.0,0.6
2013/3/27,6.3,13.8,-1.6
2013/3/28,8.3,12.4,3.9
2013/3/29,4.7,7.1,3.1
2013/3/30,3.7,7.2,0.3
2013/3/31,2.8,6.6,0.1
2013/4/1,4.0,8.9,-0.6
2013/4/2,9.9,17.0,0.6
2013/4/3,12.1,16.7,7.0
2013/4/4,7.5,11.2,2.4
2013/4/5,7.5,15.1,0.1
2013/4/6,13.2,21.0,5.3
2013/4/7,10.2,13.5,4.1
2013/4/8,5.6,7.0,4.1
2013/4/9,8.9,15.4,2.9
2013/4/10,6.3,10.6,2.9
2013/4/11,4.1,9.1,-0.7
2013/4/12,6.2,10.6,2.3
2013/4/13,7.9,11.5,4.0
2013/4/14,11.1,17.8,2.7
2013/4/15,6.1,10.4,1.8
2013/4/16,8.2,14.2,1.6
2013/4/17,9.7,15.5,6.4
2013/4/18,5.9,8.7,3.8
2013/4/19,5.7,8.7,2.0
2013/4/20,7.3,10.7,3.2
2013/4/21,4.2,5.7,2.0
2013/4/22,8.0,12.3,1.3
2013/4/23,10.5,14.4,5.9
2013/4/24,12.3,19.0,7.6
2013/4/25,11.2,14.6,7.9
2013/4/26,8.9,12.3,6.4
2013/4/27,7.7,9.6,6.7
2013/4/28,8.7,10.8,6.7
2013/4/29,12.0,14.8,9.5
2013/4/30,11.4,15.7,8.9
2013/5/1,8.6,10.6,6.9
