ダウンロードした時刻：2017/07/24 15:38:52

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,1.5,2.7,0.5
1990/1/2,3.0,5.9,0.8
1990/1/3,1.7,4.5,0.6
1990/1/4,1.7,4.4,0.5
1990/1/5,4.7,8.4,0.8
1990/1/6,5.5,8.3,3.5
1990/1/7,1.5,3.7,0.7
1990/1/8,3.1,7.4,0.9
1990/1/9,7.1,14.8,0.9
1990/1/10,11.2,20.5,6.9
1990/1/11,5.8,7.6,3.0
1990/1/12,7.4,14.1,2.7
1990/1/13,0.9,5.8,-0.7
1990/1/14,2.1,6.3,-0.9
1990/1/15,2.6,4.4,0.6
1990/1/16,4.1,7.4,2.2
1990/1/17,3.4,6.8,1.2
1990/1/18,8.7,12.2,1.1
1990/1/19,6.6,10.8,5.4
1990/1/20,0.1,6.6,-0.9
1990/1/21,2.2,4.5,-0.5
1990/1/22,3.4,8.1,1.1
1990/1/23,-0.1,2.5,-1.5
1990/1/24,-0.1,2.8,-2.1
1990/1/25,-1.4,0.8,-3.5
1990/1/26,-2.0,-0.5,-3.1
1990/1/27,-1.8,1.4,-4.3
1990/1/28,0.0,3.6,-5.0
1990/1/29,4.0,9.6,0.1
1990/1/30,1.8,6.0,0.2
1990/1/31,1.1,2.4,0.1
1990/2/1,2.1,4.8,0.5
1990/2/2,2.7,6.2,0.4
1990/2/3,3.7,8.4,-0.4
1990/2/4,3.8,6.9,2.5
1990/2/5,2.8,5.6,0.2
1990/2/6,4.1,9.3,-0.3
1990/2/7,5.4,10.7,0.3
1990/2/8,4.0,6.6,2.5
1990/2/9,3.7,7.8,0.5
1990/2/10,7.3,15.2,-1.4
1990/2/11,11.5,18.4,7.7
1990/2/12,5.2,7.7,2.3
1990/2/13,4.2,8.5,2.2
1990/2/14,4.7,6.7,2.6
1990/2/15,5.3,6.6,3.2
1990/2/16,4.8,5.6,3.9
1990/2/17,6.0,10.1,3.3
1990/2/18,7.0,11.3,2.2
1990/2/19,9.3,12.1,6.5
1990/2/20,10.7,13.0,9.2
1990/2/21,8.8,11.7,5.0
1990/2/22,9.4,14.3,4.1
1990/2/23,10.8,13.3,9.2
1990/2/24,9.2,10.6,7.3
1990/2/25,7.1,7.7,6.4
1990/2/26,7.4,9.7,5.6
1990/2/27,4.3,6.3,2.9
1990/2/28,5.1,8.9,2.2
1990/3/1,6.7,11.3,2.9
1990/3/2,7.0,7.8,5.9
1990/3/3,7.5,9.3,5.4
1990/3/4,6.1,9.5,3.3
1990/3/5,5.3,10.2,2.5
1990/3/6,6.2,9.9,1.8
1990/3/7,5.4,10.4,1.4
1990/3/8,3.6,6.5,0.3
1990/3/9,6.9,11.3,3.5
1990/3/10,9.2,14.9,3.8
1990/3/11,11.6,16.5,4.0
1990/3/12,8.9,15.8,2.4
1990/3/13,4.6,8.1,1.3
1990/3/14,6.8,11.1,0.1
1990/3/15,9.3,12.9,6.7
1990/3/16,7.4,11.4,4.7
1990/3/17,5.8,10.1,2.7
1990/3/18,5.8,9.7,2.1
1990/3/19,8.5,12.0,2.7
1990/3/20,10.0,14.3,4.4
1990/3/21,7.0,11.8,2.9
1990/3/22,8.3,15.7,1.3
1990/3/23,13.3,20.4,5.7
1990/3/24,12.5,18.4,6.9
1990/3/25,5.7,9.2,3.1
1990/3/26,5.5,9.6,0.8
1990/3/27,9.0,13.3,4.7
1990/3/28,9.7,15.2,6.4
1990/3/29,10.1,14.1,8.0
1990/3/30,11.5,16.2,7.9
1990/3/31,12.5,15.8,10.2
1990/4/1,12.4,16.7,9.4
1990/4/2,11.9,17.5,7.0
1990/4/3,16.2,26.0,5.8
1990/4/4,10.9,19.1,7.0
1990/4/5,6.7,10.0,3.2
1990/4/6,11.2,15.8,7.4
1990/4/7,14.7,19.0,5.3
1990/4/8,13.1,21.0,7.9
1990/4/9,14.1,17.1,11.3
1990/4/10,15.5,19.6,11.5
1990/4/11,15.7,22.3,8.2
1990/4/12,17.4,24.2,10.0
1990/4/13,14.9,17.4,12.3
1990/4/14,13.3,16.1,9.9
1990/4/15,10.8,15.2,8.9
1990/4/16,10.5,14.1,8.3
1990/4/17,9.6,14.6,6.5
1990/4/18,7.3,10.3,5.7
1990/4/19,8.7,12.2,5.5
1990/4/20,12.2,19.5,5.0
1990/4/21,13.0,17.5,10.8
1990/4/22,15.0,21.6,9.7
1990/4/23,11.7,13.2,9.4
1990/4/24,10.5,13.4,6.4
1990/4/25,12.0,17.9,4.7
1990/4/26,16.2,24.4,7.9
1990/4/27,17.0,22.1,11.1
1990/4/28,18.0,25.1,13.5
1990/4/29,13.2,16.2,7.8
1990/4/30,11.9,17.1,6.3
1990/5/1,10.9,14.5,6.2
