ダウンロードした時刻：2017/07/24 15:46:16

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,12.4,15.8,10.2
1991/1/2,9.0,11.8,6.3
1991/1/3,5.4,6.4,3.9
1991/1/4,6.7,9.0,5.1
1991/1/5,4.1,5.8,2.8
1991/1/6,4.9,6.3,3.5
1991/1/7,7.5,10.6,3.8
1991/1/8,5.1,9.4,3.6
1991/1/9,6.1,8.1,2.6
1991/1/10,7.8,9.4,4.8
1991/1/11,7.8,9.0,6.9
1991/1/12,6.9,8.0,4.2
1991/1/13,4.5,6.5,3.0
1991/1/14,4.4,5.4,3.2
1991/1/15,6.2,8.3,3.8
1991/1/16,8.4,11.5,6.4
1991/1/17,9.0,11.6,6.9
1991/1/18,6.6,9.1,4.7
1991/1/19,6.4,8.8,3.7
1991/1/20,9.1,10.4,7.5
1991/1/21,10.6,11.7,9.6
1991/1/22,9.6,10.9,7.5
1991/1/23,7.0,10.0,5.2
1991/1/24,8.7,11.7,5.3
1991/1/25,8.7,10.3,8.2
1991/1/26,6.1,8.4,3.7
1991/1/27,5.7,8.9,2.2
1991/1/28,5.5,7.9,3.6
1991/1/29,5.6,8.6,4.0
1991/1/30,5.8,8.4,4.0
1991/1/31,6.7,10.0,3.7
1991/2/1,7.4,9.4,5.7
1991/2/2,6.1,8.6,3.8
1991/2/3,6.1,9.6,2.9
1991/2/4,7.7,9.9,5.3
1991/2/5,5.6,7.3,4.7
1991/2/6,6.5,9.6,3.8
1991/2/7,7.5,11.2,4.5
1991/2/8,8.6,10.9,4.4
1991/2/9,7.1,9.6,4.3
1991/2/10,10.4,13.5,8.6
1991/2/11,10.4,12.0,9.4
1991/2/12,7.9,9.8,4.6
1991/2/13,6.0,7.4,4.0
1991/2/14,8.4,9.6,6.6
1991/2/15,9.6,10.8,7.5
1991/2/16,6.4,8.1,4.5
1991/2/17,5.3,7.4,3.2
1991/2/18,5.7,8.3,3.6
1991/2/19,5.0,8.5,2.7
1991/2/20,3.2,5.1,1.1
1991/2/21,3.3,5.6,0.8
1991/2/22,2.0,5.8,-0.8
1991/2/23,-0.4,2.0,-2.9
1991/2/24,1.6,3.3,-0.2
1991/2/25,3.5,6.5,0.9
1991/2/26,4.8,8.9,0.8
1991/2/27,5.9,9.2,2.4
1991/2/28,10.0,12.7,7.5
1991/3/1,7.2,10.8,4.1
1991/3/2,6.7,10.5,3.5
1991/3/3,7.3,12.0,3.0
1991/3/4,6.9,9.3,4.5
1991/3/5,10.8,13.9,8.6
1991/3/6,12.5,15.5,9.9
1991/3/7,9.9,14.9,7.3
1991/3/8,7.9,9.4,7.0
1991/3/9,10.2,12.7,7.9
1991/3/10,10.1,13.7,6.7
1991/3/11,10.0,11.1,9.2
1991/3/12,9.8,13.1,6.2
1991/3/13,10.5,14.0,6.4
1991/3/14,7.9,10.3,5.4
1991/3/15,6.2,8.4,4.0
1991/3/16,7.2,9.3,4.9
1991/3/17,8.4,10.3,6.0
1991/3/18,8.3,13.4,3.8
1991/3/19,10.7,15.6,5.4
1991/3/20,14.5,18.5,11.1
1991/3/21,9.7,13.1,7.5
1991/3/22,9.3,11.7,7.8
1991/3/23,11.4,12.3,10.6
1991/3/24,12.5,15.9,10.7
1991/3/25,11.1,12.7,10.1
1991/3/26,12.1,14.1,10.7
1991/3/27,12.9,13.9,11.9
1991/3/28,11.1,12.0,9.9
1991/3/29,10.6,14.5,6.8
1991/3/30,10.7,11.9,9.5
1991/3/31,10.4,12.4,9.3
1991/4/1,8.0,10.5,6.0
1991/4/2,7.8,11.3,3.9
1991/4/3,8.9,13.5,3.7
1991/4/4,11.7,16.3,6.8
1991/4/5,12.4,13.5,11.5
1991/4/6,13.3,13.9,12.3
1991/4/7,13.5,14.3,12.9
1991/4/8,12.2,13.1,11.6
1991/4/9,13.9,17.4,10.6
1991/4/10,14.6,17.1,11.7
1991/4/11,15.5,17.7,14.3
1991/4/12,17.6,20.1,14.7
1991/4/13,16.3,18.5,14.2
1991/4/14,13.6,15.8,11.8
1991/4/15,15.0,20.4,10.6
1991/4/16,17.0,22.1,14.2
1991/4/17,16.5,23.4,14.5
1991/4/18,15.3,24.2,10.4
1991/4/19,12.3,15.9,8.5
1991/4/20,14.2,19.5,10.3
1991/4/21,14.3,17.2,11.5
1991/4/22,15.3,20.9,10.1
1991/4/23,15.6,18.0,14.3
1991/4/24,14.0,14.6,13.5
1991/4/25,16.4,22.4,13.6
1991/4/26,15.6,18.2,13.8
1991/4/27,15.9,20.7,11.4
1991/4/28,16.7,19.8,14.7
1991/4/29,15.3,17.2,12.7
1991/4/30,14.5,18.0,9.9
1991/5/1,15.6,18.2,14.2
