ダウンロードした時刻：2017/07/24 15:44:48

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/1/1,7.0,11.5,2.4
2012/1/2,6.4,9.0,4.7
2012/1/3,6.3,8.4,3.7
2012/1/4,5.3,8.1,2.7
2012/1/5,4.5,7.3,2.0
2012/1/6,5.9,9.7,1.4
2012/1/7,5.6,8.8,4.0
2012/1/8,5.0,8.3,2.0
2012/1/9,6.3,11.4,3.1
2012/1/10,7.1,11.1,2.4
2012/1/11,6.8,10.9,2.2
2012/1/12,4.3,7.7,1.6
2012/1/13,6.9,10.8,3.2
2012/1/14,6.6,8.4,4.8
2012/1/15,6.4,8.3,3.8
2012/1/16,5.2,6.4,3.6
2012/1/17,5.9,10.8,2.6
2012/1/18,6.0,10.9,0.8
2012/1/19,6.0,7.9,4.8
2012/1/20,7.5,9.7,5.0
2012/1/21,7.4,9.2,6.2
2012/1/22,7.7,11.2,3.7
2012/1/23,7.3,10.8,3.7
2012/1/24,3.8,6.7,2.0
2012/1/25,3.2,6.4,1.1
2012/1/26,2.8,6.5,-0.9
2012/1/27,4.8,8.6,0.9
2012/1/28,5.2,9.2,2.9
2012/1/29,3.4,6.4,1.5
2012/1/30,3.7,7.6,1.0
2012/1/31,4.1,8.3,0.9
2012/2/1,4.8,8.6,0.8
2012/2/2,1.1,4.7,-1.1
2012/2/3,1.9,5.7,-2.9
2012/2/4,5.3,8.0,2.5
2012/2/5,5.9,9.1,0.9
2012/2/6,7.1,9.7,4.4
2012/2/7,8.5,9.9,6.2
2012/2/8,3.8,6.8,0.4
2012/2/9,2.7,5.8,0.0
2012/2/10,3.7,7.1,-0.2
2012/2/11,4.7,7.9,1.1
2012/2/12,4.7,8.1,2.3
2012/2/13,3.8,6.1,2.4
2012/2/14,5.5,7.0,4.0
2012/2/15,5.0,7.8,2.8
2012/2/16,4.5,8.6,1.9
2012/2/17,4.3,7.8,1.9
2012/2/18,1.9,5.3,-0.1
2012/2/19,2.5,7.4,-1.8
2012/2/20,4.6,9.4,0.4
2012/2/21,5.9,8.9,1.5
2012/2/22,8.5,11.4,5.2
2012/2/23,10.2,12.0,8.6
2012/2/24,9.1,13.3,6.4
2012/2/25,7.2,8.7,5.8
2012/2/26,5.0,7.6,2.0
2012/2/27,3.1,8.4,0.5
2012/2/28,4.4,9.0,-0.7
2012/2/29,7.3,13.5,3.8
2012/3/1,9.9,15.1,5.2
2012/3/2,10.4,12.0,8.6
2012/3/3,9.4,14.0,6.8
2012/3/4,7.3,9.5,4.7
2012/3/5,10.8,12.5,9.4
2012/3/6,13.3,17.1,10.9
2012/3/7,11.0,13.0,8.4
2012/3/8,9.9,14.5,6.3
2012/3/9,6.7,9.3,5.5
2012/3/10,8.1,11.6,5.6
2012/3/11,6.2,10.9,2.4
2012/3/12,3.9,7.5,2.0
2012/3/13,4.5,8.7,1.7
2012/3/14,6.3,10.5,0.8
2012/3/15,7.1,11.7,3.6
2012/3/16,8.4,14.0,2.6
2012/3/17,11.8,14.3,8.9
2012/3/18,12.1,13.5,9.0
2012/3/19,7.7,10.5,3.7
2012/3/20,7.0,11.8,2.0
2012/3/21,8.2,12.8,4.4
2012/3/22,9.9,14.0,3.7
2012/3/23,10.1,12.0,7.7
2012/3/24,10.3,12.9,7.6
2012/3/25,7.6,11.6,5.1
2012/3/26,6.3,9.6,2.8
2012/3/27,8.9,14.0,3.4
2012/3/28,10.9,15.7,6.5
2012/3/29,11.2,16.9,5.6
2012/3/30,14.8,21.0,7.8
2012/3/31,11.7,17.6,6.6
2012/4/1,8.4,13.4,4.6
2012/4/2,11.1,18.0,4.3
2012/4/3,12.4,21.7,7.7
2012/4/4,10.1,13.1,6.2
2012/4/5,13.1,17.7,8.3
2012/4/6,8.3,11.7,6.2
2012/4/7,7.6,11.6,4.6
2012/4/8,9.6,15.4,2.9
2012/4/9,14.8,21.2,7.5
2012/4/10,16.7,22.3,11.3
2012/4/11,15.2,17.3,13.6
2012/4/12,16.8,21.6,12.2
2012/4/13,15.5,20.1,11.9
2012/4/14,12.8,18.2,10.0
2012/4/15,13.7,19.1,8.1
2012/4/16,15.4,20.4,12.5
2012/4/17,15.4,22.8,10.8
2012/4/18,16.2,23.6,9.5
2012/4/19,17.1,24.2,11.8
2012/4/20,15.5,18.0,14.2
2012/4/21,18.2,24.0,13.7
2012/4/22,15.3,17.6,14.1
2012/4/23,18.7,22.9,15.3
2012/4/24,19.7,25.2,13.9
2012/4/25,20.7,26.7,15.4
2012/4/26,17.6,20.5,14.6
2012/4/27,18.4,24.2,14.1
2012/4/28,19.7,29.9,12.1
2012/4/29,20.8,26.4,16.2
2012/4/30,20.0,22.9,18.1
2012/5/1,21.6,26.7,19.1
