É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:36:11

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1998/1/1,-2.9,-0.8,-6.4
1998/1/2,-6.1,-2.8,-9.1
1998/1/3,-3.9,0.8,-9.4
1998/1/4,-6.0,-4.3,-9.7
1998/1/5,-6.4,-4.3,-10.5
1998/1/6,-5.0,-2.1,-8.0
1998/1/7,-11.0,-7.8,-12.7
1998/1/8,-9.1,-6.2,-11.7
1998/1/9,-7.4,-3.2,-12.3
1998/1/10,-5.0,-2.7,-8.6
1998/1/11,-2.0,0.2,-4.1
1998/1/12,-4.4,-1.1,-8.6
1998/1/13,-4.9,0.5,-10.7
1998/1/14,-6.7,-3.5,-9.1
1998/1/15,-7.3,-5.7,-10.8
1998/1/16,-5.4,-3.2,-7.4
1998/1/17,-4.8,-1.9,-8.3
1998/1/18,0.7,2.7,-2.5
1998/1/19,-4.1,2.3,-8.6
1998/1/20,-7.2,-5.0,-8.8
1998/1/21,-7.7,-5.3,-11.2
1998/1/22,-7.8,-5.6,-11.0
1998/1/23,-8.0,-4.2,-11.6
1998/1/24,-8.9,-4.8,-14.5
1998/1/25,-6.9,-2.9,-9.6
1998/1/26,-7.0,-4.7,-10.5
1998/1/27,-6.7,-3.4,-9.5
1998/1/28,-6.9,-2.9,-10.5
1998/1/29,-6.0,-2.1,-9.0
1998/1/30,-3.8,0.0,-10.6
1998/1/31,-3.0,-0.5,-5.6
1998/2/1,-4.6,-2.5,-7.6
1998/2/2,-2.1,0.2,-4.3
1998/2/3,-3.4,-0.6,-7.9
1998/2/4,-7.7,-5.3,-9.6
1998/2/5,-6.6,-2.9,-10.4
1998/2/6,-6.9,-3.8,-11.9
1998/2/7,-9.7,-6.2,-15.8
1998/2/8,-3.7,-0.8,-7.2
1998/2/9,-1.9,0.9,-4.5
1998/2/10,-2.8,-0.2,-5.2
1998/2/11,-4.3,-1.5,-7.5
1998/2/12,-0.4,2.8,-7.5
1998/2/13,-0.7,1.3,-3.0
1998/2/14,-2.6,-0.3,-4.2
1998/2/15,-5.9,-3.8,-7.5
1998/2/16,-6.0,-1.0,-11.4
1998/2/17,-5.8,-3.4,-8.6
1998/2/18,-7.1,-3.1,-11.6
1998/2/19,-2.1,4.4,-10.4
1998/2/20,-1.2,3.4,-5.8
1998/2/21,-7.7,-4.9,-10.7
1998/2/22,-6.3,-0.9,-11.4
1998/2/23,-2.3,2.8,-9.4
1998/2/24,-3.1,1.0,-7.8
1998/2/25,-1.2,3.7,-6.9
1998/2/26,0.3,5.0,-6.2
1998/2/27,2.6,5.0,0.6
1998/2/28,1.4,3.9,-0.7
1998/3/1,-0.1,3.9,-2.8
1998/3/2,0.9,6.4,-4.4
1998/3/3,1.0,4.5,-3.4
1998/3/4,-0.7,1.1,-2.6
1998/3/5,-0.1,4.6,-6.3
1998/3/6,2.8,9.3,-1.8
1998/3/7,-0.6,2.5,-2.3
1998/3/8,-1.2,1.9,-5.3
1998/3/9,-0.6,2.3,-4.5
1998/3/10,-2.1,0.9,-5.9
1998/3/11,-0.7,4.9,-7.7
1998/3/12,2.0,4.7,-2.7
1998/3/13,3.5,6.2,1.9
1998/3/14,1.4,4.8,-2.2
1998/3/15,-1.7,1.1,-4.1
1998/3/16,-3.4,-1.5,-5.2
1998/3/17,0.2,2.4,-4.5
1998/3/18,1.5,4.5,-1.6
1998/3/19,3.7,6.4,1.6
1998/3/20,2.8,6.9,-1.4
1998/3/21,0.2,3.0,-2.0
1998/3/22,-0.9,2.3,-3.8
1998/3/23,-0.1,3.1,-4.5
1998/3/24,5.2,9.5,-1.3
1998/3/25,4.3,8.1,-1.3
1998/3/26,6.2,11.3,-1.1
1998/3/27,6.5,9.9,2.5
1998/3/28,6.6,12.8,0.1
1998/3/29,8.5,14.7,3.6
1998/3/30,5.3,9.5,1.7
1998/3/31,0.7,5.1,-3.1
1998/4/1,0.6,2.9,-2.1
1998/4/2,1.1,5.2,-1.9
1998/4/3,5.1,10.9,-1.9
1998/4/4,8.3,13.9,1.0
1998/4/5,5.5,8.5,2.9
1998/4/6,8.1,16.6,0.5
1998/4/7,11.4,20.8,2.2
1998/4/8,7.4,11.7,4.3
1998/4/9,6.8,11.6,3.1
1998/4/10,10.5,16.5,5.5
1998/4/11,7.7,13.0,3.2
1998/4/12,6.5,13.3,0.9
1998/4/13,8.4,13.6,5.4
1998/4/14,9.0,14.3,5.8
1998/4/15,8.3,11.1,6.3
1998/4/16,6.3,8.0,5.0
1998/4/17,7.8,14.1,4.3
1998/4/18,7.9,13.3,3.2
1998/4/19,9.9,15.9,5.0
1998/4/20,14.4,25.2,6.5
1998/4/21,19.4,28.0,10.1
1998/4/22,15.7,24.3,12.2
1998/4/23,18.5,25.3,13.3
1998/4/24,15.1,21.0,8.1
1998/4/25,6.5,8.2,4.5
1998/4/26,6.4,9.5,3.7
1998/4/27,6.7,10.7,3.5
1998/4/28,9.8,16.2,1.8
1998/4/29,13.4,22.0,7.2
1998/4/30,8.3,11.0,5.5
1998/5/1,9.4,14.8,4.4
