ダウンロードした時刻：2017/07/24 15:47:32

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,5.8,11.3,0.8
1984/1/2,6.5,13.5,0.0
1984/1/3,8.5,14.2,5.3
1984/1/4,5.6,7.9,4.2
1984/1/5,4.8,8.6,0.5
1984/1/6,4.0,10.3,-2.8
1984/1/7,4.7,8.3,1.5
1984/1/8,5.3,11.2,1.3
1984/1/9,6.9,11.6,1.9
1984/1/10,8.7,14.7,1.6
1984/1/11,8.2,13.2,2.0
1984/1/12,4.4,11.1,-0.8
1984/1/13,5.8,12.2,-0.3
1984/1/14,7.7,14.0,2.7
1984/1/15,7.7,13.7,2.3
1984/1/16,3.2,6.7,0.0
1984/1/17,2.9,6.7,-0.1
1984/1/18,4.9,7.8,0.9
1984/1/19,6.3,10.0,3.3
1984/1/20,6.2,11.9,-0.4
1984/1/21,7.1,9.9,5.6
1984/1/22,5.6,9.3,2.4
1984/1/23,4.1,9.1,0.0
1984/1/24,5.4,10.9,1.3
1984/1/25,4.3,6.6,2.3
1984/1/26,2.6,5.2,-1.2
1984/1/27,2.6,7.0,-1.9
1984/1/28,3.2,7.0,0.0
1984/1/29,4.8,9.4,1.3
1984/1/30,7.3,8.9,5.2
1984/1/31,7.8,12.1,3.2
1984/2/1,6.1,12.9,0.6
1984/2/2,4.6,8.0,2.0
1984/2/3,2.4,5.9,-1.1
1984/2/4,2.9,6.5,-1.7
1984/2/5,5.3,8.0,3.0
1984/2/6,3.0,6.0,-1.1
1984/2/7,0.5,2.5,-1.5
1984/2/8,2.1,6.0,0.1
1984/2/9,3.0,6.8,0.4
1984/2/10,5.3,9.8,0.1
1984/2/11,7.9,9.6,5.0
1984/2/12,9.7,12.5,5.3
1984/2/13,7.7,14.3,1.9
1984/2/14,7.6,14.3,2.2
1984/2/15,5.8,11.9,0.0
1984/2/16,8.2,12.9,1.2
1984/2/17,9.1,13.2,6.5
1984/2/18,6.8,12.1,2.7
1984/2/19,6.3,13.6,-0.7
1984/2/20,6.7,11.6,1.7
1984/2/21,9.2,14.9,3.7
1984/2/22,10.5,13.0,6.4
1984/2/23,13.0,16.4,10.9
1984/2/24,11.6,15.5,7.5
1984/2/25,11.9,15.2,7.2
1984/2/26,10.5,13.9,7.6
1984/2/27,5.3,8.1,2.9
1984/2/28,4.8,9.4,0.0
1984/2/29,3.4,8.2,0.5
1984/3/1,4.5,9.7,-1.2
1984/3/2,7.8,13.8,2.8
1984/3/3,7.4,12.6,3.1
1984/3/4,4.8,9.1,1.2
1984/3/5,6.0,12.4,0.1
1984/3/6,7.4,14.7,1.5
1984/3/7,7.0,12.0,1.4
1984/3/8,7.5,13.9,0.8
1984/3/9,8.4,11.0,5.0
1984/3/10,8.0,11.3,4.3
1984/3/11,6.5,11.7,1.5
1984/3/12,8.4,17.0,-0.9
1984/3/13,10.6,14.2,7.0
1984/3/14,11.7,14.2,10.5
1984/3/15,12.2,15.4,10.5
1984/3/16,11.9,15.1,8.7
1984/3/17,9.3,13.4,4.9
1984/3/18,8.5,12.4,2.5
1984/3/19,11.8,14.2,9.8
1984/3/20,9.8,14.7,5.4
1984/3/21,7.7,11.3,3.6
1984/3/22,5.8,10.3,2.0
1984/3/23,9.3,14.2,0.7
1984/3/24,13.5,17.1,9.6
1984/3/25,11.9,16.6,8.4
1984/3/26,12.5,16.4,9.7
1984/3/27,11.6,15.9,8.3
1984/3/28,10.2,16.3,6.3
1984/3/29,12.1,18.9,2.9
1984/3/30,15.5,18.8,13.2
1984/3/31,18.3,24.4,12.7
1984/4/1,16.3,17.9,13.7
1984/4/2,15.8,21.1,10.3
1984/4/3,16.2,20.9,12.1
1984/4/4,16.9,17.6,15.9
1984/4/5,18.1,24.1,14.1
1984/4/6,14.6,20.2,12.3
1984/4/7,14.2,20.6,9.0
1984/4/8,14.5,20.4,6.6
1984/4/9,16.7,20.0,14.4
1984/4/10,15.5,16.3,14.6
1984/4/11,17.8,25.3,13.1
1984/4/12,15.1,18.7,10.9
1984/4/13,12.9,15.9,9.3
1984/4/14,14.8,23.4,5.7
1984/4/15,16.1,23.3,8.2
1984/4/16,17.3,23.8,10.5
1984/4/17,19.0,24.9,12.8
1984/4/18,20.6,25.3,15.6
1984/4/19,17.5,21.2,11.8
1984/4/20,15.7,21.5,8.9
1984/4/21,16.9,19.9,13.5
1984/4/22,16.9,20.4,13.3
1984/4/23,16.7,25.5,8.7
1984/4/24,17.6,24.2,10.0
1984/4/25,18.4,21.3,15.6
1984/4/26,17.6,19.4,16.1
1984/4/27,19.2,22.7,16.5
1984/4/28,19.5,24.5,16.2
1984/4/29,19.7,22.0,17.9
1984/4/30,20.2,24.1,17.5
1984/5/1,19.6,24.8,14.0
