ダウンロードした時刻：2017/07/24 15:37:58

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/1/1,4.3,7.0,2.1
2011/1/2,3.3,6.3,0.6
2011/1/3,2.4,7.4,-0.8
2011/1/4,2.8,7.0,-1.4
2011/1/5,4.1,9.1,-0.2
2011/1/6,0.9,3.6,-2.8
2011/1/7,-1.5,1.3,-3.7
2011/1/8,2.1,5.0,-0.9
2011/1/9,0.2,2.5,-2.5
2011/1/10,-1.2,1.7,-3.0
2011/1/11,-0.7,3.2,-4.2
2011/1/12,0.4,6.0,-3.5
2011/1/13,-1.0,1.5,-3.0
2011/1/14,-0.4,3.1,-3.1
2011/1/15,-1.6,1.7,-4.1
2011/1/16,-1.2,1.7,-4.1
2011/1/17,1.3,4.1,-1.8
2011/1/18,2.4,5.3,0.2
2011/1/19,0.6,3.4,-0.6
2011/1/20,-0.3,3.0,-2.1
2011/1/21,0.4,4.2,-3.5
2011/1/22,0.6,4.8,-2.8
2011/1/23,0.8,4.7,-2.5
2011/1/24,-1.5,0.6,-3.1
2011/1/25,1.2,4.7,-3.5
2011/1/26,1.7,6.1,-2.2
2011/1/27,0.8,4.7,-1.6
2011/1/28,-0.3,2.6,-3.0
2011/1/29,-0.9,2.7,-3.6
2011/1/30,-2.7,0.3,-7.0
2011/1/31,-1.1,1.6,-5.8
2011/2/1,0.9,3.9,-1.8
2011/2/2,2.1,6.8,-2.6
2011/2/3,3.1,8.4,-2.0
2011/2/4,4.4,10.3,-0.3
2011/2/5,4.0,10.0,-0.1
2011/2/6,3.1,7.0,-2.0
2011/2/7,3.5,6.7,1.0
2011/2/8,2.8,6.7,-1.2
2011/2/9,1.1,3.9,-1.6
2011/2/10,1.3,4.0,-0.5
2011/2/11,1.4,4.4,-1.4
2011/2/12,0.2,1.6,-1.1
2011/2/13,1.8,5.2,-1.7
2011/2/14,2.5,6.1,-0.2
2011/2/15,2.2,6.3,-0.5
2011/2/16,3.6,9.3,-1.8
2011/2/17,4.7,9.4,-0.2
2011/2/18,4.5,8.8,0.4
2011/2/19,2.6,6.7,-1.0
2011/2/20,4.0,10.6,-1.8
2011/2/21,2.8,8.0,-1.3
2011/2/22,3.5,8.7,-1.8
2011/2/23,5.8,9.5,2.2
2011/2/24,7.8,12.8,0.6
2011/2/25,8.2,14.0,1.3
2011/2/26,2.3,6.1,0.2
2011/2/27,3.8,11.6,-1.8
2011/2/28,1.5,4.9,0.7
2011/3/1,3.6,6.4,0.7
2011/3/2,2.5,5.7,-0.5
2011/3/3,-0.8,2.1,-2.2
2011/3/4,-0.8,3.7,-3.8
2011/3/5,2.1,6.7,-2.8
2011/3/6,5.2,11.1,-1.7
2011/3/7,3.4,5.6,0.0
2011/3/8,2.8,7.0,-1.8
2011/3/9,,,-1.7
2011/3/10,0.5,4.0,-2.6
2011/3/11,1.5,6.2,-2.5
2011/3/12,3.4,8.8,-1.1
2011/3/13,8.0,16.6,-0.5
2011/3/14,11.0,19.6,2.3
2011/3/15,4.7,7.1,0.4
2011/3/16,0.8,5.3,-1.9
2011/3/17,-0.9,1.8,-2.7
2011/3/18,1.2,5.9,-4.1
2011/3/19,6.6,14.3,-0.8
2011/3/20,7.6,12.6,4.0
2011/3/21,6.8,9.4,4.4
2011/3/22,4.9,9.3,1.4
2011/3/23,2.6,6.5,0.8
2011/3/24,2.7,7.4,-1.5
2011/3/25,2.7,6.3,-1.1
2011/3/26,2.8,7.1,-0.4
2011/3/27,2.9,6.9,-1.3
2011/3/28,4.8,10.7,-1.7
2011/3/29,7.5,13.6,-0.4
2011/3/30,7.3,13.1,1.4
2011/3/31,6.6,11.4,3.2
2011/4/1,6.6,12.1,1.6
2011/4/2,7.2,13.9,2.9
2011/4/3,4.8,9.0,1.9
2011/4/4,4.2,8.6,-0.1
2011/4/5,7.9,15.6,-0.9
2011/4/6,10.0,18.6,2.6
2011/4/7,11.2,17.7,3.8
2011/4/8,13.8,20.3,8.7
2011/4/9,8.9,10.2,8.0
2011/4/10,8.9,13.5,3.7
2011/4/11,7.8,14.4,5.0
2011/4/12,7.1,10.9,2.9
2011/4/13,11.5,19.5,1.4
2011/4/14,13.6,21.3,6.0
2011/4/15,13.6,19.9,8.3
2011/4/16,12.4,19.8,8.5
2011/4/17,10.0,15.9,6.0
2011/4/18,8.9,14.1,3.8
2011/4/19,5.8,9.5,0.9
2011/4/20,6.9,11.3,2.6
2011/4/21,8.7,12.6,5.0
2011/4/22,9.0,10.0,8.2
2011/4/23,11.0,13.4,9.0
2011/4/24,12.5,17.9,8.7
2011/4/25,10.8,15.5,6.3
2011/4/26,12.5,17.3,6.0
2011/4/27,14.9,20.0,10.5
2011/4/28,14.6,21.2,9.0
2011/4/29,11.1,16.0,7.4
2011/4/30,14.3,20.4,8.1
2011/5/1,15.7,21.6,12.0
