ダウンロードした時刻：2017/07/24 15:43:43

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,7.3,10.6,4.4
1996/1/2,7.6,11.4,2.6
1996/1/3,8.6,12.4,2.9
1996/1/4,3.5,5.5,1.7
1996/1/5,7.7,11.2,4.0
1996/1/6,7.8,12.1,3.7
1996/1/7,10.7,15.7,4.3
1996/1/8,6.7,15.6,-0.3
1996/1/9,1.6,5.0,-0.8
1996/1/10,4.9,6.1,3.5
1996/1/11,6.7,10.7,3.2
1996/1/12,6.1,11.3,2.2
1996/1/13,6.5,12.9,0.3
1996/1/14,12.2,18.6,4.7
1996/1/15,11.8,15.7,9.7
1996/1/16,8.0,10.0,6.1
1996/1/17,5.9,8.2,3.2
1996/1/18,4.1,7.4,2.6
1996/1/19,5.8,10.3,2.6
1996/1/20,6.5,8.8,4.6
1996/1/21,6.1,8.8,1.0
1996/1/22,5.2,9.3,0.8
1996/1/23,5.8,8.2,3.0
1996/1/24,4.0,6.5,3.1
1996/1/25,3.3,5.0,0.9
1996/1/26,2.8,5.1,0.3
1996/1/27,4.4,7.6,-0.4
1996/1/28,5.9,8.4,2.2
1996/1/29,7.0,8.8,4.0
1996/1/30,4.0,8.1,2.1
1996/1/31,2.7,5.7,1.5
1996/2/1,1.0,4.9,-0.5
1996/2/2,-0.3,1.9,-3.5
1996/2/3,2.5,4.3,0.2
1996/2/4,5.1,7.6,2.6
1996/2/5,4.4,8.9,1.0
1996/2/6,1.5,2.9,-0.4
1996/2/7,3.2,7.4,0.4
1996/2/8,6.1,10.2,0.4
1996/2/9,2.6,7.3,-0.6
1996/2/10,1.6,3.4,-0.5
1996/2/11,4.9,9.0,-0.8
1996/2/12,11.9,14.9,6.8
1996/2/13,15.9,18.7,13.8
1996/2/14,16.5,19.8,13.9
1996/2/15,9.3,14.4,2.4
1996/2/16,5.4,9.6,2.2
1996/2/17,3.7,8.6,0.6
1996/2/18,3.0,7.2,0.6
1996/2/19,3.0,6.9,-0.2
1996/2/20,3.2,5.7,0.6
1996/2/21,2.1,5.2,0.5
1996/2/22,3.2,6.5,-1.4
1996/2/23,5.2,7.3,2.4
1996/2/24,5.0,9.3,2.0
1996/2/25,2.0,5.9,-0.3
1996/2/26,5.1,9.5,-0.4
1996/2/27,6.6,8.4,5.7
1996/2/28,6.1,10.4,1.2
1996/2/29,6.1,11.5,1.0
1996/3/1,6.9,9.6,3.9
1996/3/2,5.5,8.7,0.6
1996/3/3,5.4,9.1,0.8
1996/3/4,7.6,10.7,2.7
1996/3/5,4.2,7.1,2.1
1996/3/6,4.6,9.5,-0.3
1996/3/7,10.5,17.4,1.8
1996/3/8,9.5,13.6,6.7
1996/3/9,5.4,9.1,1.9
1996/3/10,5.6,10.4,1.6
1996/3/11,6.2,10.6,3.2
1996/3/12,4.5,7.9,1.6
1996/3/13,6.4,12.6,-0.5
1996/3/14,9.6,13.5,3.7
1996/3/15,7.1,9.7,5.5
1996/3/16,8.1,18.0,1.4
1996/3/17,13.5,18.2,11.1
1996/3/18,6.9,11.7,1.7
1996/3/19,6.3,9.4,3.8
1996/3/20,8.1,14.1,2.0
1996/3/21,12.9,19.5,7.1
1996/3/22,9.3,12.2,7.3
1996/3/23,6.8,10.8,1.8
1996/3/24,4.6,9.2,-0.8
1996/3/25,7.8,10.9,3.8
1996/3/26,7.9,13.9,2.2
1996/3/27,8.9,13.2,5.0
1996/3/28,9.1,14.3,3.3
1996/3/29,11.9,17.6,8.6
1996/3/30,16.8,23.1,11.8
1996/3/31,11.3,13.0,7.7
1996/4/1,8.6,10.6,6.4
1996/4/2,4.9,7.7,1.1
1996/4/3,4.0,8.3,1.0
1996/4/4,6.9,9.2,2.8
1996/4/5,9.6,13.1,4.9
1996/4/6,9.7,16.5,3.7
1996/4/7,11.3,16.2,7.3
1996/4/8,9.5,14.6,4.6
1996/4/9,8.5,14.5,3.6
1996/4/10,7.0,11.9,2.2
1996/4/11,6.3,11.3,0.5
1996/4/12,7.4,10.9,2.7
1996/4/13,7.2,13.0,1.3
1996/4/14,8.5,13.2,1.4
1996/4/15,11.8,17.3,7.0
1996/4/16,11.0,12.9,9.9
1996/4/17,14.2,20.2,6.0
1996/4/18,12.8,15.8,11.2
1996/4/19,9.9,12.8,6.3
1996/4/20,8.2,13.2,3.9
1996/4/21,8.4,13.4,2.4
1996/4/22,11.0,16.0,5.6
1996/4/23,12.3,17.2,7.1
1996/4/24,13.4,19.0,6.6
1996/4/25,14.0,19.0,8.6
1996/4/26,15.1,19.2,10.0
1996/4/27,17.8,19.7,14.3
1996/4/28,16.7,21.6,11.8
1996/4/29,17.2,21.7,13.7
1996/4/30,18.4,22.8,13.2
1996/5/1,16.6,21.1,15.0
