ダウンロードした時刻：2017/07/24 15:44:42

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/1/1,6.8,11.1,2.7
1993/1/2,7.3,12.4,3.7
1993/1/3,8.7,13.2,3.1
1993/1/4,8.5,10.9,6.0
1993/1/5,6.5,9.8,4.6
1993/1/6,5.8,9.2,2.1
1993/1/7,9.3,12.2,6.5
1993/1/8,9.2,11.6,6.4
1993/1/9,6.1,7.9,3.0
1993/1/10,7.6,9.4,6.0
1993/1/11,8.6,10.8,6.8
1993/1/12,7.8,11.0,5.0
1993/1/13,7.3,9.6,4.4
1993/1/14,7.6,8.6,6.7
1993/1/15,8.5,9.3,7.4
1993/1/16,9.6,10.9,7.5
1993/1/17,6.4,9.1,4.1
1993/1/18,6.5,10.6,3.7
1993/1/19,5.0,7.6,2.9
1993/1/20,5.1,9.4,0.9
1993/1/21,4.3,8.1,1.5
1993/1/22,4.3,8.2,0.7
1993/1/23,4.6,8.0,1.1
1993/1/24,6.8,9.2,4.3
1993/1/25,7.9,10.4,5.9
1993/1/26,8.7,12.7,5.5
1993/1/27,6.8,11.6,3.1
1993/1/28,3.4,6.8,1.4
1993/1/29,4.7,8.2,1.0
1993/1/30,6.7,10.5,2.3
1993/1/31,8.2,11.2,5.3
1993/2/1,5.4,9.3,2.5
1993/2/2,2.8,5.2,1.2
1993/2/3,4.9,7.7,1.1
1993/2/4,8.2,12.9,4.4
1993/2/5,7.8,12.8,2.5
1993/2/6,11.5,19.0,3.7
1993/2/7,14.0,19.6,7.5
1993/2/8,4.9,7.6,2.4
1993/2/9,5.0,8.3,2.0
1993/2/10,6.3,10.3,3.3
1993/2/11,6.8,10.9,1.4
1993/2/12,8.3,10.9,6.1
1993/2/13,8.7,11.6,4.5
1993/2/14,6.4,10.2,2.8
1993/2/15,6.1,11.5,0.0
1993/2/16,10.0,15.7,4.2
1993/2/17,12.0,15.5,9.7
1993/2/18,9.2,12.3,7.0
1993/2/19,7.0,9.9,4.9
1993/2/20,8.0,12.7,4.9
1993/2/21,8.9,11.3,5.8
1993/2/22,11.7,15.0,9.0
1993/2/23,5.5,9.0,2.2
1993/2/24,3.8,7.2,2.1
1993/2/25,4.4,7.4,2.6
1993/2/26,5.4,9.5,0.8
1993/2/27,7.7,12.7,1.8
1993/2/28,8.7,11.9,6.6
1993/3/1,5.9,8.3,2.3
1993/3/2,4.5,8.2,1.4
1993/3/3,6.5,9.6,3.1
1993/3/4,7.8,12.2,3.4
1993/3/5,9.2,14.8,2.3
1993/3/6,11.8,17.2,5.2
1993/3/7,10.6,15.1,6.9
1993/3/8,6.0,8.4,4.6
1993/3/9,7.0,10.3,5.0
1993/3/10,8.2,12.7,4.3
1993/3/11,8.4,12.3,3.7
1993/3/12,8.5,12.9,6.0
1993/3/13,7.0,10.7,4.9
1993/3/14,8.8,13.5,4.8
1993/3/15,5.8,7.8,4.2
1993/3/16,4.9,7.3,2.9
1993/3/17,4.8,7.8,2.4
1993/3/18,6.8,11.8,2.9
1993/3/19,7.0,11.4,4.7
1993/3/20,6.3,9.6,2.7
1993/3/21,7.7,13.3,1.4
1993/3/22,9.9,15.6,4.1
1993/3/23,12.8,18.5,5.7
1993/3/24,13.7,18.1,12.2
1993/3/25,13.5,15.7,11.1
1993/3/26,13.5,17.3,9.7
1993/3/27,14.5,19.4,9.2
1993/3/28,11.4,14.4,10.4
1993/3/29,6.5,10.9,3.8
1993/3/30,8.1,13.1,2.0
1993/3/31,13.6,19.8,7.8
1993/4/1,14.7,18.4,11.3
1993/4/2,14.0,18.9,7.7
1993/4/3,16.6,23.6,10.4
1993/4/4,14.4,19.3,9.2
1993/4/5,9.5,13.2,7.1
1993/4/6,10.0,13.8,4.7
1993/4/7,10.8,15.6,6.1
1993/4/8,8.6,12.2,5.7
1993/4/9,7.9,13.5,4.1
1993/4/10,9.0,13.9,4.9
1993/4/11,9.0,16.1,3.4
1993/4/12,9.3,13.6,6.2
1993/4/13,10.5,15.2,4.1
1993/4/14,13.4,18.0,7.2
1993/4/15,14.4,18.7,8.2
1993/4/16,15.6,21.3,11.5
1993/4/17,16.6,20.7,13.3
1993/4/18,17.9,22.4,14.4
1993/4/19,18.9,24.9,12.6
1993/4/20,20.0,26.0,14.1
1993/4/21,19.6,25.0,15.9
1993/4/22,16.2,17.8,14.8
1993/4/23,19.2,24.1,14.0
1993/4/24,19.9,22.9,17.0
1993/4/25,15.3,19.4,10.7
1993/4/26,14.8,19.5,8.1
1993/4/27,19.6,23.2,16.5
1993/4/28,16.6,20.9,14.3
1993/4/29,15.2,16.7,14.2
1993/4/30,15.3,17.8,13.1
1993/5/1,14.1,16.0,12.1
