ダウンロードした時刻：2017/07/24 15:41:11

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,1.9,11.1,-4.5
2000/1/2,3.2,9.8,-2.9
2000/1/3,6.0,12.0,1.2
2000/1/4,3.6,13.3,-3.4
2000/1/5,2.9,11.4,-3.5
2000/1/6,3.6,7.3,0.7
2000/1/7,9.3,14.1,2.5
2000/1/8,3.3,10.0,-1.9
2000/1/9,2.6,8.1,-2.7
2000/1/10,5.8,13.7,0.7
2000/1/11,2.1,9.4,-2.9
2000/1/12,1.2,3.6,-1.0
2000/1/13,4.0,6.0,1.5
2000/1/14,8.3,13.5,4.1
2000/1/15,4.6,13.0,-1.2
2000/1/16,4.3,10.8,-1.6
2000/1/17,3.4,5.8,0.3
2000/1/18,4.6,10.7,0.7
2000/1/19,4.5,12.0,-0.7
2000/1/20,1.0,4.7,-3.2
2000/1/21,-2.6,1.9,-6.6
2000/1/22,-1.5,6.5,-8.5
2000/1/23,1.6,4.9,-2.5
2000/1/24,5.0,11.3,1.4
2000/1/25,0.7,4.8,-3.5
2000/1/26,-1.3,5.6,-6.9
2000/1/27,-2.1,5.6,-7.2
2000/1/28,-1.6,7.3,-8.6
2000/1/29,0.2,9.2,-7.3
2000/1/30,1.8,6.7,-3.3
2000/1/31,2.2,8.4,-3.0
2000/2/1,-0.6,7.5,-6.9
2000/2/2,1.2,9.2,-4.5
2000/2/3,1.4,10.3,-5.4
2000/2/4,2.1,8.6,-2.6
2000/2/5,1.2,10.8,-6.4
2000/2/6,0.7,3.5,-2.7
2000/2/7,4.8,12.1,0.2
2000/2/8,0.0,5.7,-4.7
2000/2/9,-1.0,4.9,-4.9
2000/2/10,-1.1,7.0,-7.9
2000/2/11,0.3,7.4,-6.6
2000/2/12,3.7,9.6,-2.2
2000/2/13,2.5,10.7,-4.0
2000/2/14,3.8,11.2,-1.2
2000/2/15,1.3,5.7,-3.4
2000/2/16,-2.4,2.3,-5.0
2000/2/17,-2.0,5.8,-8.9
2000/2/18,-0.3,5.3,-3.7
2000/2/19,-0.4,5.6,-7.0
2000/2/20,1.6,6.6,-1.1
2000/2/21,-0.3,5.6,-4.4
2000/2/22,-0.5,6.5,-7.1
2000/2/23,0.3,7.8,-7.1
2000/2/24,0.4,6.6,-3.4
2000/2/25,-1.8,6.3,-8.4
2000/2/26,-2.1,3.3,-5.8
2000/2/27,0.5,5.4,-3.8
2000/2/28,-0.9,2.5,-6.0
2000/2/29,-0.9,5.6,-6.2
2000/3/1,0.3,10.5,-8.4
2000/3/2,2.9,13.0,-6.3
2000/3/3,5.1,16.9,-4.4
2000/3/4,3.3,5.2,-0.4
2000/3/5,6.8,15.2,2.0
2000/3/6,5.4,15.2,-1.9
2000/3/7,3.8,10.0,-1.1
2000/3/8,0.7,5.4,-1.9
2000/3/9,-0.2,5.3,-3.0
2000/3/10,1.4,8.2,-4.8
2000/3/11,1.7,7.9,-3.5
2000/3/12,2.9,9.7,-1.2
2000/3/13,2.4,10.2,-3.5
2000/3/14,2.7,10.3,-3.9
2000/3/15,5.0,14.9,-4.2
2000/3/16,4.9,9.8,2.3
2000/3/17,4.9,10.6,-1.0
2000/3/18,4.7,15.1,-4.7
2000/3/19,6.7,15.9,0.0
2000/3/20,6.0,13.5,0.3
2000/3/21,5.7,15.3,-2.2
2000/3/22,6.9,13.5,1.0
2000/3/23,6.1,14.8,-2.5
2000/3/24,6.9,11.4,1.7
2000/3/25,2.8,7.6,0.0
2000/3/26,1.6,6.9,-1.4
2000/3/27,6.4,15.5,-2.3
2000/3/28,5.5,9.4,0.3
2000/3/29,8.3,13.7,4.2
2000/3/30,8.0,14.5,1.7
2000/3/31,6.9,15.3,-0.4
2000/4/1,9.1,16.2,2.2
2000/4/2,6.6,13.7,-1.2
2000/4/3,9.6,18.7,2.2
2000/4/4,10.2,19.4,1.8
2000/4/5,11.5,16.2,6.2
2000/4/6,12.5,19.4,5.6
2000/4/7,10.7,20.2,1.9
2000/4/8,11.6,19.3,5.5
2000/4/9,10.5,19.3,1.6
2000/4/10,11.6,14.9,8.8
2000/4/11,8.4,12.3,5.5
2000/4/12,11.4,18.6,3.9
2000/4/13,12.6,21.9,3.7
2000/4/14,13.3,19.6,6.2
2000/4/15,8.8,12.8,6.0
2000/4/16,7.7,14.0,2.6
2000/4/17,7.9,15.9,-1.0
2000/4/18,12.2,19.5,3.6
2000/4/19,12.9,19.7,7.9
2000/4/20,10.8,16.6,7.8
2000/4/21,12.0,18.8,5.3
2000/4/22,14.5,20.0,8.3
2000/4/23,12.3,17.9,6.3
2000/4/24,8.4,16.4,2.5
2000/4/25,11.2,20.9,1.2
2000/4/26,9.5,10.8,8.6
2000/4/27,13.2,21.4,9.1
2000/4/28,10.9,16.3,5.7
2000/4/29,12.2,21.8,2.6
2000/4/30,12.4,20.0,4.5
2000/5/1,14.6,22.1,9.5
