ダウンロードした時刻：2017/07/24 15:38:39

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/1/1,3.5,6.0,1.2
2006/1/2,6.1,8.7,4.2
2006/1/3,1.1,4.5,-0.6
2006/1/4,1.1,2.3,-0.4
2006/1/5,0.6,2.0,-1.4
2006/1/6,0.5,1.8,-1.7
2006/1/7,0.2,1.9,-1.8
2006/1/8,0.8,2.0,-0.7
2006/1/9,2.1,3.8,-1.3
2006/1/10,4.5,7.1,2.1
2006/1/11,3.5,4.6,2.2
2006/1/12,1.4,3.2,-1.6
2006/1/13,5.7,11.2,-2.5
2006/1/14,8.9,10.5,6.9
2006/1/15,4.9,7.3,1.3
2006/1/16,6.4,9.8,1.9
2006/1/17,2.0,3.3,0.8
2006/1/18,2.0,3.1,0.2
2006/1/19,0.1,2.2,-1.6
2006/1/20,1.1,2.7,-1.1
2006/1/21,1.8,5.5,-0.9
2006/1/22,0.2,4.1,-3.3
2006/1/23,-0.2,2.7,-3.8
2006/1/24,1.8,4.2,-0.2
2006/1/25,3.8,4.7,1.1
2006/1/26,3.8,4.7,1.0
2006/1/27,3.9,4.8,2.8
2006/1/28,2.3,3.6,0.1
2006/1/29,3.8,6.5,0.6
2006/1/30,6.9,10.1,3.6
2006/1/31,2.7,4.8,1.1
2006/2/1,3.6,5.4,1.0
2006/2/2,2.0,4.6,-0.3
2006/2/3,0.2,6.5,-4.1
2006/2/4,-1.4,0.0,-3.8
2006/2/5,-1.1,0.7,-3.8
2006/2/6,1.0,2.8,-0.3
2006/2/7,4.1,7.5,0.6
2006/2/8,3.3,5.2,0.9
2006/2/9,1.2,4.5,-2.0
2006/2/10,5.2,7.1,3.3
2006/2/11,3.0,7.3,-1.2
2006/2/12,-0.2,2.1,-3.5
2006/2/13,6.6,9.7,1.8
2006/2/14,9.3,12.0,4.3
2006/2/15,8.5,10.6,4.8
2006/2/16,5.1,7.7,3.9
2006/2/17,0.6,7.6,-2.6
2006/2/18,2.4,4.6,-1.2
2006/2/19,5.1,8.8,1.5
2006/2/20,6.1,9.1,1.8
2006/2/21,6.6,11.8,2.5
2006/2/22,9.0,13.4,3.6
2006/2/23,5.1,8.2,2.7
2006/2/24,4.5,7.7,1.2
2006/2/25,6.9,11.6,0.2
2006/2/26,9.4,13.0,4.0
2006/2/27,1.3,3.9,0.1
2006/2/28,2.0,4.1,0.2
2006/3/1,3.0,5.7,0.7
2006/3/2,3.4,5.0,1.6
2006/3/3,3.0,5.0,0.7
2006/3/4,4.3,7.0,1.1
2006/3/5,9.1,11.5,6.4
2006/3/6,6.6,10.8,0.5
2006/3/7,3.8,7.2,-1.4
2006/3/8,6.2,9.8,3.7
2006/3/9,3.6,7.6,-0.6
2006/3/10,8.6,12.4,2.8
2006/3/11,9.8,13.3,5.5
2006/3/12,2.3,7.8,-1.8
2006/3/13,0.0,1.5,-2.0
2006/3/14,1.3,2.9,-0.6
2006/3/15,6.4,8.9,1.0
2006/3/16,10.1,15.7,6.6
2006/3/17,7.6,11.1,5.9
2006/3/18,8.4,13.2,4.3
2006/3/19,4.4,8.7,2.0
2006/3/20,6.4,8.6,2.6
2006/3/21,6.3,8.7,0.1
2006/3/22,6.7,11.4,0.4
2006/3/23,8.0,9.5,5.6
2006/3/24,4.8,7.5,1.1
2006/3/25,7.1,12.2,-0.2
2006/3/26,8.7,12.8,2.1
2006/3/27,7.2,10.1,1.3
2006/3/28,11.5,19.1,6.0
2006/3/29,4.1,6.9,1.2
2006/3/30,3.3,5.2,0.6
2006/3/31,4.0,5.3,1.0
2006/4/1,7.7,10.9,4.9
2006/4/2,10.6,14.6,7.6
2006/4/3,6.3,8.4,5.2
2006/4/4,9.1,15.4,3.7
2006/4/5,8.4,11.3,5.2
2006/4/6,5.6,7.3,3.3
2006/4/7,6.0,8.6,2.5
2006/4/8,7.8,11.0,6.3
2006/4/9,5.8,8.1,2.5
2006/4/10,9.0,14.5,3.4
2006/4/11,16.5,18.4,12.1
2006/4/12,15.8,22.0,11.1
2006/4/13,9.7,12.6,5.8
2006/4/14,7.0,10.8,3.1
2006/4/15,11.2,15.9,2.6
2006/4/16,9.4,12.7,7.2
2006/4/17,7.9,9.5,6.2
2006/4/18,12.9,15.7,7.4
2006/4/19,18.3,22.1,12.6
2006/4/20,9.4,17.6,5.5
2006/4/21,7.1,9.0,5.0
2006/4/22,8.5,11.3,6.1
2006/4/23,10.7,14.3,5.2
2006/4/24,10.5,15.2,7.2
2006/4/25,9.5,10.9,6.5
2006/4/26,10.5,12.9,7.9
2006/4/27,9.8,12.9,7.7
2006/4/28,10.9,14.7,7.8
2006/4/29,16.1,23.1,8.9
2006/4/30,15.8,20.5,12.1
2006/5/1,12.5,14.1,10.5
