ダウンロードした時刻：2017/07/24 15:42:50

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,8.8,10.4,6.1
1990/1/2,11.3,13.7,8.9
1990/1/3,9.6,13.6,5.7
1990/1/4,7.5,10.9,4.2
1990/1/5,9.9,11.9,6.9
1990/1/6,12.3,14.8,10.5
1990/1/7,8.8,10.6,6.3
1990/1/8,9.7,13.0,6.3
1990/1/9,13.5,16.0,11.3
1990/1/10,17.2,18.6,13.9
1990/1/11,14.0,17.8,12.7
1990/1/12,14.7,16.4,13.5
1990/1/13,12.4,15.5,8.1
1990/1/14,9.3,11.6,6.5
1990/1/15,9.8,12.2,7.9
1990/1/16,8.9,11.7,6.8
1990/1/17,8.5,11.9,5.1
1990/1/18,14.0,16.4,4.9
1990/1/19,16.5,18.8,12.1
1990/1/20,11.0,12.4,9.4
1990/1/21,9.0,10.4,7.6
1990/1/22,11.4,13.4,7.8
1990/1/23,8.6,12.9,6.4
1990/1/24,6.2,8.3,4.5
1990/1/25,5.9,7.3,4.6
1990/1/26,6.4,8.3,5.5
1990/1/27,6.7,9.2,5.0
1990/1/28,6.8,9.6,4.7
1990/1/29,13.5,17.1,6.4
1990/1/30,12.7,16.8,10.4
1990/1/31,12.6,13.7,11.4
1990/2/1,10.8,14.1,7.3
1990/2/2,8.9,11.4,6.8
1990/2/3,11.7,15.9,5.2
1990/2/4,12.2,15.8,11.3
1990/2/5,11.0,13.0,9.3
1990/2/6,10.5,12.3,9.2
1990/2/7,11.2,11.8,9.9
1990/2/8,11.8,15.3,9.8
1990/2/9,11.0,12.3,9.3
1990/2/10,13.5,16.0,10.2
1990/2/11,17.3,18.6,15.3
1990/2/12,13.0,15.3,10.9
1990/2/13,10.4,12.7,8.8
1990/2/14,12.4,15.7,8.9
1990/2/15,12.4,14.3,10.9
1990/2/16,11.4,14.8,8.8
1990/2/17,10.8,13.7,9.2
1990/2/18,12.2,16.8,7.1
1990/2/19,14.9,17.6,11.3
1990/2/20,16.3,17.6,14.9
1990/2/21,13.9,16.8,10.8
1990/2/22,14.1,18.8,9.8
1990/2/23,16.4,18.3,13.1
1990/2/24,16.5,18.1,13.9
1990/2/25,15.4,17.9,13.3
1990/2/26,14.4,15.7,13.7
1990/2/27,13.4,14.9,11.7
1990/2/28,12.9,15.6,11.5
1990/3/1,13.4,14.5,12.4
1990/3/2,14.0,15.3,12.6
1990/3/3,14.9,16.2,12.7
1990/3/4,13.7,16.5,11.2
1990/3/5,12.6,15.4,11.1
1990/3/6,12.5,15.5,11.0
1990/3/7,12.5,16.1,8.6
1990/3/8,8.4,10.7,4.7
1990/3/9,11.4,15.0,9.4
1990/3/10,11.7,15.2,8.1
1990/3/11,15.1,18.1,7.9
1990/3/12,15.1,19.0,8.7
1990/3/13,9.8,12.3,7.4
1990/3/14,12.7,15.5,6.9
1990/3/15,15.7,18.6,12.4
1990/3/16,13.1,16.5,10.8
1990/3/17,12.8,16.3,9.1
1990/3/18,13.0,17.0,11.0
1990/3/19,11.6,16.0,8.0
1990/3/20,15.4,18.6,12.6
1990/3/21,14.4,18.1,11.8
1990/3/22,14.6,17.0,11.3
1990/3/23,16.3,19.5,11.8
1990/3/24,17.7,19.3,15.3
1990/3/25,11.6,15.6,10.6
1990/3/26,10.2,13.4,7.6
1990/3/27,12.0,15.1,8.8
1990/3/28,13.9,17.5,10.8
1990/3/29,15.6,18.4,12.2
1990/3/30,14.4,16.6,13.3
1990/3/31,16.3,17.5,14.6
1990/4/1,16.8,20.4,14.8
1990/4/2,15.3,18.7,13.1
1990/4/3,16.1,20.8,10.7
1990/4/4,16.5,18.6,15.0
1990/4/5,13.1,17.1,10.7
1990/4/6,13.7,17.1,10.6
1990/4/7,15.7,18.4,10.9
1990/4/8,16.5,18.5,14.2
1990/4/9,15.8,19.0,13.6
1990/4/10,17.3,21.0,14.7
1990/4/11,16.9,20.9,13.4
1990/4/12,16.7,19.4,13.1
1990/4/13,17.7,19.4,15.9
1990/4/14,18.1,19.5,15.9
1990/4/15,16.7,19.6,15.0
1990/4/16,14.0,18.0,10.7
1990/4/17,14.1,16.1,10.3
1990/4/18,14.0,17.8,10.7
1990/4/19,12.5,16.4,10.4
1990/4/20,14.2,15.4,12.2
1990/4/21,16.8,20.5,14.1
1990/4/22,18.5,19.9,16.7
1990/4/23,18.7,20.9,16.0
1990/4/24,16.3,20.5,13.8
1990/4/25,16.6,19.1,13.2
1990/4/26,17.2,19.5,14.6
1990/4/27,17.2,21.3,12.6
1990/4/28,18.2,22.8,14.2
1990/4/29,18.2,20.7,15.9
1990/4/30,16.1,19.5,13.0
1990/5/1,15.1,18.8,11.4
