ダウンロードした時刻：2017/07/24 15:47:07

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,6.6,12.9,0.7
1990/1/2,7.8,10.2,6.2
1990/1/3,5.8,7.9,4.6
1990/1/4,5.0,8.1,1.8
1990/1/5,7.5,11.7,2.8
1990/1/6,8.1,11.2,6.2
1990/1/7,7.7,11.0,3.2
1990/1/8,9.5,13.0,3.2
1990/1/9,15.2,18.9,11.3
1990/1/10,12.7,16.1,10.3
1990/1/11,11.3,14.2,9.0
1990/1/12,9.4,11.8,7.8
1990/1/13,5.4,7.8,1.8
1990/1/14,6.3,8.3,1.7
1990/1/15,6.0,8.7,3.8
1990/1/16,6.6,9.3,3.0
1990/1/17,5.8,11.4,-0.2
1990/1/18,12.7,17.7,6.0
1990/1/19,8.5,11.0,6.3
1990/1/20,4.1,6.3,3.3
1990/1/21,4.8,8.5,0.5
1990/1/22,4.4,10.8,1.1
1990/1/23,1.6,3.7,0.6
1990/1/24,1.7,4.7,-0.7
1990/1/25,1.2,2.9,-0.9
1990/1/26,2.5,5.6,-1.5
1990/1/27,5.4,9.1,0.3
1990/1/28,9.4,15.1,2.6
1990/1/29,14.6,17.9,11.5
1990/1/30,11.6,13.9,9.7
1990/1/31,8.3,10.3,6.7
1990/2/1,6.5,8.1,4.1
1990/2/2,8.2,11.9,5.2
1990/2/3,8.3,9.3,5.4
1990/2/4,9.4,12.0,7.5
1990/2/5,10.3,13.5,7.9
1990/2/6,9.2,12.5,5.5
1990/2/7,9.9,13.6,3.8
1990/2/8,10.4,12.7,8.8
1990/2/9,10.4,14.9,5.5
1990/2/10,14.2,18.2,5.0
1990/2/11,10.4,13.9,8.8
1990/2/12,9.8,12.1,7.8
1990/2/13,8.7,12.5,1.6
1990/2/14,9.9,11.9,7.9
1990/2/15,11.9,14.9,9.1
1990/2/16,11.2,14.5,9.7
1990/2/17,10.0,14.1,6.0
1990/2/18,14.1,15.7,6.6
1990/2/19,14.4,17.2,11.6
1990/2/20,10.4,13.8,6.3
1990/2/21,11.6,15.0,5.0
1990/2/22,15.9,17.6,13.4
1990/2/23,14.8,17.3,12.5
1990/2/24,11.9,13.4,11.1
1990/2/25,9.3,11.5,7.5
1990/2/26,9.3,11.6,8.2
1990/2/27,11.4,14.6,9.2
1990/2/28,10.2,12.5,9.0
1990/3/1,11.2,12.9,9.2
1990/3/2,11.4,13.8,9.9
1990/3/3,10.8,13.8,8.6
1990/3/4,10.2,14.0,6.6
1990/3/5,9.6,12.3,8.3
1990/3/6,10.1,13.7,8.1
1990/3/7,9.7,12.2,5.9
1990/3/8,7.5,12.3,2.4
1990/3/9,9.4,15.7,1.8
1990/3/10,10.6,17.5,3.6
1990/3/11,13.8,17.9,6.1
1990/3/12,9.8,15.1,7.4
1990/3/13,8.7,14.3,3.4
1990/3/14,12.6,16.8,4.3
1990/3/15,12.6,14.5,10.6
1990/3/16,10.0,12.5,6.3
1990/3/17,11.0,15.8,4.4
1990/3/18,8.8,11.7,3.6
1990/3/19,9.2,16.2,1.8
1990/3/20,10.9,17.6,4.0
1990/3/21,12.6,19.3,6.0
1990/3/22,14.4,20.5,6.3
1990/3/23,17.0,18.1,12.7
1990/3/24,16.6,20.2,12.0
1990/3/25,11.4,13.6,9.6
1990/3/26,11.2,15.9,7.1
1990/3/27,13.9,18.4,5.9
1990/3/28,16.5,19.4,14.4
1990/3/29,14.0,15.9,13.0
1990/3/30,13.7,17.1,11.2
1990/3/31,13.8,18.3,10.2
1990/4/1,12.8,16.5,8.8
1990/4/2,13.7,20.1,6.9
1990/4/3,15.1,19.0,9.0
1990/4/4,10.0,14.3,8.3
1990/4/5,10.0,12.6,7.3
1990/4/6,12.2,16.8,4.3
1990/4/7,15.9,17.4,13.0
1990/4/8,13.0,16.3,7.8
1990/4/9,14.2,20.4,6.8
1990/4/10,13.6,16.6,11.4
1990/4/11,16.1,18.6,14.0
1990/4/12,17.2,19.4,14.6
1990/4/13,12.7,14.8,9.1
1990/4/14,13.0,18.2,7.1
1990/4/15,15.4,20.1,9.9
1990/4/16,13.4,15.2,11.9
1990/4/17,12.9,17.1,10.0
1990/4/18,12.1,16.0,7.9
1990/4/19,13.7,16.8,6.3
1990/4/20,14.3,15.5,12.9
1990/4/21,17.4,20.6,14.6
1990/4/22,16.4,19.9,13.2
1990/4/23,14.9,18.3,11.4
1990/4/24,11.5,14.8,7.0
1990/4/25,12.8,17.7,5.6
1990/4/26,15.5,20.5,9.1
1990/4/27,15.9,22.1,10.7
1990/4/28,19.0,23.2,12.2
1990/4/29,19.0,24.0,15.2
1990/4/30,17.6,22.6,12.7
1990/5/1,17.6,21.5,13.9
