ダウンロードした時刻：2017/07/24 15:44:09

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,4.3,10.1,-0.3
1990/1/2,4.4,9.1,2.0
1990/1/3,3.4,8.3,0.3
1990/1/4,3.5,6.8,1.1
1990/1/5,5.1,9.6,-0.4
1990/1/6,6.7,9.6,3.8
1990/1/7,5.5,9.8,2.7
1990/1/8,5.5,10.9,0.2
1990/1/9,6.6,8.2,4.7
1990/1/10,10.4,17.1,7.9
1990/1/11,8.9,12.7,6.0
1990/1/12,8.1,11.6,4.9
1990/1/13,5.9,8.4,3.8
1990/1/14,4.6,9.8,1.5
1990/1/15,3.8,7.0,1.1
1990/1/16,5.4,10.4,1.8
1990/1/17,5.6,11.1,0.9
1990/1/18,7.6,12.0,1.9
1990/1/19,8.6,12.8,6.1
1990/1/20,4.9,8.5,3.0
1990/1/21,2.8,8.0,-0.7
1990/1/22,4.3,10.3,-0.7
1990/1/23,2.0,6.2,-1.8
1990/1/24,-0.9,3.6,-2.6
1990/1/25,-0.7,4.2,-3.9
1990/1/26,0.3,5.4,-4.6
1990/1/27,1.8,5.7,-0.5
1990/1/28,3.5,8.7,-1.5
1990/1/29,6.3,10.0,2.7
1990/1/30,6.9,9.7,4.8
1990/1/31,2.4,4.8,1.3
1990/2/1,4.7,6.7,2.9
1990/2/2,5.3,10.8,0.3
1990/2/3,5.2,7.0,3.3
1990/2/4,7.2,9.6,5.6
1990/2/5,7.9,14.1,3.1
1990/2/6,6.9,12.0,4.0
1990/2/7,8.6,14.6,3.9
1990/2/8,6.7,9.5,4.4
1990/2/9,7.4,14.1,3.9
1990/2/10,8.0,11.6,2.9
1990/2/11,12.0,16.4,5.5
1990/2/12,6.5,11.1,3.4
1990/2/13,6.1,11.1,0.8
1990/2/14,6.2,6.9,5.1
1990/2/15,8.7,13.1,4.8
1990/2/16,8.5,13.6,5.1
1990/2/17,8.4,15.2,2.8
1990/2/18,10.0,13.7,5.6
1990/2/19,11.0,14.3,8.6
1990/2/20,12.5,16.6,8.0
1990/2/21,11.0,16.8,5.2
1990/2/22,10.4,14.8,7.7
1990/2/23,12.3,13.9,10.6
1990/2/24,10.9,12.8,9.4
1990/2/25,10.1,12.3,8.0
1990/2/26,10.4,15.6,7.4
1990/2/27,9.0,13.7,5.6
1990/2/28,7.7,11.2,4.1
1990/3/1,7.9,9.4,6.1
1990/3/2,10.0,12.1,8.2
1990/3/3,9.3,11.5,7.4
1990/3/4,8.0,14.4,3.0
1990/3/5,7.6,11.8,3.4
1990/3/6,8.6,13.8,2.9
1990/3/7,7.1,12.4,2.2
1990/3/8,6.2,12.4,1.1
1990/3/9,7.4,13.8,0.7
1990/3/10,9.6,16.2,2.4
1990/3/11,11.1,15.3,4.2
1990/3/12,10.1,14.3,4.5
1990/3/13,7.4,14.4,1.4
1990/3/14,9.2,13.9,3.7
1990/3/15,12.6,19.0,8.2
1990/3/16,11.0,16.0,6.7
1990/3/17,9.9,14.3,4.4
1990/3/18,8.9,13.4,5.5
1990/3/19,8.5,15.1,1.4
1990/3/20,11.7,17.8,4.8
1990/3/21,12.3,18.2,6.8
1990/3/22,12.8,18.3,6.1
1990/3/23,16.2,21.5,10.7
1990/3/24,14.1,18.2,10.1
1990/3/25,9.4,14.2,5.8
1990/3/26,9.5,16.9,3.4
1990/3/27,11.3,16.7,3.7
1990/3/28,10.6,12.8,10.0
1990/3/29,13.5,18.2,10.3
1990/3/30,14.1,18.9,7.8
1990/3/31,14.4,17.9,11.8
1990/4/1,14.8,19.7,9.5
1990/4/2,16.2,24.0,9.4
1990/4/3,15.1,19.8,9.4
1990/4/4,13.5,19.7,7.7
1990/4/5,9.0,14.4,5.4
1990/4/6,12.0,18.7,4.0
1990/4/7,11.2,12.9,8.7
1990/4/8,14.8,20.2,11.7
1990/4/9,14.1,20.3,6.5
1990/4/10,14.8,20.1,11.1
1990/4/11,16.4,23.1,10.0
1990/4/12,15.9,19.5,13.2
1990/4/13,16.3,20.4,13.4
1990/4/14,13.5,17.8,9.9
1990/4/15,13.0,19.0,7.0
1990/4/16,11.9,18.2,6.7
1990/4/17,12.0,16.6,8.7
1990/4/18,11.7,17.3,7.9
1990/4/19,12.0,18.6,5.1
1990/4/20,11.7,13.2,10.3
1990/4/21,15.2,20.5,10.7
1990/4/22,15.7,17.6,14.5
1990/4/23,15.1,17.6,12.3
1990/4/24,13.5,18.2,7.8
1990/4/25,12.8,18.8,4.1
1990/4/26,17.6,22.8,13.0
1990/4/27,18.7,24.6,11.7
1990/4/28,20.1,24.9,16.8
1990/4/29,18.2,24.3,13.0
1990/4/30,16.4,22.5,9.6
1990/5/1,17.1,23.7,11.6
