ダウンロードした時刻：2017/07/24 15:40:01

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,2.7,6.8,-0.6
1983/1/2,1.8,7.4,-2.4
1983/1/3,2.5,7.8,-2.6
1983/1/4,2.6,7.8,-1.1
1983/1/5,4.7,9.0,-0.3
1983/1/6,6.8,7.9,5.4
1983/1/7,5.9,8.0,4.8
1983/1/8,8.2,15.6,3.7
1983/1/9,4.8,9.0,1.4
1983/1/10,0.6,6.6,-2.2
1983/1/11,1.2,6.4,-4.5
1983/1/12,3.3,10.0,-2.3
1983/1/13,4.7,10.2,0.0
1983/1/14,2.4,6.6,-1.0
1983/1/15,2.4,6.2,-1.1
1983/1/16,3.0,9.6,-1.9
1983/1/17,5.2,11.3,-1.0
1983/1/18,2.2,4.4,0.5
1983/1/19,3.2,7.6,0.0
1983/1/20,1.5,5.6,-1.8
1983/1/21,0.4,5.0,-3.9
1983/1/22,-0.7,3.2,-3.2
1983/1/23,0.3,6.0,-4.3
1983/1/24,2.4,10.4,-3.8
1983/1/25,4.3,11.1,-0.9
1983/1/26,5.5,10.2,0.6
1983/1/27,5.0,10.9,-0.4
1983/1/28,6.6,14.1,1.2
1983/1/29,7.9,14.6,1.1
1983/1/30,7.2,11.9,3.3
1983/1/31,3.4,7.5,0.1
1983/2/1,3.1,7.9,-2.3
1983/2/2,4.2,5.3,3.2
1983/2/3,4.4,8.6,-0.1
1983/2/4,2.4,7.7,-1.6
1983/2/5,3.9,11.5,-2.2
1983/2/6,6.1,14.1,0.9
1983/2/7,3.8,7.8,1.0
1983/2/8,2.2,6.6,-1.2
1983/2/9,2.3,8.7,-2.6
1983/2/10,2.5,6.8,-1.1
1983/2/11,1.6,7.1,-3.7
1983/2/12,1.8,9.0,-2.5
1983/2/13,-1.8,3.3,-5.9
1983/2/14,1.2,6.5,-4.0
1983/2/15,3.2,9.9,-2.4
1983/2/16,5.7,11.5,-1.1
1983/2/17,1.5,4.9,0.5
1983/2/18,3.8,6.7,1.3
1983/2/19,3.1,8.3,-0.8
1983/2/20,2.2,9.1,-2.5
1983/2/21,1.3,7.0,-3.4
1983/2/22,2.2,6.9,-3.5
1983/2/23,4.8,11.2,-1.9
1983/2/24,2.2,4.9,0.6
1983/2/25,2.8,8.7,-1.8
1983/2/26,2.6,7.4,-1.3
1983/2/27,4.2,9.2,-0.8
1983/2/28,5.2,10.7,-0.5
1983/3/1,8.9,15.9,0.0
1983/3/2,6.0,8.6,4.9
1983/3/3,7.7,13.4,3.0
1983/3/4,5.1,9.9,2.1
1983/3/5,3.6,8.6,0.7
1983/3/6,3.8,12.4,-2.0
1983/3/7,2.9,8.8,-1.8
1983/3/8,2.1,7.0,-1.2
1983/3/9,4.5,10.9,-2.8
1983/3/10,4.5,6.7,3.3
1983/3/11,8.6,13.6,3.0
1983/3/12,6.5,10.9,0.5
1983/3/13,6.4,8.2,5.1
1983/3/14,3.7,8.1,0.0
1983/3/15,5.6,11.7,-1.0
1983/3/16,6.1,9.6,2.0
1983/3/17,6.8,16.6,1.8
1983/3/18,3.2,6.9,0.8
1983/3/19,5.4,11.9,-1.3
1983/3/20,7.6,13.8,0.6
1983/3/21,6.9,11.2,3.4
1983/3/22,11.9,19.1,4.2
1983/3/23,10.5,14.0,6.2
1983/3/24,10.4,16.1,7.2
1983/3/25,8.1,13.7,4.7
1983/3/26,7.6,14.1,1.3
1983/3/27,5.0,6.3,3.6
1983/3/28,9.2,15.0,3.9
1983/3/29,8.5,10.8,6.3
1983/3/30,8.0,10.8,5.5
1983/3/31,9.7,14.6,4.4
1983/4/1,8.5,12.4,5.2
1983/4/2,12.6,17.6,7.4
1983/4/3,12.6,19.6,5.3
1983/4/4,11.9,18.8,8.3
1983/4/5,12.6,19.2,6.2
1983/4/6,13.7,21.0,7.0
1983/4/7,14.7,21.0,8.2
1983/4/8,15.4,21.4,11.3
1983/4/9,12.8,18.4,7.6
1983/4/10,11.2,13.4,9.6
1983/4/11,17.3,23.5,10.8
1983/4/12,12.6,15.6,10.2
1983/4/13,13.7,21.5,7.0
1983/4/14,14.1,19.7,7.7
1983/4/15,12.9,15.0,11.1
1983/4/16,14.0,18.6,9.2
1983/4/17,10.7,13.0,8.7
1983/4/18,14.1,19.5,10.3
1983/4/19,13.1,15.3,11.2
1983/4/20,15.2,21.7,10.5
1983/4/21,12.4,17.1,4.9
1983/4/22,11.9,15.5,9.4
1983/4/23,16.5,20.9,12.2
1983/4/24,17.8,25.7,10.3
1983/4/25,20.4,28.6,12.9
1983/4/26,20.6,28.8,12.5
1983/4/27,20.9,32.1,13.8
1983/4/28,18.4,22.6,15.4
1983/4/29,19.3,23.9,14.5
1983/4/30,15.4,19.8,13.1
1983/5/1,13.2,15.8,11.2
