ダウンロードした時刻：2017/07/24 15:46:46

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,8.2,11.6,6.0
1992/1/2,9.1,14.1,5.6
1992/1/3,7.7,11.6,4.3
1992/1/4,5.5,12.0,1.0
1992/1/5,3.9,6.6,0.4
1992/1/6,9.2,12.1,6.2
1992/1/7,9.9,15.1,5.6
1992/1/8,7.6,11.3,2.8
1992/1/9,8.8,13.6,5.8
1992/1/10,7.2,10.6,4.6
1992/1/11,6.6,12.8,0.4
1992/1/12,7.3,13.4,2.3
1992/1/13,6.5,8.9,3.5
1992/1/14,5.8,7.9,4.1
1992/1/15,5.3,9.5,1.9
1992/1/16,3.3,5.8,0.1
1992/1/17,5.5,7.8,4.3
1992/1/18,4.2,8.2,1.6
1992/1/19,4.3,10.1,-0.3
1992/1/20,5.0,11.5,-1.1
1992/1/21,7.0,12.1,2.9
1992/1/22,6.9,11.2,4.4
1992/1/23,5.4,7.6,1.2
1992/1/24,5.1,10.9,0.8
1992/1/25,6.9,12.9,2.0
1992/1/26,8.7,14.8,4.0
1992/1/27,7.0,14.3,1.9
1992/1/28,7.5,14.2,1.8
1992/1/29,10.9,16.1,6.0
1992/1/30,10.4,11.6,8.9
1992/1/31,7.6,9.8,3.7
1992/2/1,3.4,6.5,0.8
1992/2/2,4.4,9.4,-1.1
1992/2/3,9.6,13.2,5.9
1992/2/4,8.6,11.0,4.2
1992/2/5,7.0,13.7,2.6
1992/2/6,7.1,13.2,2.9
1992/2/7,6.0,9.5,2.9
1992/2/8,4.9,8.6,1.1
1992/2/9,3.7,9.0,-0.2
1992/2/10,4.8,10.9,0.7
1992/2/11,5.5,12.2,-0.3
1992/2/12,6.5,12.9,1.6
1992/2/13,5.6,11.8,1.5
1992/2/14,4.8,10.3,-0.3
1992/2/15,5.4,8.4,1.8
1992/2/16,4.7,9.2,0.0
1992/2/17,4.2,10.3,-2.0
1992/2/18,6.8,13.4,1.6
1992/2/19,6.5,11.9,2.3
1992/2/20,5.1,9.4,2.6
1992/2/21,4.3,9.6,0.9
1992/2/22,5.1,10.5,1.2
1992/2/23,5.5,11.5,-0.8
1992/2/24,6.1,9.7,3.8
1992/2/25,6.5,13.1,1.8
1992/2/26,6.5,13.8,0.2
1992/2/27,10.5,17.6,2.8
1992/2/28,14.6,18.5,12.3
1992/2/29,16.4,19.7,12.6
1992/3/1,16.4,20.6,13.0
1992/3/2,11.3,14.6,8.0
1992/3/3,8.7,12.6,5.6
1992/3/4,8.1,11.3,5.5
1992/3/5,9.8,11.0,8.1
1992/3/6,7.6,10.0,4.2
1992/3/7,7.1,12.5,2.9
1992/3/8,6.7,10.9,1.7
1992/3/9,10.5,15.0,7.6
1992/3/10,11.5,18.3,5.7
1992/3/11,11.2,18.4,4.4
1992/3/12,12.0,18.9,6.4
1992/3/13,12.8,18.8,6.3
1992/3/14,15.1,18.8,11.7
1992/3/15,15.3,18.7,11.3
1992/3/16,11.1,12.7,8.5
1992/3/17,9.7,14.9,6.9
1992/3/18,9.2,10.8,7.6
1992/3/19,10.2,12.6,7.3
1992/3/20,9.8,10.9,8.9
1992/3/21,9.9,13.5,7.5
1992/3/22,11.0,17.2,5.6
1992/3/23,11.7,14.8,8.4
1992/3/24,11.2,12.8,10.0
1992/3/25,11.7,17.4,6.7
1992/3/26,11.0,12.2,9.0
1992/3/27,9.9,11.6,8.3
1992/3/28,11.2,12.8,9.7
1992/3/29,12.8,14.1,11.2
1992/3/30,14.5,20.1,10.9
1992/3/31,14.1,19.5,8.9
1992/4/1,14.0,17.5,10.6
1992/4/2,13.3,19.9,8.5
1992/4/3,14.0,19.7,7.2
1992/4/4,14.5,17.4,12.1
1992/4/5,16.2,22.4,11.6
1992/4/6,15.6,23.2,8.8
1992/4/7,16.5,23.2,12.2
1992/4/8,18.0,25.1,10.4
1992/4/9,18.7,24.9,13.5
1992/4/10,16.8,19.9,13.2
1992/4/11,13.2,16.6,10.3
1992/4/12,11.3,15.5,7.5
1992/4/13,10.6,17.5,4.7
1992/4/14,11.5,17.7,4.9
1992/4/15,11.6,20.0,7.5
1992/4/16,10.3,15.1,6.1
1992/4/17,11.4,17.9,4.3
1992/4/18,16.9,22.9,10.7
1992/4/19,17.8,24.2,11.5
1992/4/20,16.1,25.1,7.6
1992/4/21,18.3,25.5,10.5
1992/4/22,18.4,23.6,12.7
1992/4/23,17.1,25.0,9.4
1992/4/24,16.8,19.4,14.6
1992/4/25,16.6,23.4,9.9
1992/4/26,16.5,23.2,10.7
1992/4/27,18.1,24.7,12.6
1992/4/28,18.9,25.6,12.6
1992/4/29,18.7,26.6,12.2
1992/4/30,16.3,19.7,12.2
1992/5/1,15.3,21.1,10.6
