ダウンロードした時刻：2017/07/24 15:44:06

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/1/1,3.2,8.0,-0.5
2013/1/2,6.0,10.4,2.9
2013/1/3,2.0,4.9,-0.2
2013/1/4,0.3,2.2,-3.0
2013/1/5,-0.3,3.7,-3.7
2013/1/6,1.5,4.6,-2.9
2013/1/7,3.8,7.2,1.6
2013/1/8,3.9,7.8,-0.2
2013/1/9,3.6,8.0,0.5
2013/1/10,3.0,6.1,1.4
2013/1/11,3.1,6.5,0.2
2013/1/12,2.3,6.2,-1.2
2013/1/13,3.9,7.3,-1.1
2013/1/14,5.4,7.1,2.9
2013/1/15,3.5,5.4,2.4
2013/1/16,4.6,7.3,2.2
2013/1/17,3.6,5.8,0.4
2013/1/18,0.6,2.1,-1.0
2013/1/19,2.9,6.5,-1.2
2013/1/20,4.7,6.3,1.8
2013/1/21,3.6,7.3,-0.8
2013/1/22,6.0,9.0,3.6
2013/1/23,5.8,8.6,3.0
2013/1/24,6.3,10.9,2.2
2013/1/25,3.8,7.0,0.4
2013/1/26,0.9,4.2,-0.9
2013/1/27,0.5,2.7,-1.4
2013/1/28,1.5,3.7,-1.6
2013/1/29,3.6,6.4,1.5
2013/1/30,6.0,8.8,3.1
2013/1/31,3.9,9.0,0.0
2013/2/1,5.3,10.4,-0.9
2013/2/2,8.6,10.8,7.4
2013/2/3,6.5,8.8,5.1
2013/2/4,5.6,8.4,3.5
2013/2/5,5.4,7.4,4.2
2013/2/6,4.4,8.2,2.1
2013/2/7,4.2,10.5,0.8
2013/2/8,-0.3,1.7,-2.1
2013/2/9,0.7,3.6,-1.1
2013/2/10,2.9,6.4,-2.3
2013/2/11,2.5,5.2,1.1
2013/2/12,2.5,5.3,0.1
2013/2/13,3.8,6.4,0.7
2013/2/14,4.7,9.0,1.8
2013/2/15,3.9,5.8,2.0
2013/2/16,0.5,3.1,-0.9
2013/2/17,1.7,5.0,-0.7
2013/2/18,3.6,6.5,1.3
2013/2/19,3.2,5.0,0.9
2013/2/20,1.3,4.5,-1.0
2013/2/21,0.8,2.9,-1.1
2013/2/22,3.0,6.2,0.4
2013/2/23,2.1,5.1,0.6
2013/2/24,1.2,3.7,-0.6
2013/2/25,1.3,4.4,-0.8
2013/2/26,2.6,6.5,-2.4
2013/2/27,6.1,10.3,3.1
2013/2/28,7.9,13.1,3.5
2013/3/1,7.0,12.2,2.8
2013/3/2,3.4,6.1,1.2
2013/3/3,3.8,6.2,1.6
2013/3/4,4.4,9.1,-1.4
2013/3/5,5.4,9.8,2.0
2013/3/6,6.2,13.0,-0.3
2013/3/7,9.1,18.5,2.1
2013/3/8,12.2,17.9,7.7
2013/3/9,12.6,18.4,7.3
2013/3/10,7.3,16.4,2.2
2013/3/11,4.1,8.0,0.5
2013/3/12,5.6,14.9,-1.9
2013/3/13,10.5,19.8,5.4
2013/3/14,4.6,6.5,2.4
2013/3/15,4.9,10.7,-1.4
2013/3/16,7.7,14.6,1.4
2013/3/17,9.9,16.9,2.9
2013/3/18,14.8,19.8,10.4
2013/3/19,13.2,17.5,10.1
2013/3/20,9.5,12.4,6.6
2013/3/21,4.8,7.6,1.1
2013/3/22,6.6,13.3,-0.7
2013/3/23,8.1,10.8,3.9
2013/3/24,7.9,14.2,2.2
2013/3/25,8.2,11.6,4.6
2013/3/26,6.1,9.6,2.7
2013/3/27,6.7,11.6,1.7
2013/3/28,10.6,13.1,8.4
2013/3/29,10.6,16.1,8.1
2013/3/30,8.8,12.9,6.7
2013/3/31,8.8,13.4,6.4
2013/4/1,10.5,15.6,4.8
2013/4/2,11.7,16.2,8.0
2013/4/3,10.1,11.2,9.4
2013/4/4,12.6,18.1,7.4
2013/4/5,14.5,23.1,6.5
2013/4/6,16.5,18.6,12.5
2013/4/7,10.2,16.3,5.3
2013/4/8,10.0,14.4,6.2
2013/4/9,10.6,20.3,6.4
2013/4/10,8.6,13.2,5.1
2013/4/11,7.3,13.5,4.0
2013/4/12,6.9,11.5,2.4
2013/4/13,9.1,15.0,3.2
2013/4/14,13.9,21.2,5.4
2013/4/15,13.1,19.5,9.1
2013/4/16,14.5,24.0,7.7
2013/4/17,16.7,22.7,12.1
2013/4/18,14.9,23.1,10.8
2013/4/19,10.0,12.8,7.5
2013/4/20,8.2,12.9,5.0
2013/4/21,8.3,12.1,6.1
2013/4/22,8.7,13.7,2.4
2013/4/23,11.2,18.7,3.4
2013/4/24,13.6,16.1,11.0
2013/4/25,15.3,21.8,8.2
2013/4/26,11.5,16.4,8.2
2013/4/27,11.6,16.6,7.2
2013/4/28,12.5,17.4,7.4
2013/4/29,14.9,23.7,7.0
2013/4/30,14.2,17.9,11.4
2013/5/1,10.7,14.2,8.5
