ダウンロードした時刻：2017/07/24 15:37:52

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,3.7,11.1,0.3
1989/1/2,4.8,8.3,1.6
1989/1/3,3.1,8.1,-1.8
1989/1/4,1.4,3.5,-1.2
1989/1/5,2.7,5.3,-1.8
1989/1/6,5.4,9.8,1.8
1989/1/7,4.0,7.9,-1.3
1989/1/8,6.2,7.8,4.2
1989/1/9,5.9,7.5,3.8
1989/1/10,6.4,8.5,4.5
1989/1/11,7.4,11.8,3.9
1989/1/12,4.7,7.5,2.0
1989/1/13,1.7,4.1,0.0
1989/1/14,1.7,5.7,-1.0
1989/1/15,-1.2,2.0,-3.3
1989/1/16,0.6,4.8,-4.5
1989/1/17,3.5,7.8,0.4
1989/1/18,3.1,7.4,-1.8
1989/1/19,3.3,5.0,1.1
1989/1/20,5.1,6.5,3.8
1989/1/21,5.6,7.6,3.6
1989/1/22,1.7,4.6,-1.0
1989/1/23,-0.4,3.8,-2.5
1989/1/24,1.4,2.6,-0.1
1989/1/25,1.5,3.4,-0.9
1989/1/26,0.7,5.0,-3.9
1989/1/27,3.5,10.4,-1.2
1989/1/28,-1.6,1.2,-4.3
1989/1/29,1.4,4.1,-3.1
1989/1/30,3.3,7.9,-0.9
1989/1/31,4.8,11.8,-3.3
1989/2/1,3.6,9.1,0.7
1989/2/2,1.0,3.5,-1.4
1989/2/3,-1.3,0.1,-2.5
1989/2/4,1.2,4.5,-2.9
1989/2/5,4.3,7.6,1.8
1989/2/6,5.2,9.8,2.0
1989/2/7,5.2,9.8,0.7
1989/2/8,4.6,9.1,-1.3
1989/2/9,3.5,5.5,1.2
1989/2/10,3.8,6.0,1.9
1989/2/11,1.5,5.2,-1.7
1989/2/12,1.7,6.3,-2.9
1989/2/13,2.4,6.1,-0.2
1989/2/14,3.9,7.5,-0.8
1989/2/15,5.6,11.0,-2.2
1989/2/16,8.2,12.6,4.9
1989/2/17,5.2,6.3,4.2
1989/2/18,1.4,4.4,0.3
1989/2/19,3.1,8.1,-0.9
1989/2/20,5.7,10.4,-1.3
1989/2/21,5.8,9.5,2.3
1989/2/22,1.5,5.6,-0.7
1989/2/23,1.6,5.7,-2.3
1989/2/24,1.7,3.0,0.2
1989/2/25,1.4,5.5,-0.4
1989/2/26,1.9,4.4,0.2
1989/2/27,2.0,5.1,-2.4
1989/2/28,6.9,10.3,0.7
1989/3/1,7.7,13.9,2.0
1989/3/2,3.6,9.1,-0.9
1989/3/3,6.3,9.1,0.1
1989/3/4,12.0,17.5,8.0
1989/3/5,4.9,8.7,3.4
1989/3/6,4.6,8.8,0.8
1989/3/7,2.8,6.3,-0.6
1989/3/8,2.3,6.7,-0.5
1989/3/9,2.3,5.9,-2.4
1989/3/10,5.0,10.4,-1.5
1989/3/11,7.6,13.8,1.1
1989/3/12,8.0,13.1,2.8
1989/3/13,9.3,14.1,3.6
1989/3/14,11.7,15.8,8.2
1989/3/15,7.8,11.6,4.5
1989/3/16,6.3,10.7,2.5
1989/3/17,4.1,6.9,1.7
1989/3/18,3.7,6.7,1.4
1989/3/19,5.8,10.1,2.6
1989/3/20,7.6,11.7,4.3
1989/3/21,5.1,7.7,2.3
1989/3/22,3.0,5.1,1.0
1989/3/23,4.9,8.3,1.6
1989/3/24,5.6,7.1,4.0
1989/3/25,6.7,13.6,2.8
1989/3/26,7.7,13.0,4.4
1989/3/27,6.2,8.9,2.7
1989/3/28,5.3,6.5,4.2
1989/3/29,8.3,12.8,2.9
1989/3/30,7.1,12.8,2.2
1989/3/31,8.2,12.2,2.3
1989/4/1,11.6,20.7,5.7
1989/4/2,9.2,14.8,4.7
1989/4/3,12.2,20.8,4.3
1989/4/4,8.7,13.4,4.3
1989/4/5,6.8,10.1,1.8
1989/4/6,9.3,16.5,4.0
1989/4/7,9.5,13.4,3.5
1989/4/8,10.0,12.0,7.4
1989/4/9,14.4,18.4,10.4
1989/4/10,9.5,12.1,6.9
1989/4/11,7.9,9.5,5.3
1989/4/12,6.0,7.1,5.0
1989/4/13,11.8,17.9,7.1
1989/4/14,13.2,20.0,5.6
1989/4/15,14.7,19.9,9.8
1989/4/16,13.7,15.4,12.5
1989/4/17,12.9,15.2,10.4
1989/4/18,13.0,18.9,7.3
1989/4/19,15.1,21.6,8.1
1989/4/20,16.3,24.4,8.7
1989/4/21,11.1,15.8,6.3
1989/4/22,12.3,18.0,5.0
1989/4/23,14.8,19.6,11.2
1989/4/24,10.4,12.9,7.0
1989/4/25,9.4,12.3,6.9
1989/4/26,9.6,15.2,4.9
1989/4/27,11.8,17.0,8.5
1989/4/28,8.1,11.9,4.9
1989/4/29,11.5,16.7,6.0
1989/4/30,13.5,18.9,5.6
1989/5/1,14.1,18.1,9.2
