ダウンロードした時刻：2017/07/24 15:45:53

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,7.1,13.0,2.4
1982/1/2,5.4,12.3,0.0
1982/1/3,7.0,12.2,-0.7
1982/1/4,11.0,14.6,7.2
1982/1/5,10.4,14.2,6.0
1982/1/6,6.2,12.4,1.2
1982/1/7,4.6,8.5,0.6
1982/1/8,3.4,9.9,-2.2
1982/1/9,5.6,12.1,-0.3
1982/1/10,6.3,13.1,0.9
1982/1/11,7.8,14.8,0.9
1982/1/12,10.1,17.5,5.7
1982/1/13,5.6,11.5,2.0
1982/1/14,3.5,10.8,-1.6
1982/1/15,4.5,11.2,-1.6
1982/1/16,3.1,8.9,-0.8
1982/1/17,2.4,7.9,-2.1
1982/1/18,3.7,9.3,-0.8
1982/1/19,1.1,6.1,-2.3
1982/1/20,2.0,9.5,-3.8
1982/1/21,4.0,12.0,-3.5
1982/1/22,6.6,13.0,-0.2
1982/1/23,8.0,13.7,2.4
1982/1/24,6.7,10.6,2.1
1982/1/25,6.1,10.0,2.6
1982/1/26,5.1,11.3,0.0
1982/1/27,5.8,11.5,0.3
1982/1/28,3.3,7.6,0.1
1982/1/29,0.7,4.0,-2.1
1982/1/30,2.1,8.0,-2.6
1982/1/31,2.8,7.6,-3.0
1982/2/1,5.2,10.7,0.1
1982/2/2,4.0,9.1,-0.2
1982/2/3,4.6,9.5,-2.2
1982/2/4,6.3,9.0,4.8
1982/2/5,7.1,11.8,1.6
1982/2/6,5.6,10.6,1.6
1982/2/7,4.1,8.7,0.4
1982/2/8,4.5,11.0,0.5
1982/2/9,4.1,11.0,-2.1
1982/2/10,4.0,10.2,-0.8
1982/2/11,5.7,12.6,-1.3
1982/2/12,7.4,10.6,5.2
1982/2/13,7.0,14.8,1.0
1982/2/14,5.4,9.9,2.9
1982/2/15,4.7,11.3,-0.9
1982/2/16,6.8,14.0,-1.0
1982/2/17,6.6,9.7,3.7
1982/2/18,8.3,14.4,0.7
1982/2/19,9.2,11.0,7.3
1982/2/20,14.6,22.1,9.7
1982/2/21,12.2,18.1,8.0
1982/2/22,9.4,15.5,5.0
1982/2/23,10.4,14.5,5.3
1982/2/24,6.3,10.2,4.9
1982/2/25,6.9,12.9,1.8
1982/2/26,6.0,11.6,1.8
1982/2/27,6.4,13.0,-0.9
1982/2/28,7.6,12.6,3.2
1982/3/1,9.6,16.3,6.3
1982/3/2,6.7,10.6,3.0
1982/3/3,6.7,13.0,0.1
1982/3/4,8.6,15.2,1.2
1982/3/5,13.6,17.7,9.9
1982/3/6,11.9,17.6,8.3
1982/3/7,8.0,11.7,5.7
1982/3/8,8.1,12.6,2.3
1982/3/9,8.6,15.6,1.3
1982/3/10,8.9,16.5,1.4
1982/3/11,10.4,17.2,3.0
1982/3/12,9.4,11.7,5.4
1982/3/13,13.6,18.8,9.3
1982/3/14,11.9,17.7,4.5
1982/3/15,15.1,18.1,10.5
1982/3/16,16.4,22.8,11.0
1982/3/17,13.7,19.1,7.7
1982/3/18,13.2,16.7,10.6
1982/3/19,10.7,14.1,7.3
1982/3/20,13.6,18.1,9.0
1982/3/21,14.0,18.8,8.9
1982/3/22,12.8,19.1,5.6
1982/3/23,15.5,21.4,8.0
1982/3/24,13.3,21.1,6.3
1982/3/25,7.7,11.7,5.2
1982/3/26,8.1,14.7,1.8
1982/3/27,9.7,14.6,5.1
1982/3/28,11.3,19.2,4.5
1982/3/29,11.6,18.0,4.0
1982/3/30,14.4,20.0,7.3
1982/3/31,15.1,19.0,10.0
1982/4/1,12.5,18.9,4.8
1982/4/2,14.8,20.9,6.0
1982/4/3,13.1,17.2,8.3
1982/4/4,10.8,14.5,7.5
1982/4/5,12.9,17.2,7.3
1982/4/6,12.3,14.7,10.3
1982/4/7,13.1,15.8,11.0
1982/4/8,16.2,23.7,10.0
1982/4/9,10.4,14.1,7.1
1982/4/10,10.8,16.3,6.2
1982/4/11,11.1,17.5,3.4
1982/4/12,13.3,19.2,5.8
1982/4/13,15.3,19.4,12.1
1982/4/14,14.7,15.7,13.3
1982/4/15,16.8,21.7,11.8
1982/4/16,15.1,23.2,8.5
1982/4/17,13.0,19.2,5.7
1982/4/18,12.0,17.5,7.7
1982/4/19,12.9,20.3,4.8
1982/4/20,14.8,21.0,6.3
1982/4/21,12.4,14.5,10.7
1982/4/22,14.7,20.8,8.2
1982/4/23,15.3,21.4,8.3
1982/4/24,16.6,23.0,10.7
1982/4/25,17.5,24.5,11.2
1982/4/26,17.2,22.0,12.5
1982/4/27,15.9,17.8,14.7
1982/4/28,17.2,22.0,14.3
1982/4/29,18.3,22.2,15.4
1982/4/30,19.4,22.8,17.0
1982/5/1,19.1,21.3,17.4
