ダウンロードした時刻：2017/07/24 15:44:53

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,5.2,7.3,2.2
1995/1/2,4.9,7.8,3.2
1995/1/3,5.8,7.3,3.5
1995/1/4,7.9,9.0,4.8
1995/1/5,5.0,7.7,2.1
1995/1/6,3.3,4.9,1.9
1995/1/7,6.4,9.0,2.3
1995/1/8,8.0,10.9,5.7
1995/1/9,11.2,16.5,6.8
1995/1/10,5.5,10.6,2.9
1995/1/11,4.3,7.1,1.9
1995/1/12,4.6,7.5,2.3
1995/1/13,4.2,8.0,2.1
1995/1/14,2.7,5.0,1.2
1995/1/15,3.8,6.3,0.7
1995/1/16,4.3,7.5,2.6
1995/1/17,3.5,5.9,1.1
1995/1/18,4.6,8.4,-0.1
1995/1/19,5.0,7.0,2.7
1995/1/20,5.1,8.0,2.4
1995/1/21,7.0,10.3,3.3
1995/1/22,9.4,15.3,6.5
1995/1/23,9.2,10.8,6.9
1995/1/24,5.3,7.7,2.8
1995/1/25,4.6,7.7,2.8
1995/1/26,5.0,8.1,1.7
1995/1/27,4.3,7.8,0.9
1995/1/28,4.0,7.6,0.1
1995/1/29,3.3,6.6,0.1
1995/1/30,2.0,5.1,0.2
1995/1/31,1.9,5.6,-0.5
1995/2/1,2.3,5.5,-0.2
1995/2/2,3.6,6.6,0.4
1995/2/3,3.7,7.8,-0.2
1995/2/4,3.9,5.8,1.2
1995/2/5,4.0,7.3,1.1
1995/2/6,3.4,6.9,-0.2
1995/2/7,5.6,9.3,2.3
1995/2/8,8.2,12.8,4.5
1995/2/9,8.2,11.7,4.6
1995/2/10,4.0,6.7,2.0
1995/2/11,4.8,7.9,1.3
1995/2/12,6.2,7.9,4.6
1995/2/13,8.7,11.9,6.8
1995/2/14,7.4,10.8,4.7
1995/2/15,6.5,10.8,2.9
1995/2/16,4.1,9.0,1.7
1995/2/17,3.7,7.9,0.2
1995/2/18,4.9,9.0,0.5
1995/2/19,6.1,9.3,3.5
1995/2/20,5.1,8.7,2.3
1995/2/21,3.4,7.3,0.1
1995/2/22,4.2,8.5,-0.2
1995/2/23,5.3,9.7,1.3
1995/2/24,6.5,10.5,3.5
1995/2/25,5.3,8.3,1.6
1995/2/26,7.2,11.2,5.1
1995/2/27,6.0,9.8,3.1
1995/2/28,5.0,8.4,1.9
1995/3/1,6.2,10.3,4.1
1995/3/2,5.5,8.8,3.5
1995/3/3,4.6,7.6,2.7
1995/3/4,4.0,6.7,1.9
1995/3/5,4.2,8.1,0.4
1995/3/6,7.1,11.2,3.9
1995/3/7,8.2,13.3,5.0
1995/3/8,8.6,15.1,5.5
1995/3/9,8.6,11.7,4.5
1995/3/10,9.4,12.1,6.9
1995/3/11,8.1,11.4,4.5
1995/3/12,7.2,13.6,4.2
1995/3/13,7.4,11.2,4.9
1995/3/14,7.3,11.7,4.0
1995/3/15,8.2,11.9,4.0
1995/3/16,12.0,15.2,9.0
1995/3/17,11.7,15.2,7.4
1995/3/18,7.8,11.2,5.7
1995/3/19,6.5,11.2,2.6
1995/3/20,7.8,12.3,1.8
1995/3/21,12.2,16.2,8.0
1995/3/22,13.1,17.8,8.8
1995/3/23,11.7,15.8,7.6
1995/3/24,12.9,16.3,10.9
1995/3/25,9.1,13.1,5.0
1995/3/26,7.2,11.2,4.4
1995/3/27,9.5,13.9,4.4
1995/3/28,8.3,10.8,6.1
1995/3/29,8.5,12.1,5.0
1995/3/30,10.2,11.9,9.0
1995/3/31,12.6,16.7,9.1
1995/4/1,10.0,12.9,6.4
1995/4/2,8.5,15.3,4.3
1995/4/3,6.7,11.7,2.5
1995/4/4,9.8,14.7,4.8
1995/4/5,12.6,18.0,7.8
1995/4/6,13.8,17.8,11.2
1995/4/7,13.1,18.1,10.0
1995/4/8,13.9,19.5,8.0
1995/4/9,14.3,16.8,12.0
1995/4/10,12.3,16.5,8.5
1995/4/11,9.6,12.1,6.9
1995/4/12,10.8,15.3,6.7
1995/4/13,11.8,17.3,5.5
1995/4/14,11.5,13.9,9.5
1995/4/15,13.5,16.7,11.3
1995/4/16,12.9,15.4,11.6
1995/4/17,15.4,20.8,12.2
1995/4/18,14.3,17.2,12.3
1995/4/19,12.5,17.7,7.4
1995/4/20,10.7,16.1,4.4
1995/4/21,14.0,19.4,7.9
1995/4/22,15.6,19.7,12.6
1995/4/23,18.3,21.4,13.6
1995/4/24,14.7,18.4,11.4
1995/4/25,12.3,13.2,11.3
1995/4/26,14.4,18.7,11.4
1995/4/27,14.3,19.3,9.2
1995/4/28,14.6,16.8,13.0
1995/4/29,15.3,19.4,13.7
1995/4/30,16.4,19.2,14.1
1995/5/1,17.5,21.5,15.0
