ダウンロードした時刻：2017/07/24 15:43:48

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,4.6,9.5,1.6
1985/1/2,4.4,10.3,0.3
1985/1/3,3.8,5.6,1.0
1985/1/4,3.7,7.1,1.1
1985/1/5,2.5,5.6,-0.3
1985/1/6,3.4,6.9,-0.1
1985/1/7,2.9,6.2,-0.4
1985/1/8,2.4,7.7,-2.2
1985/1/9,3.6,10.4,-2.1
1985/1/10,4.9,9.0,2.0
1985/1/11,4.2,9.3,0.0
1985/1/12,4.4,9.2,-0.2
1985/1/13,3.3,6.9,0.3
1985/1/14,-0.2,4.4,-2.8
1985/1/15,0.4,5.5,-3.8
1985/1/16,3.8,9.1,0.0
1985/1/17,2.7,6.6,0.6
1985/1/18,2.0,4.5,-0.3
1985/1/19,4.2,9.9,-2.8
1985/1/20,6.0,10.1,3.4
1985/1/21,3.0,5.7,0.5
1985/1/22,3.6,8.7,-1.2
1985/1/23,5.5,10.7,1.4
1985/1/24,2.9,5.9,-0.6
1985/1/25,2.2,6.4,-0.8
1985/1/26,2.6,7.3,-0.1
1985/1/27,3.8,9.8,-2.6
1985/1/28,4.6,8.3,1.9
1985/1/29,1.3,5.5,-1.8
1985/1/30,-0.9,1.7,-2.8
1985/1/31,0.9,6.5,-4.8
1985/2/1,4.4,8.5,0.5
1985/2/2,6.5,12.1,2.2
1985/2/3,5.9,12.1,0.4
1985/2/4,6.7,12.6,1.3
1985/2/5,6.5,8.9,5.4
1985/2/6,7.2,9.2,5.0
1985/2/7,8.0,14.7,3.2
1985/2/8,7.7,11.6,1.9
1985/2/9,11.2,12.8,9.5
1985/2/10,8.1,12.3,3.3
1985/2/11,5.4,10.4,2.8
1985/2/12,5.9,11.1,0.3
1985/2/13,5.5,11.8,2.7
1985/2/14,2.0,4.9,0.1
1985/2/15,4.1,8.5,-0.8
1985/2/16,4.8,6.9,3.0
1985/2/17,4.8,8.1,1.6
1985/2/18,6.5,10.2,3.5
1985/2/19,6.2,7.7,5.1
1985/2/20,7.4,8.7,6.0
1985/2/21,3.2,7.3,-1.3
1985/2/22,1.3,5.3,-2.2
1985/2/23,2.9,7.3,-0.8
1985/2/24,1.6,5.5,-2.0
1985/2/25,2.7,6.3,0.3
1985/2/26,3.8,8.1,0.4
1985/2/27,6.0,9.9,3.2
1985/2/28,7.7,10.2,4.3
1985/3/1,8.5,11.4,6.4
1985/3/2,6.9,9.8,4.0
1985/3/3,6.4,8.5,3.6
1985/3/4,5.5,10.5,0.4
1985/3/5,6.8,10.9,3.6
1985/3/6,7.0,12.3,2.3
1985/3/7,8.4,14.2,2.9
1985/3/8,11.5,15.7,7.5
1985/3/9,8.8,13.0,5.8
1985/3/10,6.2,9.0,4.1
1985/3/11,5.5,8.0,3.9
1985/3/12,5.7,9.6,2.3
1985/3/13,6.5,11.8,1.6
1985/3/14,7.5,10.5,5.8
1985/3/15,6.5,9.6,3.7
1985/3/16,8.6,15.0,1.2
1985/3/17,9.7,11.5,8.4
1985/3/18,11.2,16.0,8.8
1985/3/19,7.8,9.6,6.7
1985/3/20,10.0,15.1,4.1
1985/3/21,8.6,11.5,5.7
1985/3/22,7.8,13.4,4.2
1985/3/23,7.7,14.5,2.3
1985/3/24,10.4,18.4,1.9
1985/3/25,12.2,15.9,7.0
1985/3/26,12.0,16.3,7.3
1985/3/27,11.6,14.9,7.1
1985/3/28,12.3,18.6,9.0
1985/3/29,11.9,19.1,6.4
1985/3/30,8.0,11.4,5.7
1985/3/31,6.0,10.5,2.8
1985/4/1,7.8,13.7,3.2
1985/4/2,10.0,16.8,2.0
1985/4/3,13.9,16.3,9.1
1985/4/4,14.5,17.3,11.8
1985/4/5,12.2,17.1,8.7
1985/4/6,12.4,18.6,4.8
1985/4/7,12.9,16.4,11.0
1985/4/8,16.2,24.0,11.8
1985/4/9,17.3,27.1,8.6
1985/4/10,17.6,24.1,9.9
1985/4/11,15.0,18.2,13.1
1985/4/12,13.3,15.4,11.1
1985/4/13,14.4,19.6,11.9
1985/4/14,15.7,19.8,11.3
1985/4/15,13.1,15.9,10.7
1985/4/16,11.9,18.7,7.3
1985/4/17,13.4,22.1,4.3
1985/4/18,13.5,19.9,7.9
1985/4/19,15.5,23.2,5.8
1985/4/20,15.8,22.5,11.8
1985/4/21,16.3,24.1,8.1
1985/4/22,16.8,23.2,11.6
1985/4/23,18.0,24.2,14.5
1985/4/24,14.5,18.7,10.1
1985/4/25,16.3,25.4,7.5
1985/4/26,18.0,24.2,10.7
1985/4/27,14.6,21.3,10.6
1985/4/28,14.2,21.6,7.2
1985/4/29,15.6,24.2,7.4
1985/4/30,18.5,27.4,9.6
1985/5/1,19.7,28.4,11.4
