ダウンロードした時刻：2017/07/24 15:45:05

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/1/1,4.3,10.1,-0.3
2013/1/2,8.5,13.6,4.0
2013/1/3,3.5,5.0,2.2
2013/1/4,2.7,5.5,-0.2
2013/1/5,2.8,7.2,-1.7
2013/1/6,5.7,8.8,2.5
2013/1/7,5.0,10.6,0.4
2013/1/8,5.2,10.3,0.7
2013/1/9,5.9,9.7,2.2
2013/1/10,5.5,8.3,3.5
2013/1/11,4.8,7.7,1.6
2013/1/12,5.1,11.1,0.4
2013/1/13,6.6,10.5,1.8
2013/1/14,6.0,8.4,3.0
2013/1/15,5.4,7.3,2.9
2013/1/16,5.0,9.9,-0.4
2013/1/17,5.6,8.2,2.8
2013/1/18,3.0,4.9,1.2
2013/1/19,4.8,9.8,-0.9
2013/1/20,6.7,9.0,3.8
2013/1/21,5.2,9.2,0.5
2013/1/22,8.9,10.6,6.7
2013/1/23,6.9,9.3,4.0
2013/1/24,7.3,12.8,1.2
2013/1/25,5.5,9.5,2.7
2013/1/26,3.9,6.6,1.5
2013/1/27,3.0,6.7,0.2
2013/1/28,4.1,7.2,1.5
2013/1/29,4.6,9.3,-0.1
2013/1/30,6.6,11.0,2.2
2013/1/31,6.8,12.9,1.6
2013/2/1,9.8,15.5,2.7
2013/2/2,15.4,18.9,10.5
2013/2/3,9.3,11.8,7.5
2013/2/4,10.4,16.0,7.2
2013/2/5,7.3,10.3,4.8
2013/2/6,5.9,9.0,4.1
2013/2/7,6.9,11.4,3.7
2013/2/8,2.3,3.8,0.6
2013/2/9,2.9,5.7,0.8
2013/2/10,5.1,9.5,0.0
2013/2/11,5.5,9.2,2.5
2013/2/12,4.3,7.9,0.2
2013/2/13,6.0,8.6,2.6
2013/2/14,6.2,11.7,1.5
2013/2/15,5.4,6.9,3.1
2013/2/16,3.6,5.8,1.8
2013/2/17,3.6,8.0,-1.0
2013/2/18,8.7,16.3,4.6
2013/2/19,3.5,6.9,1.4
2013/2/20,4.1,8.7,-0.3
2013/2/21,5.0,8.5,1.5
2013/2/22,5.1,8.7,2.7
2013/2/23,6.6,9.5,3.0
2013/2/24,5.6,8.8,2.1
2013/2/25,3.7,7.1,0.3
2013/2/26,4.9,8.8,0.6
2013/2/27,8.2,13.6,5.5
2013/2/28,8.7,13.8,4.2
2013/3/1,12.5,19.2,5.8
2013/3/2,5.8,10.2,3.2
2013/3/3,4.8,7.9,2.5
2013/3/4,6.1,11.3,0.2
2013/3/5,8.0,12.5,3.5
2013/3/6,9.7,16.7,2.7
2013/3/7,12.3,19.8,4.0
2013/3/8,16.1,20.9,10.9
2013/3/9,16.6,22.0,10.8
2013/3/10,11.3,21.6,3.6
2013/3/11,6.7,11.5,2.7
2013/3/12,10.0,16.0,1.4
2013/3/13,16.2,21.0,8.2
2013/3/14,6.0,8.3,2.9
2013/3/15,7.1,13.7,0.5
2013/3/16,11.1,16.8,4.4
2013/3/17,13.4,18.5,5.3
2013/3/18,18.8,21.5,16.0
2013/3/19,17.4,21.8,13.3
2013/3/20,14.2,18.9,10.9
2013/3/21,7.8,11.0,5.5
2013/3/22,10.0,16.1,3.1
2013/3/23,11.5,15.6,8.4
2013/3/24,11.7,16.1,6.4
2013/3/25,11.2,14.7,6.9
2013/3/26,8.5,11.7,4.3
2013/3/27,10.7,14.8,6.4
2013/3/28,13.8,17.7,10.8
2013/3/29,14.5,18.8,11.1
2013/3/30,12.6,16.6,9.1
2013/3/31,11.9,15.6,9.6
2013/4/1,11.6,18.1,7.2
2013/4/2,13.2,17.2,10.0
2013/4/3,13.1,16.5,10.6
2013/4/4,14.6,21.3,7.6
2013/4/5,16.8,22.0,9.9
2013/4/6,17.1,22.0,14.6
2013/4/7,12.5,17.3,9.1
2013/4/8,11.9,16.7,7.8
2013/4/9,13.9,18.8,7.9
2013/4/10,12.0,14.8,8.5
2013/4/11,9.3,13.6,6.5
2013/4/12,9.8,14.4,4.1
2013/4/13,11.2,16.4,5.0
2013/4/14,15.7,21.0,8.3
2013/4/15,17.6,22.4,13.6
2013/4/16,18.6,25.7,11.5
2013/4/17,19.5,22.8,15.0
2013/4/18,17.3,21.4,12.4
2013/4/19,12.4,17.5,8.6
2013/4/20,10.0,16.0,5.7
2013/4/21,9.8,14.4,7.1
2013/4/22,11.2,16.7,5.0
2013/4/23,14.0,19.3,7.0
2013/4/24,17.1,19.5,14.9
2013/4/25,17.3,23.4,11.3
2013/4/26,15.3,19.2,12.4
2013/4/27,15.2,20.0,9.4
2013/4/28,15.9,21.2,10.2
2013/4/29,17.7,24.8,11.2
2013/4/30,16.5,20.2,13.0
2013/5/1,13.4,17.6,10.0
