ダウンロードした時刻：2017/07/24 15:46:40

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,3.9,6.3,2.3
2008/1/2,5.2,7.5,2.5
2008/1/3,6.4,10.8,1.9
2008/1/4,6.9,12.4,2.8
2008/1/5,8.8,13.5,5.1
2008/1/6,8.4,14.1,3.7
2008/1/7,11.1,15.0,7.8
2008/1/8,9.4,14.3,6.0
2008/1/9,8.8,14.5,4.3
2008/1/10,11.2,16.2,6.6
2008/1/11,14.8,19.6,11.5
2008/1/12,13.1,17.5,9.8
2008/1/13,9.6,11.8,7.4
2008/1/14,8.6,12.3,6.0
2008/1/15,8.4,13.2,3.9
2008/1/16,7.1,10.0,2.8
2008/1/17,5.3,9.8,1.7
2008/1/18,6.6,10.9,3.3
2008/1/19,8.4,12.4,4.0
2008/1/20,7.9,9.3,6.5
2008/1/21,8.3,11.4,5.9
2008/1/22,7.6,9.4,6.1
2008/1/23,8.6,11.0,6.1
2008/1/24,4.0,6.2,0.9
2008/1/25,4.2,8.2,0.4
2008/1/26,6.2,8.3,3.9
2008/1/27,7.3,12.0,3.9
2008/1/28,6.2,7.1,5.2
2008/1/29,8.1,8.9,6.8
2008/1/30,7.6,8.9,6.2
2008/1/31,5.8,8.4,4.5
2008/2/1,5.8,9.5,0.9
2008/2/2,5.6,8.0,3.7
2008/2/3,6.0,8.5,4.0
2008/2/4,6.6,9.1,5.1
2008/2/5,6.4,8.9,4.0
2008/2/6,5.3,8.3,1.7
2008/2/7,4.0,9.3,-0.1
2008/2/8,6.0,10.1,1.8
2008/2/9,5.3,7.3,3.6
2008/2/10,6.6,11.5,2.1
2008/2/11,7.7,12.0,3.5
2008/2/12,6.0,8.6,2.5
2008/2/13,2.6,5.7,0.0
2008/2/14,4.4,8.4,-0.4
2008/2/15,6.1,7.9,4.5
2008/2/16,4.5,7.0,1.6
2008/2/17,4.5,8.2,1.3
2008/2/18,4.8,9.9,-0.8
2008/2/19,6.1,10.5,2.4
2008/2/20,6.5,12.4,1.2
2008/2/21,7.6,13.7,1.6
2008/2/22,10.3,13.8,6.6
2008/2/23,9.2,13.1,4.8
2008/2/24,4.3,7.6,2.8
2008/2/25,7.1,12.3,2.5
2008/2/26,9.4,13.7,5.5
2008/2/27,6.6,9.8,4.5
2008/2/28,7.4,12.3,2.9
2008/2/29,11.0,13.8,5.6
2008/3/1,9.0,12.5,5.0
2008/3/2,10.4,15.2,4.4
2008/3/3,10.0,13.7,6.4
2008/3/4,6.7,8.6,4.0
2008/3/5,6.1,11.1,2.5
2008/3/6,8.3,13.6,2.0
2008/3/7,9.5,12.9,5.5
2008/3/8,8.5,14.8,3.1
2008/3/9,9.4,13.3,7.4
2008/3/10,11.3,14.7,6.9
2008/3/11,11.1,17.3,5.4
2008/3/12,12.5,18.2,7.1
2008/3/13,15.7,21.3,9.3
2008/3/14,14.6,17.3,10.4
2008/3/15,12.1,18.0,6.2
2008/3/16,11.8,16.5,7.0
2008/3/17,12.9,19.0,9.2
2008/3/18,13.9,20.8,7.7
2008/3/19,13.0,15.2,11.7
2008/3/20,11.7,14.8,8.0
2008/3/21,13.0,21.3,7.2
2008/3/22,14.3,21.0,8.0
2008/3/23,14.1,16.1,12.0
2008/3/24,12.9,16.6,9.7
2008/3/25,13.2,16.8,9.4
2008/3/26,10.3,13.2,6.8
2008/3/27,9.4,12.3,6.4
2008/3/28,10.6,14.2,6.6
2008/3/29,13.0,18.2,7.1
2008/3/30,11.6,13.4,10.4
2008/3/31,10.8,13.7,8.2
2008/4/1,11.0,15.0,6.4
2008/4/2,12.1,15.5,7.6
2008/4/3,13.3,17.3,10.3
2008/4/4,12.9,18.1,8.9
2008/4/5,12.1,16.7,8.2
2008/4/6,15.6,22.1,9.1
2008/4/7,16.0,20.1,13.2
2008/4/8,15.7,21.8,11.5
2008/4/9,14.4,17.3,12.9
2008/4/10,14.4,17.6,12.9
2008/4/11,14.9,20.0,10.8
2008/4/12,16.3,23.2,11.3
2008/4/13,14.8,17.4,13.4
2008/4/14,16.2,21.7,13.0
2008/4/15,17.5,23.4,11.0
2008/4/16,15.8,17.3,14.7
2008/4/17,15.6,17.0,14.2
2008/4/18,15.1,18.3,12.1
2008/4/19,15.4,20.5,10.5
2008/4/20,15.8,20.9,10.8
2008/4/21,18.0,24.3,12.5
2008/4/22,18.9,23.7,15.3
2008/4/23,16.8,18.5,12.5
2008/4/24,13.2,16.8,10.0
2008/4/25,13.8,19.4,8.7
2008/4/26,15.5,18.7,11.7
2008/4/27,14.3,18.0,10.7
2008/4/28,15.9,20.6,12.1
2008/4/29,18.6,24.1,13.3
2008/4/30,19.3,25.1,14.7
2008/5/1,19.7,21.9,17.0
