ダウンロードした時刻：2017/07/24 15:41:32

,銚子,銚子,銚子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/1/1,4.7,8.7,0.9
2010/1/2,6.6,10.7,3.5
2010/1/3,6.1,9.6,2.7
2010/1/4,5.9,8.5,2.1
2010/1/5,10.2,14.1,5.0
2010/1/6,6.1,10.2,2.7
2010/1/7,6.5,9.5,2.7
2010/1/8,6.3,9.8,2.6
2010/1/9,6.8,11.6,2.4
2010/1/10,6.2,10.7,2.6
2010/1/11,6.1,8.2,2.9
2010/1/12,5.3,7.0,3.9
2010/1/13,4.5,7.6,1.6
2010/1/14,2.9,7.0,-0.9
2010/1/15,3.6,7.6,0.1
2010/1/16,3.1,5.5,0.3
2010/1/17,3.8,7.5,-0.4
2010/1/18,4.1,8.8,0.0
2010/1/19,6.8,11.4,2.0
2010/1/20,13.7,16.5,6.8
2010/1/21,12.9,17.5,7.2
2010/1/22,6.5,8.6,3.2
2010/1/23,6.3,8.4,3.4
2010/1/24,6.8,10.1,1.1
2010/1/25,9.1,14.1,4.0
2010/1/26,6.3,9.2,3.2
2010/1/27,7.1,11.3,0.8
2010/1/28,13.3,15.6,10.3
2010/1/29,9.0,11.6,6.8
2010/1/30,8.6,12.2,5.4
2010/1/31,9.7,13.2,5.8
2010/2/1,7.9,11.3,4.5
2010/2/2,6.6,10.5,3.0
2010/2/3,4.2,6.2,2.3
2010/2/4,3.3,6.0,0.1
2010/2/5,5.0,9.9,0.8
2010/2/6,2.5,6.5,-0.8
2010/2/7,4.0,9.9,-1.4
2010/2/8,7.3,11.8,1.5
2010/2/9,14.6,17.9,9.4
2010/2/10,9.4,13.8,6.8
2010/2/11,6.1,7.5,4.3
2010/2/12,5.1,6.0,4.5
2010/2/13,3.6,5.0,2.4
2010/2/14,4.7,9.4,-0.1
2010/2/15,7.5,10.3,5.2
2010/2/16,4.6,5.9,3.4
2010/2/17,4.0,4.8,3.1
2010/2/18,4.1,5.8,2.8
2010/2/19,4.6,7.2,1.3
2010/2/20,6.1,9.6,1.3
2010/2/21,5.8,7.0,5.1
2010/2/22,7.6,11.6,4.9
2010/2/23,9.4,13.9,3.6
2010/2/24,10.0,12.8,8.3
2010/2/25,13.5,17.5,8.6
2010/2/26,16.1,18.4,14.4
2010/2/27,10.2,16.0,6.9
2010/2/28,5.6,7.0,3.6
2010/3/1,9.1,12.1,6.0
2010/3/2,5.9,7.8,4.8
2010/3/3,8.0,10.5,5.0
2010/3/4,8.9,12.3,6.7
2010/3/5,11.3,14.2,6.8
2010/3/6,10.3,12.2,9.2
2010/3/7,6.7,9.5,3.8
2010/3/8,5.6,7.2,4.5
2010/3/9,7.0,10.6,5.2
2010/3/10,7.4,11.4,4.0
2010/3/11,8.4,13.3,4.0
2010/3/12,11.4,15.9,7.8
2010/3/13,13.9,17.9,7.8
2010/3/14,9.2,11.0,7.5
2010/3/15,13.6,18.9,7.0
2010/3/16,14.5,19.1,10.0
2010/3/17,8.8,10.2,7.3
2010/3/18,8.9,10.7,6.7
2010/3/19,7.8,10.8,5.2
2010/3/20,14.4,17.5,10.2
2010/3/21,13.2,17.0,6.8
2010/3/22,8.4,10.6,4.3
2010/3/23,9.7,12.1,7.7
2010/3/24,7.3,10.0,4.5
2010/3/25,5.8,6.6,5.3
2010/3/26,6.9,9.5,5.1
2010/3/27,7.2,9.5,4.5
2010/3/28,4.3,6.7,2.6
2010/3/29,4.4,6.2,1.9
2010/3/30,4.5,7.1,0.6
2010/3/31,10.7,14.6,5.2
2010/4/1,14.6,17.7,11.0
2010/4/2,12.9,17.1,8.7
2010/4/3,9.6,12.0,8.0
2010/4/4,8.9,11.7,7.3
2010/4/5,11.5,18.2,7.7
2010/4/6,12.9,16.6,8.7
2010/4/7,10.8,16.3,6.9
2010/4/8,8.0,10.2,6.3
2010/4/9,10.9,13.3,7.2
2010/4/10,13.0,17.1,8.7
2010/4/11,15.4,18.5,13.0
2010/4/12,9.0,14.4,6.9
2010/4/13,13.2,17.9,7.9
2010/4/14,11.6,14.8,8.4
2010/4/15,6.9,9.7,5.1
2010/4/16,6.8,8.5,5.5
2010/4/17,6.8,8.2,3.1
2010/4/18,10.2,13.0,6.7
2010/4/19,12.9,16.0,9.5
2010/4/20,14.9,18.0,13.7
2010/4/21,14.8,19.5,12.0
2010/4/22,10.2,13.7,7.0
2010/4/23,8.6,9.4,7.8
2010/4/24,10.6,13.4,8.4
2010/4/25,11.8,15.8,7.6
2010/4/26,13.0,16.5,8.8
2010/4/27,14.0,15.9,12.5
2010/4/28,16.0,18.7,13.3
2010/4/29,17.5,21.7,13.0
2010/4/30,15.6,20.0,13.1
2010/5/1,15.9,19.7,10.5
