ダウンロードした時刻：2017/07/24 15:42:59

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,5.0,8.6,2.3
1994/1/2,7.8,12.8,2.0
1994/1/3,7.6,9.3,5.2
1994/1/4,7.5,11.5,3.8
1994/1/5,5.6,11.3,2.8
1994/1/6,7.0,12.7,3.3
1994/1/7,5.6,9.8,3.1
1994/1/8,4.6,10.9,0.9
1994/1/9,6.6,13.5,1.7
1994/1/10,6.1,13.1,0.2
1994/1/11,7.4,13.6,3.8
1994/1/12,5.4,6.5,4.0
1994/1/13,4.7,7.3,2.8
1994/1/14,3.5,5.6,0.4
1994/1/15,3.6,7.4,-0.6
1994/1/16,4.9,13.1,-2.0
1994/1/17,8.5,11.7,5.9
1994/1/18,5.2,7.4,1.6
1994/1/19,1.4,2.6,0.2
1994/1/20,1.9,4.4,0.1
1994/1/21,1.0,3.4,0.2
1994/1/22,1.1,3.6,-0.2
1994/1/23,0.6,2.4,-1.5
1994/1/24,1.7,5.6,-1.8
1994/1/25,3.9,8.2,0.5
1994/1/26,4.2,11.5,-0.9
1994/1/27,4.6,7.0,2.1
1994/1/28,3.6,8.9,0.1
1994/1/29,1.8,5.0,-0.9
1994/1/30,1.2,3.7,-1.1
1994/1/31,3.5,10.5,-2.5
1994/2/1,5.6,9.8,2.5
1994/2/2,2.8,4.6,0.4
1994/2/3,2.1,4.2,0.2
1994/2/4,3.2,7.7,-1.3
1994/2/5,6.6,11.7,3.2
1994/2/6,6.4,13.0,2.3
1994/2/7,5.3,11.5,0.9
1994/2/8,5.3,13.5,-1.2
1994/2/9,3.9,6.6,0.9
1994/2/10,0.8,2.4,-0.1
1994/2/11,1.6,4.2,-1.2
1994/2/12,1.1,2.2,0.2
1994/2/13,3.2,5.9,0.8
1994/2/14,4.6,10.7,-0.1
1994/2/15,3.3,8.8,-1.9
1994/2/16,4.1,9.5,0.1
1994/2/17,4.6,10.3,0.5
1994/2/18,4.2,12.0,-1.8
1994/2/19,6.1,15.9,-1.2
1994/2/20,,15.1,2.0
1994/2/21,6.4,10.8,2.7
1994/2/22,6.5,9.4,3.5
1994/2/23,5.2,8.6,2.6
1994/2/24,2.8,4.4,1.3
1994/2/25,3.5,7.4,1.1
1994/2/26,3.8,6.1,1.8
1994/2/27,5.2,8.5,3.8
1994/2/28,6.3,12.4,1.1
1994/3/1,4.8,7.3,2.6
1994/3/2,3.4,9.1,0.2
1994/3/3,3.9,10.6,-2.0
1994/3/4,5.4,11.4,0.6
1994/3/5,3.9,6.3,1.8
1994/3/6,4.6,9.6,-0.6
1994/3/7,6.5,11.3,2.7
1994/3/8,10.9,12.6,8.8
1994/3/9,8.3,11.9,6.2
1994/3/10,4.5,6.6,2.0
1994/3/11,5.4,11.0,-1.3
1994/3/12,5.5,7.0,3.6
1994/3/13,5.5,9.2,3.1
1994/3/14,2.3,5.4,0.6
1994/3/15,2.3,6.0,-0.9
1994/3/16,4.9,12.2,-1.2
1994/3/17,6.6,12.4,2.2
1994/3/18,6.0,13.0,-0.6
1994/3/19,8.2,16.5,1.2
1994/3/20,7.0,10.8,4.1
1994/3/21,5.8,10.2,2.3
1994/3/22,6.7,11.3,2.3
1994/3/23,7.9,12.7,4.8
1994/3/24,5.1,12.7,0.7
1994/3/25,4.1,7.5,1.1
1994/3/26,2.6,9.9,0.3
1994/3/27,5.8,11.9,-0.1
1994/3/28,10.7,15.0,6.7
1994/3/29,8.2,11.3,2.6
1994/3/30,6.3,14.1,-0.3
1994/3/31,9.9,18.4,2.0
1994/4/1,10.6,19.5,3.9
1994/4/2,13.3,17.8,9.2
1994/4/3,11.8,16.2,8.1
1994/4/4,14.1,23.1,6.8
1994/4/5,16.2,25.5,8.6
1994/4/6,16.7,24.2,11.0
1994/4/7,14.0,16.4,8.6
1994/4/8,8.7,11.7,5.2
1994/4/9,7.0,11.1,4.0
1994/4/10,8.4,13.7,2.2
1994/4/11,14.6,22.8,7.1
1994/4/12,16.4,21.6,12.9
1994/4/13,12.7,16.7,9.6
1994/4/14,13.7,18.0,9.7
1994/4/15,14.6,20.5,9.1
1994/4/16,14.7,22.3,6.9
1994/4/17,15.3,22.3,10.0
1994/4/18,14.8,21.1,11.2
1994/4/19,15.7,23.1,11.9
1994/4/20,14.5,17.3,11.9
1994/4/21,16.4,21.8,13.4
1994/4/22,18.3,26.5,11.8
1994/4/23,15.3,16.4,14.3
1994/4/24,15.3,21.0,12.4
1994/4/25,16.1,22.3,11.9
1994/4/26,15.6,22.9,11.2
1994/4/27,15.7,21.9,9.5
1994/4/28,15.9,21.6,11.0
1994/4/29,16.1,22.7,9.7
1994/4/30,16.5,23.1,12.4
1994/5/1,18.5,22.1,14.6
